idx	valid_aa	auc_C	meta_C	Total_aa	AUC_time	meta_time
DP01943	101	92	71	104	15.20	0.67
DP01964	573	548	508	614	100.61	0.71
DP01969	200	192	179	200	20.67	0.68
DP01979	1108	1020	1017	1113	66.61	0.74
DP01981	296	282	268	299	23.57	0.73
DP01996	699	585	578	700	59.98	0.73
DP02000	319	288	224	358	49.95	0.69
DP02007	257	203	257	1883	1252.74	0.82
DP02008	80	80	80	501	64.75	0.74
DP02015	210	190	181	730	352.56	0.74
DP02049	585	461	469	592	118.77	0.71
DP02055	380	370	333	483	105.58	0.71
DP02066	158	132	158	158	19.43	0.68
DP02069	411	391	380	411	190.77	0.69
DP02071	348	347	271	348	29.40	0.69
DP02078	171	156	171	171	16.64	0.68
DP02079	134	119	100	139	17.81	0.68
DP02086	295	167	191	427	47.96	0.70
DP02096	105	98	62	734	229.98	0.73
DP02109	964	964	890	984	106.07	0.77
DP02123	779	711	706	1817	425.04	0.81
DP02124	42	42	42	663	65.34	0.73
DP02126	193	184	186	473	73.29	0.68
DP02128	695	659	628	904	89.12	0.76
DP02150	120	110	107	462	120.80	0.70
DP02151	18	18	18	1575	167.11	0.79
DP02155	814	780	792	1317	361.39	0.82
DP02157	932	918	904	1037	156.53	0.76
DP02158	267	256	213	1157	122.80	0.77
DP02163	39	4	39	2944	549.21	0.90
DP02167	132	95	87	132	34.28	0.68
DP02169	245	227	216	266	60.02	0.69
DP02173	377	303	321	406	94.53	0.71
DP02194	149	118	112	149	43.28	0.70
DP02195	435	417	403	463	377.85	0.71
DP02196	169	166	138	172	42.52	0.68
DP02197	184	139	138	191	34.70	0.68
DP02207	43	43	25	62	17.64	0.67
DP02224	806	719	689	1690	296.96	0.80
DP02231	99	74	73	501	108.56	0.71
DP02249	630	603	604	630	133.33	0.71
DP02251	444	418	409	451	30.22	0.70
DP02264	99	94	63	101	18.25	0.67
DP02271	204	198	188	319	82.08	0.69
DP02292	653	635	555	975	186.55	0.75
DP02294	101	92	77	101	34.81	0.67
DP02303	16	1	8	810	102.19	0.79
DP02311	162	124	122	181	43.07	0.68
DP02317	279	206	214	289	50.90	0.69
DP02325	78	71	69	86	43.00	0.69
DP02327	122	18	45	270	59.97	0.69
DP02333	90	85	77	404	65.93	0.73
DP02334	135	100	87	1162	324.66	0.76
