WT_RBD_2_Ka
9.304720137158972e-06
1.2379800186813895e-05
1.261616352363296e-05
1.1215747136384356e-05
1.0751362796119856e-05
1.0687034567415161e-05
1.1762548509457613e-05
1.1783110867209238e-05
1.1781365068872653e-05
1.1769666858615061e-05
1.130065414339862e-05
1.1764139386112262e-05
1.1456370043369753e-05
1.21521546810956e-05
1.1894077018722471e-05
