2000	0.031	0.141	
4000	0.080	0.211	
6000	0.038	0.544	
8000	0.151	0.395	
10000	0.052	0.454	
12000	0.026	0.688	
14000	0.029	0.228	
16000	0.010	0.676	
18000	0.051	0.207	
20000	0.040	0.597	
