Q8IWE2	concentration:143.61	copy_number:172970
Q9HBE1	concentration:2.13	copy_number:2559
Q9Y6X2	concentration:1.05	copy_number:1259
P20618	concentration:260.92	copy_number:314255
P60673	concentration:5.41	copy_number:6520
P10586	concentration:109.01	copy_number:131289
Q15008	concentration:711.18	copy_number:856567
P06737	concentration:424.09	copy_number:510786
P18754	concentration:496.71	copy_number:598252
Q15293	concentration:8061.61	copy_number:9709625
Q15382	concentration:292.81	copy_number:352672
O14966	concentration:44.58	copy_number:53688
Q15771	concentration:2.97	copy_number:3574
P51149	concentration:392.15	copy_number:472314
Q5UIP0	concentration:53.74	copy_number:64724
P26373	concentration:963.47	copy_number:1160432
P61353	concentration:2336.99	copy_number:2814742
Q9Y535	concentration:95.56	copy_number:115093
P32242	concentration:7.75	copy_number:9334
O00628	concentration:1.99	copy_number:2392
Q96RG2	concentration:4.58	copy_number:5522
Q99633	concentration:83.02	copy_number:99996
Q96QR8	concentration:161.02	copy_number:193943
O15067	concentration:290.86	copy_number:350315
Q14914	concentration:854.32	copy_number:1028966
Q3MIT2	concentration:5.45	copy_number:6564
Q2TAK8	concentration:1.09	copy_number:1310
Q9H6Z4	concentration:55.24	copy_number:66530
P60763	concentration:355.07	copy_number:427661
Q9GZR2	concentration:26.83	copy_number:32316
P41220	concentration:18.76	copy_number:22598
P48378	concentration:0.11	copy_number:128
A6NFN3	concentration:25.59	copy_number:30826
O00212	concentration:21.61	copy_number:26025
P61586	concentration:374.40	copy_number:450939
Q6NUM9	concentration:164.61	copy_number:198266
Q9BWE0	concentration:5.22	copy_number:6281
P61254	concentration:642.74	copy_number:774132
Q9BYC8	concentration:128.65	copy_number:154950
Q9BYD6	concentration:327.54	copy_number:394497
Q15070	concentration:285.73	copy_number:344141
Q13670	concentration:6.79	copy_number:8182
P53041	concentration:219.02	copy_number:263793
O75817	concentration:160.23	copy_number:192987
O43660	concentration:188.47	copy_number:227003
Q8NEB9	concentration:27.92	copy_number:33632
P16298	concentration:7.46	copy_number:8988
Q15435	concentration:133.32	copy_number:160573
Q99943	concentration:55.57	copy_number:66927
Q9NWT1	concentration:189.27	copy_number:227964
Q99436	concentration:1168.00	copy_number:1406776
Q13882	concentration:1.82	copy_number:2191
Q92698	concentration:1.12	copy_number:1347
Q8IZ40	concentration:1121.48	copy_number:1350747
Q9NW64	concentration:84.18	copy_number:101395
Q8WZ73	concentration:2.54	copy_number:3063
P36954	concentration:73.65	copy_number:88708
Q9NW08	concentration:30.26	copy_number:36450
O15446	concentration:70.98	copy_number:85485
O15318	concentration:257.97	copy_number:310707
Q15172	concentration:54.26	copy_number:65352
O95870	concentration:44.34	copy_number:53400
Q9H7C9	concentration:4.48	copy_number:5398
Q9UBJ2	concentration:34.64	copy_number:41727
Q15758	concentration:951.33	copy_number:1145808
Q5JTC6	concentration:0.83	copy_number:1000
Q9UKV5	concentration:5.33	copy_number:6417
P30838	concentration:305.03	copy_number:367383
P51857	concentration:659.22	copy_number:793988
P42568	concentration:3.07	copy_number:3703
O60488	concentration:325.88	copy_number:392497
Q9Y672	concentration:7.16	copy_number:8620
P62330	concentration:60.60	copy_number:72989
Q9Y576	concentration:0.19	copy_number:234
P15848	concentration:5.54	copy_number:6678
O14983	concentration:690.73	copy_number:831936
Q8TDH9	concentration:2.10	copy_number:2532
Q9BXK5	concentration:104.79	copy_number:126213
P46736	concentration:14.41	copy_number:17353
Q9NPI1	concentration:57.73	copy_number:69534
P51451	concentration:17.59	copy_number:21188
Q15059	concentration:55.61	copy_number:66976
Q6ZNE5	concentration:3.40	copy_number:4100
Q9UIG0	concentration:251.63	copy_number:303073
O95810	concentration:12.08	copy_number:14555
P40123	concentration:10.29	copy_number:12392
Q8N6N3	concentration:75.49	copy_number:90919
A6NKD9	concentration:14.83	copy_number:17865
Q13057	concentration:1011.11	copy_number:1217806
Q8IYT2	concentration:2.95	copy_number:3550
Q02388	concentration:2.31	copy_number:2779
Q96L46	concentration:1352.66	copy_number:1629176
P41240	concentration:78.82	copy_number:94931
P16220	concentration:3.23	copy_number:3885
Q14181	concentration:87.47	copy_number:105356
O60739	concentration:35.69	copy_number:42981
P11474	concentration:116.08	copy_number:139814
P41162	concentration:1.29	copy_number:1559
Q13158	concentration:23.13	copy_number:27860
P00488	concentration:0.73	copy_number:885
Q9H0X4	concentration:15.60	copy_number:18786
Q15910	concentration:37.43	copy_number:45081
P11362	concentration:0.32	copy_number:389
Q9UKA2	concentration:16.49	copy_number:19859
Q6UN15	concentration:65.21	copy_number:78547
Q96M96	concentration:1.01	copy_number:1221
Q8N461	concentration:2.53	copy_number:3050
O95749	concentration:74.39	copy_number:89603
P13284	concentration:224.81	copy_number:270768
Q3T8J9	concentration:1.71	copy_number:2063
Q13322	concentration:6.20	copy_number:7469
Q5VY09	concentration:2.70	copy_number:3258
O95872	concentration:0.55	copy_number:665
P35052	concentration:45.96	copy_number:55357
