WT_RBD_2_Ka
1.3298284353566125e-05
9.585318085392951e-06
8.933460787960179e-06
1.0061007685760073e-05
1.0462093422030898e-05
1.0674039975914709e-05
1.0457637603251057e-05
1.012686301522168e-05
1.0070717496759678e-05
9.750654553013687e-06
9.465771984021328e-06
9.355819842220004e-06
9.337546330162166e-06
9.258261487561967e-06
9.302788661887317e-06
