S7_2_Ka
1.1944089509576625e-05
1.199708728564474e-05
1.1077928652733362e-05
1.131891650503379e-05
1.1768854342562346e-05
1.1859364376030214e-05
1.1579624093491369e-05
1.284601858558387e-05
1.2383434707112046e-05
1.2300122049744366e-05
1.2973420114750475e-05
1.32661055106278e-05
1.4435744427427542e-05
1.4130237915549803e-05
1.4644512289021505e-05
