2000	10350393	131	43	67	0	0	0	0	0	0	0	0	0	
4000	20448845	238	76	127	0	0	0	0	0	0	0	0	0	
6000	30238263	342	111	194	0	0	0	0	0	0	0	0	0	
8000	40199029	467	150	277	0	0	0	0	0	0	0	0	0	
10000	50412722	652	206	365	0	0	0	0	0	0	0	0	0	
12000	60396308	788	250	444	0	0	0	0	0	0	0	0	0	
14000	70500740	931	309	523	0	0	0	0	0	0	0	0	0	
16000	80420234	1127	367	597	0	0	0	0	0	0	0	0	0	
18000	90585878	1236	416	660	0	0	0	0	0	0	0	0	0	
20000	100796963	1374	458	717	0	0	0	0	0	0	0	0	0	
