organism_id	fraction_disorder_per_protein	fraction_disorder_total_proteome	classification
UP000204673	0.37312	0.31884	Virus
UP000207613	0.14389	0.15059	Virus
UP000228400	0.21616	0.18676	Virus
UP000242194	0.02602	0.02487	Virus
UP000246376	0.36915	0.21865	Virus
UP000289625	0.37448	0.3737	Virus
UP000464024	0.21781	0.05811	Virus
UP000000359	0.14179	0.24921	Virus
UP000000396	0.17868	0.12619	Virus
UP000000404	0.08448	0.08448	Virus
UP000000410	0.50607	0.30666	Virus
UP000000472	0.23655	0.12919	Virus
UP000000668	0.25614	0.0809	Virus
UP000000675	0.13094	0.12285	Virus
UP000000676	0.0921	0.07631	Virus
UP000000835	0.29195	0.07374	Virus
UP000001119	0.09818	0.0524	Virus
UP000001207	0.13431	0.07877	Virus
UP000001398	0.22214	0.13665	Virus
UP000001649	0.13365	0.08484	Virus
UP000001671	0.17001	0.18708	Virus
UP000002111	0.37005	0.23702	Virus
UP000002127	0.15337	0.11024	Virus
UP000002245	0.37724	0.37724	Virus
UP000002331	0.29601	0.18083	Virus
UP000002472	0.15123	0.1207	Virus
UP000002476	0.2799	0.07466	Virus
UP000002502	0.32042	0.16606	Virus
UP000005893	0.25363	0.11934	Virus
UP000006372	0.28644	0.30702	Virus
UP000006711	0.42002	0.20933	Virus
UP000006715	0.20988	0.14864	Virus
UP000006934	0.13335	0.09136	Virus
UP000007018	0.37227	0.38927	Virus
UP000007049	0.16304	0.04643	Virus
UP000007081	0.18607	0.21959	Virus
UP000007206	0.15574	0.10358	Virus
UP000007218	0.0936	0.05542	Virus
UP000007232	0.25555	0.12957	Virus
UP000007248	0.06748	0.09211	Virus
UP000007249	0.42556	0.19657	Virus
UP000007250	0.39188	0.1494	Virus
UP000007253	0.07294	0.06543	Virus
UP000007311	0.22939	0.16285	Virus
UP000007453	0.28359	0.22326	Virus
UP000007541	0.16431	0.1224	Virus
UP000007545	0.34285	0.32082	Virus
UP000007547	0.40639	0.29326	Virus
UP000007621	0.092	0.08519	Virus
UP000007626	0.30201	0.0943	Virus
UP000007661	0.05746	0.09918	Virus
UP000007665	0.40613	0.40939	Virus
UP000007711	0.29217	0.30364	Virus
UP000007782	0.29122	0.2284	Virus
UP000007896	0.28087	0.20829	Virus
UP000008033	0.17202	0.18173	Virus
UP000008164	0.09312	0.03349	Virus
UP000008286	0.09435	0.11341	Virus
UP000008470	0.21672	0.15125	Virus
UP000008479	0.12967	0.17879	Virus
UP000008599	0.38943	0.34896	Virus
UP000008649	0.16231	0.09129	Virus
UP000008699	0.27962	0.18032	Virus
UP000008768	0.25763	0.03374	Virus
UP000008771	0.38748	0.33207	Virus
UP000008926	0.14811	0.08828	Virus
UP000008994	0.2482	0.27564	Virus
UP000009109	0.40135	0.38345	Virus
UP000009116	0.38587	0.37137	Virus
UP000009117	0.36776	0.39982	Virus
UP000009151	0.29044	0.24008	Virus
UP000009253	0.4178	0.42333	Virus
UP000009266	0.15938	0.10341	Virus
UP000009268	0.09075	0.17478	Virus
UP000009294	0.36817	0.28804	Virus
UP000029744	0.12479	0.12479	Virus
UP000029746	0.10244	0.10244	Virus
UP000029749	0.08852	0.08852	Virus
UP000029751	0.18998	0.18998	Virus
UP000107373	0.40506	0.24539	Virus
UP000116169	0.20938	0.12168	Virus
UP000117386	0.13993	0.10821	Virus
UP000123047	0.13282	0.11076	Virus
UP000125433	0.10238	0.104	Virus
UP000127473	0.42234	0.35398	Virus
UP000131152	0.16992	0.0993	Virus
UP000134051	0.10649	0.08131	Virus
UP000135044	0.06365	0.08072	Virus
UP000135747	0.3691	0.17943	Virus
UP000139707	0.24274	0.17956	Virus
UP000140113	0.30088	0.22083	Virus
UP000140596	0.17681	0.13618	Virus
UP000141821	0.14746	0.05985	Virus
UP000146794	0.10046	0.08818	Virus
UP000148295	0.19358	0.10886	Virus
UP000153037	0.34171	0.32387	Virus
UP000153939	0.11131	0.11624	Virus
UP000157732	0.41274	0.27577	Virus
UP000159700	0.43327	0.22019	Virus
UP000163164	0.24969	0.13132	Virus
UP000166289	0.1545	0.1482	Virus
UP000170142	0.14498	0.1592	Virus
UP000172871	0.10409	0.08653	Virus
UP000185273	0.38152	0.39881	Virus
UP000201777	0.24812	0.24812	Virus
UP000202700	0.39799	0.39799	Virus
UP000203242	0.35914	0.16484	Virus
UP000203656	0.08947	0.08947	Virus
UP000203767	0.15512	0.15162	Virus
UP000204117	0.09779	0.09779	Virus
UP000240759	0.04047	0.04047	Virus
UP000241838	0.40539	0.44329	Virus
UP000242267	0.2915	0.15044	Virus
UP000243666	0.0	0.0	Virus
UP000289151	0.25606	0.23317	Virus
UP000289910	0.34377	0.27492	Virus
UP000516359	0.12398	0.08815	Virus
UP001157368	0.00661	0.00661	Virus
UP000000280	0.04022	0.04022	Virus
UP000000344	0.15099	0.08388	Virus
UP000000350	0.07769	0.06731	Virus
UP000000351	0.0	0.0	Virus
UP000000358	0.13994	0.08494	Virus
UP000000372	0.28564	0.18028	Virus
UP000000373	0.27147	0.23781	Virus
UP000000394	0.40736	0.22124	Virus
UP000000395	0.09294	0.09294	Virus
UP000000398	0.29842	0.20746	Virus
UP000000400	0.5715	0.29003	Virus
UP000000403	0.14258	0.14258	Virus
UP000000405	0.1433	0.1433	Virus
UP000000407	0.06331	0.06331	Virus
UP000000408	0.07961	0.07961	Virus
UP000000411	0.11882	0.08033	Virus
UP000000469	0.36858	0.36107	Virus
UP000000470	0.11099	0.14561	Virus
UP000000477	0.33074	0.17495	Virus
UP000000519	0.22423	0.23753	Virus
UP000000587	0.17735	0.13629	Virus
UP000000624	0.20225	0.09762	Virus
UP000000677	0.19668	0.09421	Virus
UP000000678	0.18593	0.10631	Virus
UP000000728	0.00982	0.00873	Virus
UP000000825	0.11191	0.07649	Virus
UP000000831	0.25885	0.29641	Virus
UP000000840	0.24437	0.11733	Virus
UP000000938	0.34243	0.30793	Virus
UP000000942	0.22009	0.19998	Virus
UP000001099	0.05497	0.07402	Virus
UP000001100	0.23978	0.13097	Virus
UP000001104	0.10977	0.10977	Virus
UP000001105	0.10012	0.10012	Virus
UP000001189	0.31874	0.2674	Virus
UP000001461	0.2482	0.27564	Virus
UP000001663	0.23055	0.22069	Virus
UP000001666	0.16272	0.10402	Virus
UP000001668	0.13114	0.08282	Virus
UP000001669	0.16907	0.10373	Virus
UP000001670	0.20231	0.25182	Virus
UP000001674	0.17335	0.0978	Virus
UP000001711	0.14838	0.1053	Virus
UP000001832	0.03009	0.03472	Virus
UP000001833	0.38074	0.20717	Virus
UP000001874	0.33422	0.28612	Virus
UP000002060	0.13405	0.09196	Virus
UP000002126	0.0	0.0	Virus
UP000002137	0.26953	0.18092	Virus
UP000002138	0.02083	0.03885	Virus
UP000002143	0.24321	0.19494	Virus
UP000002239	0.16184	0.08571	Virus
UP000002246	0.12948	0.11378	Virus
UP000002321	0.33595	0.20911	Virus
UP000002323	0.30276	0.22222	Virus
UP000002325	0.29841	0.14922	Virus
UP000002326	0.14702	0.10388	Virus
UP000002339	0.30383	0.22678	Virus
UP000002471	0.2395	0.21049	Virus
UP000002501	0.38576	0.33825	Virus
UP000002602	0.22138	0.18761	Virus
UP000002610	0.12624	0.04282	Virus
UP000002611	0.10354	0.09991	Virus
UP000004993	0.27649	0.2299	Virus
UP000006367	0.40962	0.42206	Virus
UP000006541	0.32772	0.31693	Virus
UP000006542	0.38427	0.25334	Virus
UP000006543	0.15094	0.12978	Virus
UP000006572	0.40448	0.30163	Virus
UP000006581	0.11128	0.064	Virus
UP000006676	0.093	0.05308	Virus
UP000006677	0.04436	0.0495	Virus
UP000006705	0.4262	0.14795	Virus
UP000006709	0.43023	0.21178	Virus
UP000006721	0.36032	0.07825	Virus
UP000006722	0.44445	0.26898	Virus
UP000006840	0.23402	0.23648	Virus
UP000006933	0.22067	0.13509	Virus
UP000007019	0.52522	0.2257	Virus
UP000007022	0.27504	0.24055	Virus
UP000007025	0.18204	0.15175	Virus
UP000007068	0.28629	0.18592	Virus
UP000007212	0.09222	0.08448	Virus
UP000007219	0.22479	0.08	Virus
UP000007225	0.4839	0.19011	Virus
UP000007252	0.15008	0.09695	Virus
UP000007399	0.28584	0.17055	Virus
UP000007403	0.58836	0.25019	Virus
UP000007528	0.57089	0.38677	Virus
UP000007540	0.12442	0.09394	Virus
UP000007546	0.24723	0.14798	Virus
UP000007611	0.45524	0.25596	Virus
UP000007627	0.05437	0.04837	Virus
UP000007629	0.16747	0.10674	Virus
UP000007639	0.29849	0.28567	Virus
UP000007662	0.16573	0.09335	Virus
UP000007663	0.10133	0.0486	Virus
UP000007664	0.11548	0.0551	Virus
UP000007666	0.42758	0.45408	Virus
UP000007670	0.43147	0.39761	Virus
UP000007671	0.38938	0.37558	Virus
UP000007677	0.37431	0.36168	Virus
UP000007784	0.38347	0.30556	Virus
UP000007795	0.26752	0.20724	Virus
UP000008169	0.51598	0.39721	Virus
UP000008222	0.25423	0.28205	Virus
UP000008226	0.44063	0.40231	Virus
UP000008230	0.43168	0.41201	Virus
UP000008232	0.32594	0.35474	Virus
UP000008246	0.33294	0.24638	Virus
UP000008264	0.00583	0.01383	Virus
UP000008267	0.33308	0.23883	Virus
UP000008292	0.16716	0.11427	Virus
UP000008294	0.21388	0.21421	Virus
UP000008446	0.28765	0.26458	Virus
UP000008447	0.16475	0.0685	Virus
UP000008448	0.38918	0.08991	Virus
UP000008472	0.31888	0.34269	Virus
UP000008476	0.20581	0.15326	Virus
UP000008477	0.16674	0.20019	Virus
UP000008504	0.21365	0.18509	Virus
UP000008592	0.13435	0.07804	Virus
UP000008593	0.13392	0.08773	Virus
UP000008609	0.11734	0.06092	Virus
UP000008623	0.13525	0.11298	Virus
UP000008651	0.14594	0.09909	Virus
UP000008654	0.2242	0.14932	Virus
UP000008665	0.1193	0.1097	Virus
UP000008687	0.25157	0.15732	Virus
UP000008689	0.26654	0.14365	Virus
UP000008769	0.3353	0.27863	Virus
UP000008772	0.14826	0.10675	Virus
UP000008788	0.37545	0.31778	Virus
UP000008789	0.50746	0.46286	Virus
UP000008791	0.42089	0.38617	Virus
UP000008865	0.4767	0.24959	Virus
UP000008874	0.31231	0.21387	Virus
UP000008973	0.02386	0.0231	Virus
UP000008992	0.31994	0.28665	Virus
UP000009087	0.06597	0.04264	Virus
UP000009090	0.20787	0.20425	Virus
UP000009098	0.31514	0.32226	Virus
UP000009104	0.31992	0.3545	Virus
UP000009105	0.22254	0.26154	Virus
UP000009111	0.39983	0.3955	Virus
UP000009112	0.30365	0.31145	Virus
UP000009113	0.25504	0.33497	Virus
UP000009115	0.40233	0.34609	Virus
UP000009123	0.35735	0.35049	Virus
UP000009126	0.38482	0.42741	Virus
UP000009155	0.37207	0.39321	Virus
UP000009185	0.4615	0.33141	Virus
UP000009190	0.20842	0.13882	Virus
UP000009252	0.46934	0.42766	Virus
UP000009270	0.1799	0.15925	Virus
UP000009295	0.25277	0.22608	Virus
UP000029743	0.141	0.141	Virus
UP000029745	0.05907	0.05907	Virus
UP000029747	0.08	0.08	Virus
UP000029748	0.1986	0.1986	Virus
UP000029750	0.08037	0.08037	Virus
UP000029754	0.09099	0.09099	Virus
UP000029755	0.04683	0.04683	Virus
UP000029768	0.21508	0.11427	Virus
UP000029770	0.25729	0.14437	Virus
UP000029771	0.21393	0.12784	Virus
UP000052080	0.5048	0.42755	Virus
UP000052081	0.32455	0.33913	Virus
UP000052083	0.11706	0.17923	Virus
UP000052084	0.32751	0.29182	Virus
UP000052085	0.43374	0.41914	Virus
UP000052088	0.22948	0.18884	Virus
UP000052089	0.39739	0.42993	Virus
UP000052090	0.32365	0.35568	Virus
UP000052091	0.46342	0.40728	Virus
UP000052092	0.39518	0.40594	Virus
UP000052093	0.21838	0.27754	Virus
UP000052094	0.37453	0.41561	Virus
UP000052095	0.46331	0.33765	Virus
UP000052096	0.31793	0.36521	Virus
UP000052097	0.3807	0.45806	Virus
UP000052098	0.35535	0.37655	Virus
UP000052099	0.34536	0.31715	Virus
UP000052100	0.47179	0.41722	Virus
UP000052101	0.47872	0.46623	Virus
UP000052102	0.51319	0.37525	Virus
UP000052107	0.14057	0.14057	Virus
UP000052108	0.21599	0.21599	Virus
UP000052109	0.17318	0.17318	Virus
UP000095862	0.19346	0.11775	Virus
UP000096186	0.19061	0.11938	Virus
UP000096441	0.13098	0.07636	Virus
UP000096661	0.40535	0.41929	Virus
UP000096793	0.2589	0.14523	Virus
UP000096870	0.47578	0.44397	Virus
UP000097481	0.25008	0.25468	Virus
UP000097513	0.24659	0.17664	Virus
UP000097651	0.28642	0.16413	Virus
UP000099447	0.35571	0.32444	Virus
UP000099931	0.3588	0.34012	Virus
UP000099940	0.03388	0.0359	Virus
UP000099969	0.19315	0.12294	Virus
UP000100280	0.28955	0.33204	Virus
UP000101375	0.3487	0.33783	Virus
UP000101403	0.39794	0.40367	Virus
UP000101546	0.08747	0.06947	Virus
UP000101696	0.29841	0.25788	Virus
UP000101963	0.3243	0.39574	Virus
UP000102036	0.0	0.0	Virus
UP000102297	0.43218	0.38693	Virus
UP000102623	0.37405	0.30298	Virus
UP000102742	0.35615	0.36923	Virus
UP000103020	0.31128	0.37156	Virus
UP000103378	0.14862	0.11246	Virus
UP000103719	0.39632	0.4135	Virus
UP000103742	0.153	0.11457	Virus
UP000103794	0.1364	0.0501	Virus
UP000103806	0.34033	0.30995	Virus
UP000104464	0.36859	0.3122	Virus
UP000106096	0.25188	0.20095	Virus
UP000106331	0.39256	0.33433	Virus
UP000106895	0.21829	0.18903	Virus
UP000107061	0.42986	0.38064	Virus
UP000107063	0.36518	0.35013	Virus
UP000107207	0.17095	0.09711	Virus
UP000107687	0.35354	0.37848	Virus
UP000108270	0.22053	0.1228	Virus
UP000108288	0.27488	0.3013	Virus
UP000108682	0.24493	0.27696	Virus
UP000108982	0.49701	0.42948	Virus
UP000109002	0.25272	0.25877	Virus
UP000109295	0.11215	0.11215	Virus
UP000109801	0.08326	0.05529	Virus
UP000110085	0.10452	0.04292	Virus
UP000110240	0.21107	0.20582	Virus
UP000110829	0.34965	0.41047	Virus
UP000110898	0.20132	0.05378	Virus
UP000110985	0.38681	0.38053	Virus
UP000111445	0.63986	0.51711	Virus
UP000111451	0.37025	0.38153	Virus
UP000111499	0.45624	0.43239	Virus
UP000111791	0.14928	0.14928	Virus
UP000112084	0.43039	0.39789	Virus
UP000112284	0.40315	0.41027	Virus
UP000112710	0.35976	0.3575	Virus
UP000113124	0.44641	0.4028	Virus
UP000113393	0.17035	0.11943	Virus
UP000113401	0.31422	0.34577	Virus
UP000113513	0.37915	0.36691	Virus
UP000113705	0.40317	0.41267	Virus
UP000113835	0.27729	0.25384	Virus
UP000114582	0.25312	0.27819	Virus
UP000114585	0.26541	0.16235	Virus
UP000114966	0.39403	0.39041	Virus
UP000115701	0.09393	0.06756	Virus
UP000116758	0.36971	0.35445	Virus
UP000117015	0.39561	0.40149	Virus
UP000118015	0.36073	0.36577	Virus
UP000118722	0.36996	0.19129	Virus
UP000119221	0.18835	0.11797	Virus
UP000119242	0.4313	0.42971	Virus
UP000119411	0.35014	0.33306	Virus
UP000120507	0.30317	0.30899	Virus
UP000120723	0.40116	0.39416	Virus
UP000120748	0.35279	0.36641	Virus
UP000121137	0.39244	0.40394	Virus
UP000121690	0.36111	0.3986	Virus
UP000121961	0.0	0.0	Virus
UP000122610	0.48455	0.43711	Virus
UP000122992	0.21371	0.17816	Virus
UP000123282	0.26442	0.11126	Virus
UP000123284	0.35154	0.33485	Virus
UP000123590	0.45181	0.42526	Virus
UP000123609	0.47032	0.45911	Virus
UP000123725	0.42518	0.50955	Virus
UP000124656	0.19605	0.06511	Virus
UP000125000	0.36643	0.4099	Virus
UP000125409	0.09062	0.09062	Virus
UP000125468	0.24257	0.27675	Virus
UP000125519	0.42612	0.39762	Virus
UP000126093	0.34383	0.38415	Virus
UP000126130	0.25473	0.13218	Virus
UP000126502	0.21943	0.06026	Virus
UP000126963	0.30492	0.23185	Virus
UP000127207	0.19068	0.33921	Virus
UP000127392	0.30672	0.29158	Virus
UP000127630	0.12591	0.06057	Virus
UP000127867	0.42224	0.42656	Virus
UP000129101	0.28779	0.27244	Virus
UP000129308	0.47691	0.46382	Virus
UP000129376	0.32881	0.29649	Virus
UP000129753	0.37495	0.36929	Virus
UP000129778	0.12872	0.11823	Virus
UP000129924	0.32343	0.30351	Virus
UP000129991	0.03268	0.04816	Virus
UP000130113	0.38801	0.40099	Virus
UP000130688	0.42444	0.45314	Virus
UP000131008	0.36898	0.35494	Virus
UP000131287	0.32982	0.21108	Virus
UP000132079	0.21072	0.12016	Virus
UP000132096	0.13785	0.04925	Virus
UP000132112	0.33651	0.30578	Virus
UP000132751	0.24823	0.30766	Virus
UP000132946	0.27609	0.29365	Virus
UP000133604	0.28381	0.15332	Virus
UP000134420	0.35745	0.38148	Virus
UP000134568	0.41415	0.43988	Virus
UP000134610	0.24784	0.16847	Virus
UP000134698	0.07829	0.07687	Virus
UP000134915	0.38823	0.39372	Virus
UP000136220	0.32423	0.22245	Virus
UP000136351	0.36569	0.3643	Virus
UP000136359	0.37543	0.3873	Virus
UP000136605	0.37436	0.27584	Virus
UP000136985	0.28672	0.15877	Virus
UP000137149	0.0	0.0	Virus
UP000137777	0.06379	0.05001	Virus
UP000138843	0.47566	0.42886	Virus
UP000139829	0.39835	0.41342	Virus
UP000139850	0.31386	0.35101	Virus
UP000140463	0.33225	0.31081	Virus
UP000140763	0.2441	0.2559	Virus
UP000141459	0.27547	0.28907	Virus
UP000142129	0.27793	0.19301	Virus
UP000142218	0.4598	0.41645	Virus
UP000142472	0.34454	0.34578	Virus
UP000143347	0.37547	0.42394	Virus
UP000143524	0.1067	0.03492	Virus
UP000143765	0.28272	0.16511	Virus
UP000144012	0.39121	0.22745	Virus
UP000144169	0.38998	0.18486	Virus
UP000144177	0.08853	0.03416	Virus
UP000144454	0.3905	0.39719	Virus
UP000144694	0.39163	0.40162	Virus
UP000144778	0.16078	0.05167	Virus
UP000145001	0.1919	0.23066	Virus
UP000145193	0.39871	0.38894	Virus
UP000145823	0.17789	0.09223	Virus
UP000146474	0.3566	0.39468	Virus
UP000147201	0.29668	0.35422	Virus
UP000147477	0.40573	0.39379	Virus
UP000148062	0.43876	0.41946	Virus
UP000148789	0.17324	0.14569	Virus
UP000148971	0.48365	0.41909	Virus
UP000149085	0.14911	0.11185	Virus
UP000149549	0.13577	0.10412	Virus
UP000149637	0.38726	0.39205	Virus
UP000150093	0.37312	0.43796	Virus
UP000150460	0.27468	0.22396	Virus
UP000151180	0.1323	0.04341	Virus
UP000151521	0.36809	0.27919	Virus
UP000151954	0.37748	0.30464	Virus
UP000152287	0.0	0.0	Virus
UP000152522	0.35844	0.30955	Virus
UP000153366	0.55511	0.45768	Virus
UP000153518	0.21887	0.21441	Virus
UP000153626	0.42747	0.3638	Virus
UP000153628	0.14156	0.06714	Virus
UP000153735	0.291	0.14995	Virus
UP000153748	0.38088	0.40721	Virus
UP000154097	0.33436	0.37264	Virus
UP000154424	0.34761	0.3993	Virus
UP000154662	0.22449	0.1582	Virus
UP000155350	0.28929	0.24916	Virus
UP000155887	0.30007	0.23111	Virus
UP000156013	0.24881	0.2114	Virus
UP000156843	0.32809	0.30865	Virus
UP000156860	0.37517	0.37885	Virus
UP000157060	0.24974	0.41889	Virus
UP000157184	0.1548	0.10091	Virus
UP000158064	0.388	0.39174	Virus
UP000158899	0.22708	0.24817	Virus
UP000158963	0.06035	0.07215	Virus
UP000159394	0.40504	0.41146	Virus
UP000161261	0.19206	0.27372	Virus
UP000162055	0.38994	0.43491	Virus
UP000162058	0.26438	0.1924	Virus
UP000162673	0.05909	0.05909	Virus
UP000162802	0.57017	0.39018	Virus
UP000163734	0.42574	0.40265	Virus
UP000164175	0.49515	0.46353	Virus
UP000164482	0.39843	0.40293	Virus
UP000164817	0.36753	0.39919	Virus
UP000166347	0.30288	0.34058	Virus
UP000166452	0.11659	0.05273	Virus
UP000166619	0.08919	0.04791	Virus
UP000167195	0.25675	0.27825	Virus
UP000167269	0.27431	0.29315	Virus
UP000167318	0.36811	0.36002	Virus
UP000167412	0.21173	0.14487	Virus
UP000168289	0.30784	0.26586	Virus
UP000169932	0.31463	0.32772	Virus
UP000170379	0.26335	0.24769	Virus
UP000170672	0.31195	0.14583	Virus
