organism_id	fraction_disorder_per_protein	fraction_disorder_total_proteome	classification
UP000242203	0.13299	0.07182	Virus
UP000242220	0.11362	0.11362	Virus
UP000242262	0.08665	0.08665	Virus
UP000242266	0.06422	0.06554	Virus
UP000242290	0.11097	0.08304	Virus
UP000242303	0.16381	0.06766	Virus
UP000242304	0.16948	0.16806	Virus
UP000242334	0.1589	0.16988	Virus
UP000242340	0.0467	0.0467	Virus
UP000242387	0.23504	0.0952	Virus
UP000242389	0.29381	0.10287	Virus
UP000242451	0.06533	0.06533	Virus
UP000242475	0.03162	0.03162	Virus
UP000242476	0.09414	0.06763	Virus
UP000242503	0.56526	0.61422	Virus
UP000242533	0.10634	0.02343	Virus
UP000242534	0.04029	0.04029	Virus
UP000242538	0.12807	0.12807	Virus
UP000242541	0.17474	0.10638	Virus
UP000242543	0.14797	0.14797	Virus
UP000242569	0.06572	0.06572	Virus
UP000242585	0.16361	0.16361	Virus
UP000242589	0.08638	0.05726	Virus
UP000242608	0.27959	0.15075	Virus
UP000242634	0.14159	0.08413	Virus
UP000242693	0.21385	0.21192	Virus
UP000242720	0.07654	0.07307	Virus
UP000242730	0.05421	0.05421	Virus
UP000242799	0.24313	0.2213	Virus
UP000242808	0.09403	0.09403	Virus
UP000242829	0.40632	0.28897	Virus
UP000242934	0.17978	0.12456	Virus
UP000242940	0.28293	0.30362	Virus
UP000242946	0.04116	0.04116	Virus
UP000242952	0.10137	0.09471	Virus
UP000242982	0.37247	0.26767	Virus
UP000243000	0.43442	0.2	Virus
UP000243029	0.01775	0.02787	Virus
UP000243046	0.3056	0.32707	Virus
UP000243060	0.12415	0.11409	Virus
UP000243061	0.23551	0.22194	Virus
UP000243094	0.57055	0.48192	Virus
UP000243108	0.09777	0.10653	Virus
UP000243128	0.07711	0.07175	Virus
UP000243160	0.25106	0.22414	Virus
UP000243195	0.14971	0.14971	Virus
UP000243198	0.02622	0.02622	Virus
UP000243208	0.08645	0.08645	Virus
UP000243210	0.12598	0.12598	Virus
UP000243266	0.08294	0.0705	Virus
UP000243281	0.0583	0.0583	Virus
UP000243289	0.02821	0.02821	Virus
UP000243295	0.4018	0.33112	Virus
UP000243307	0.05143	0.05143	Virus
UP000243323	0.04782	0.04782	Virus
UP000243434	0.13701	0.12522	Virus
UP000243452	0.11775	0.11775	Virus
UP000243464	0.16284	0.16284	Virus
UP000243569	0.29922	0.33862	Virus
UP000243621	0.11936	0.10598	Virus
UP000243664	0.44393	0.44393	Virus
UP000243671	0.0932	0.0932	Virus
UP000243672	0.13764	0.12932	Virus
UP000243694	0.2476	0.13499	Virus
UP000243767	0.20979	0.15665	Virus
UP000243827	0.07282	0.06734	Virus
UP000243831	0.24529	0.20555	Virus
UP000243911	0.16545	0.16903	Virus
UP000243918	0.27073	0.21752	Virus
UP000243941	0.17591	0.12222	Virus
UP000243949	0.29451	0.29451	Virus
UP000246166	0.19133	0.13796	Virus
UP000246564	0.40841	0.11111	Virus
UP000246759	0.34613	0.40383	Virus
UP000247033	0.07641	0.0634	Virus
UP000247069	0.11788	0.06241	Virus
UP000247151	0.16296	0.08744	Virus
UP000248626	0.00441	0.00726	Virus
UP000248937	0.09771	0.09771	Virus
UP000248957	0.08881	0.05384	Virus
UP000248962	0.01471	0.01753	Virus
UP000249117	0.0	0.0	Virus
UP000249128	0.37693	0.263	Virus
UP000249273	0.14435	0.08829	Virus
UP000249952	0.15559	0.08405	Virus
UP000250118	0.1328	0.14011	Virus
UP000250142	0.26696	0.26471	Virus
UP000250151	0.16933	0.17393	Virus
UP000250199	0.08606	0.08606	Virus
UP000250247	0.14414	0.05938	Virus
UP000252591	0.19022	0.09808	Virus
UP000256051	0.42857	0.33176	Virus
UP000256499	0.18966	0.14977	Virus
UP000257744	0.33721	0.19321	Virus
UP000259700	0.14627	0.08505	Virus
UP000260469	0.2759	0.1901	Virus
UP000265820	0.08783	0.05077	Virus
UP000267194	0.06302	0.09091	Virus
UP000267334	0.20251	0.19218	Virus
UP000267343	0.13166	0.13419	Virus
UP000267492	0.20917	0.08845	Virus
UP000267811	0.0635	0.06408	Virus
UP000268073	0.32212	0.27771	Virus
UP000268464	0.2457	0.24662	Virus
UP000268541	0.12747	0.12329	Virus
UP000268786	0.04236	0.04236	Virus
UP000268925	0.0702	0.06973	Virus
UP000269124	0.21991	0.24869	Virus
UP000269274	0.0	0.0	Virus
UP000269586	0.1663	0.16938	Virus
UP000269706	0.04756	0.05484	Virus
UP000269850	0.1187	0.15188	Virus
UP000270090	0.18261	0.17896	Virus
UP000270144	0.07116	0.07946	Virus
UP000270333	0.2717	0.26783	Virus
UP000270846	0.0	0.0	Virus
UP000270867	0.15611	0.07888	Virus
UP000271054	0.0	0.0	Virus
UP000271284	0.07422	0.08962	Virus
UP000271300	0.10855	0.12467	Virus
UP000271404	0.09523	0.09642	Virus
UP000271455	0.1594	0.15136	Virus
UP000271614	0.12896	0.13964	Virus
UP000271932	0.24971	0.23108	Virus
UP000272237	0.26076	0.26056	Virus
UP000272636	0.06312	0.06628	Virus
UP000272688	0.10552	0.10285	Virus
UP000273030	0.12222	0.12727	Virus
UP000273112	0.13878	0.12875	Virus
UP000273130	0.26821	0.26003	Virus
UP000273325	0.0	0.0	Virus
UP000273530	0.10612	0.10753	Virus
UP000273561	0.14596	0.14143	Virus
UP000273602	0.09157	0.04227	Virus
UP000273619	0.17688	0.11024	Virus
UP000273912	0.25407	0.17949	Virus
UP000274024	0.21115	0.20129	Virus
UP000274267	0.09653	0.09328	Virus
UP000274277	0.27994	0.27074	Virus
UP000274283	0.19848	0.2031	Virus
UP000274542	0.04727	0.04702	Virus
UP000274800	0.06452	0.05882	Virus
UP000274817	0.1755	0.11486	Virus
UP000274913	0.12422	0.11148	Virus
UP000274965	0.10333	0.11524	Virus
UP000275001	0.23137	0.08052	Virus
UP000275086	0.0566	0.04545	Virus
UP000275118	0.17665	0.17073	Virus
UP000275141	0.18944	0.19304	Virus
UP000275237	0.27258	0.26997	Virus
UP000275581	0.2443	0.23292	Virus
UP000275661	0.08333	0.08426	Virus
UP000275921	0.13474	0.12908	Virus
UP000276212	0.24611	0.23558	Virus
UP000276299	0.07534	0.07948	Virus
UP000276326	0.03663	0.01656	Virus
UP000276553	0.03617	0.03166	Virus
UP000276683	0.18233	0.16724	Virus
UP000277067	0.44965	0.44965	Virus
UP000277274	0.07276	0.06511	Virus
UP000277408	0.5	0.48327	Virus
UP000277648	0.18113	0.16244	Virus
UP000277710	0.16221	0.15712	Virus
UP000277895	0.11361	0.11361	Virus
UP000278210	0.17234	0.17271	Virus
UP000278471	0.27659	0.27667	Virus
UP000278548	0.1012	0.06122	Virus
UP000278651	0.0963	0.0963	Virus
UP000278769	0.07261	0.05263	Virus
UP000278975	0.45258	0.31566	Virus
UP000279008	0.57197	0.51283	Virus
UP000279014	0.18038	0.18602	Virus
UP000279070	0.153	0.14586	Virus
UP000279193	0.04213	0.03319	Virus
UP000279202	0.03845	0.04392	Virus
UP000279389	0.75243	0.75243	Virus
UP000279551	0.11504	0.0662	Virus
UP000279640	0.12957	0.12621	Virus
UP000280558	0.18467	0.11245	Virus
UP000280853	0.20973	0.20973	Virus
UP000281126	0.22692	0.13401	Virus
UP000281263	0.19501	0.21875	Virus
UP000281344	0.16598	0.1703	Virus
UP000281425	0.09899	0.09752	Virus
UP000281649	0.08	0.06792	Virus
UP000281696	0.05797	0.05543	Virus
UP000282008	0.09542	0.08361	Virus
UP000282032	0.17006	0.16722	Virus
UP000282037	0.08548	0.08548	Virus
UP000282128	0.11725	0.14032	Virus
UP000282439	0.15319	0.16992	Virus
UP000286689	0.07692	0.0721	Virus
UP000286822	0.05993	0.05948	Virus
UP000287562	0.5	0.41561	Virus
UP000287705	0.18973	0.17347	Virus
UP000287912	0.13647	0.0748	Virus
UP000288615	0.12095	0.11504	Virus
UP000288736	0.10946	0.10988	Virus
UP000288857	0.07911	0.11013	Virus
UP000289133	0.01327	0.0225	Virus
UP000289144	0.04545	0.02639	Virus
UP000289185	1.0	1.0	Virus
UP000289186	0.17871	0.10275	Virus
UP000289197	0.10631	0.1028	Virus
UP000289246	0.169	0.18515	Virus
UP000289277	0.39981	0.35123	Virus
UP000289285	0.12121	0.12392	Virus
UP000289296	0.08284	0.08284	Virus
UP000289300	0.22777	0.19951	Virus
UP000289318	0.0	0.0	Virus
UP000289336	0.04147	0.04224	Virus
UP000289345	0.0261	0.02745	Virus
UP000289356	0.24747	0.15225	Virus
UP000289379	0.0908	0.0886	Virus
UP000289380	0.07018	0.0671	Virus
UP000289381	0.15114	0.10431	Virus
UP000289389	1.0	1.0	Virus
UP000289390	0.09879	0.1042	Virus
UP000289406	0.16534	0.10399	Virus
UP000289419	0.17003	0.08888	Virus
UP000289439	0.04586	0.09003	Virus
UP000289449	0.34941	0.3563	Virus
UP000289461	0.24746	0.2015	Virus
UP000289472	0.10787	0.10525	Virus
UP000289487	0.06846	0.055	Virus
UP000289491	0.17272	0.12252	Virus
UP000289508	0.10611	0.06234	Virus
UP000289526	0.12891	0.06909	Virus
UP000289534	0.16559	0.22511	Virus
UP000289536	0.17564	0.10208	Virus
UP000289550	0.06081	0.06081	Virus
UP000289551	0.04463	0.06048	Virus
UP000289553	0.44602	0.1967	Virus
UP000289556	0.15398	0.15854	Virus
UP000289565	0.17112	0.17483	Virus
UP000289605	0.0	0.0	Virus
UP000289668	0.08435	0.08435	Virus
UP000289673	0.09414	0.08443	Virus
UP000289684	0.07959	0.0729	Virus
UP000289736	0.11849	0.06306	Virus
UP000289772	0.06282	0.08834	Virus
UP000289781	0.11761	0.07491	Virus
UP000289788	0.14819	0.14827	Virus
UP000289790	0.10935	0.10369	Virus
UP000289810	0.10688	0.04663	Virus
UP000289818	0.6574	0.58458	Virus
UP000289822	0.07377	0.07129	Virus
UP000289833	0.34546	0.13632	Virus
UP000289882	0.79487	0.58668	Virus
UP000289883	0.14667	0.1585	Virus
UP000289885	0.2332	0.22565	Virus
UP000289890	0.12736	0.13704	Virus
UP000289905	0.31733	0.32244	Virus
UP000289908	0.25608	0.19436	Virus
UP000289960	0.14189	0.08351	Virus
UP000290051	0.23066	0.2439	Virus
UP000290081	0.05379	0.05379	Virus
UP000290085	0.11873	0.11873	Virus
UP000290095	0.0826	0.0826	Virus
UP000290115	0.1783	0.15886	Virus
UP000290145	0.08852	0.02232	Virus
UP000290197	0.0612	0.08323	Virus
UP000290246	0.17915	0.11821	Virus
UP000290247	0.12996	0.12435	Virus
UP000290282	0.18661	0.15685	Virus
UP000290315	0.25156	0.25156	Virus
UP000290348	0.13333	0.12261	Virus
UP000290361	0.49227	0.41148	Virus
UP000290434	0.3582	0.25713	Virus
UP000290435	0.04536	0.02262	Virus
UP000290459	0.5322	0.39738	Virus
UP000290478	0.21915	0.11036	Virus
UP000290483	0.23831	0.25027	Virus
UP000290499	0.07398	0.07398	Virus
UP000290503	0.16127	0.06586	Virus
UP000290505	0.07583	0.07583	Virus
UP000290511	0.34435	0.34435	Virus
UP000290655	0.47466	0.33778	Virus
UP000290664	0.15465	0.11547	Virus
UP000290675	0.025	0.03207	Virus
UP000290684	0.25684	0.16324	Virus
UP000290698	0.0934	0.08306	Virus
UP000290717	0.21019	0.13111	Virus
UP000290719	0.56315	0.31118	Virus
UP000290728	0.19038	0.18352	Virus
UP000290797	0.33678	0.32604	Virus
UP000290803	0.33333	0.33333	Virus
UP000290818	0.0	0.0	Virus
UP000290823	0.21186	0.21186	Virus
UP000290855	0.40222	0.45573	Virus
UP000290892	0.17612	0.17612	Virus
UP000290910	0.15449	0.09085	Virus
UP000290955	0.35126	0.35126	Virus
UP000290961	0.14943	0.11659	Virus
UP000290993	0.32771	0.30803	Virus
UP000291682	0.27871	0.20267	Virus
UP000293496	0.13863	0.0847	Virus
UP000294031	0.11916	0.1	Virus
UP000294324	0.55629	0.29208	Virus
UP000294431	0.21379	0.14232	Virus
UP000296574	0.062	0.0541	Virus
UP000296994	0.15972	0.08269	Virus
UP000297005	0.32604	0.23364	Virus
UP000297006	0.19	0.21477	Virus
UP000297009	0.24109	0.18688	Virus
UP000297024	0.08643	0.12267	Virus
UP000297027	0.16521	0.13762	Virus
UP000297029	0.07046	0.02192	Virus
UP000297038	0.2587	0.13035	Virus
UP000297050	0.05507	0.05507	Virus
UP000297052	0.33777	0.23923	Virus
UP000297055	0.2227	0.14502	Virus
UP000297057	0.05889	0.05656	Virus
UP000297063	0.04304	0.05957	Virus
UP000297064	0.08201	0.12659	Virus
UP000297072	0.14219	0.30441	Virus
UP000297076	0.07383	0.07383	Virus
UP000297077	0.0783	0.07544	Virus
UP000297081	0.29469	0.1969	Virus
UP000297089	0.19848	0.15948	Virus
UP000297094	0.05714	0.09165	Virus
UP000297095	0.14221	0.08766	Virus
UP000297097	0.04405	0.0604	Virus
UP000297101	0.20476	0.18174	Virus
UP000297102	0.31047	0.22572	Virus
UP000297110	0.04366	0.05851	Virus
UP000297116	0.30822	0.11815	Virus
UP000297124	0.20268	0.11796	Virus
UP000297128	0.49742	0.40992	Virus
UP000297129	0.10567	0.10567	Virus
UP000297133	0.14629	0.14378	Virus
UP000297145	0.15001	0.14834	Virus
UP000297153	0.24225	0.28583	Virus
UP000297154	0.27843	0.21086	Virus
UP000297157	0.21406	0.16102	Virus
UP000297175	0.17237	0.14475	Virus
UP000297177	0.15301	0.1358	Virus
UP000297178	0.18247	0.0964	Virus
UP000297183	0.30842	0.2389	Virus
UP000297191	0.1853	0.12135	Virus
UP000297204	0.50662	0.46516	Virus
UP000297205	0.35923	0.27256	Virus
UP000306412	0.12054	0.0652	Virus
UP000315075	0.36091	0.22559	Virus
UP000315116	0.07439	0.07862	Virus
UP000317189	0.33279	0.25373	Virus
UP000318497	0.40434	0.26358	Virus
UP000318778	0.23515	0.17403	Virus
UP000321483	0.02222	0.02222	Virus
UP000322276	0.13745	0.08523	Virus
UP000323261	0.24977	0.18786	Virus
UP000325018	0.22934	0.20456	Virus
UP000326313	0.04987	0.03031	Virus
UP000326328	0.16027	0.07834	Virus
UP000327119	0.2005	0.08201	Virus
UP000327402	0.25458	0.18693	Virus
UP000366725	0.09007	0.1123	Virus
UP000386070	0.42082	0.29349	Virus
UP000434467	0.18626	0.09318	Virus
UP000464270	0.08172	0.04705	Virus
UP000464689	0.10993	0.07801	Virus
UP000465040	0.20762	0.09835	Virus
UP000500692	0.44429	0.3845	Virus
UP000500753	0.10272	0.0843	Virus
UP000500766	0.34645	0.18459	Virus
UP000500842	0.27483	0.13131	Virus
UP000500844	0.36486	0.38674	Virus
UP000500934	0.23829	0.07607	Virus
UP000500976	0.0838	0.07998	Virus
UP000500983	0.12746	0.09033	Virus
UP000500992	0.15898	0.08108	Virus
UP000501027	0.31041	0.2429	Virus
UP000501042	0.2005	0.14244	Virus
UP000501046	0.04604	0.04021	Virus
UP000501074	0.24149	0.22903	Virus
UP000501166	0.20961	0.21979	Virus
UP000501211	0.17605	0.1196	Virus
UP000501303	0.37467	0.31348	Virus
UP000501328	0.20162	0.18031	Virus
UP000501392	0.02186	0.03767	Virus
UP000501393	0.06553	0.03811	Virus
UP000501413	0.1369	0.15071	Virus
UP000501473	0.03302	0.02272	Virus
UP000501480	0.22059	0.09551	Virus
UP000501498	0.42935	0.27619	Virus
UP000501531	0.1713	0.08981	Virus
UP000501572	0.19074	0.15318	Virus
UP000501750	0.5	0.19816	Virus
UP000501771	0.15553	0.09084	Virus
UP000501815	0.06501	0.07021	Virus
UP000501840	0.06084	0.09742	Virus
UP000501848	0.11731	0.21254	Virus
UP000501906	0.19963	0.14482	Virus
UP000501924	0.29074	0.16615	Virus
UP000501937	0.03272	0.03272	Virus
UP000501948	0.12802	0.07653	Virus
UP000501954	0.44993	0.343	Virus
UP000501963	0.38151	0.12765	Virus
UP000501998	0.29105	0.1395	Virus
UP000502003	0.05166	0.02899	Virus
UP000502014	0.0	0.0	Virus
UP000502016	0.47257	0.36493	Virus
UP000502018	0.24853	0.10958	Virus
UP000502099	0.45993	0.34077	Virus
UP000502165	0.16847	0.26626	Virus
UP000502195	0.18961	0.12733	Virus
UP000502241	0.25857	0.18258	Virus
UP000502506	0.21892	0.12774	Virus
UP000502532	0.33648	0.27811	Virus
UP000502550	0.24621	0.10013	Virus
UP000502600	0.41482	0.33681	Virus
UP000502619	0.2286	0.11955	Virus
UP000502682	0.1494	0.14479	Virus
UP000502748	0.03324	0.05168	Virus
UP000502791	0.34015	0.11642	Virus
UP000502805	0.059	0.04553	Virus
UP000502830	0.05954	0.0864	Virus
UP000502922	0.36253	0.12516	Virus
UP000502925	0.14657	0.14283	Virus
UP000502964	0.20682	0.09456	Virus
UP000503009	0.52816	0.4783	Virus
UP000503019	0.16028	0.10798	Virus
UP000503029	0.29713	0.07528	Virus
UP000503031	0.39557	0.17541	Virus
UP000503045	0.37804	0.29665	Virus
UP000503137	0.06442	0.06442	Virus
UP000503188	0.03182	0.02789	Virus
UP000503360	0.26716	0.15975	Virus
UP000503365	0.0545	0.13977	Virus
UP000503383	0.28091	0.25025	Virus
UP000503388	0.09661	0.06396	Virus
UP000503423	0.043	0.06535	Virus
UP000503459	0.08787	0.07721	Virus
UP000503481	0.06489	0.11575	Virus
UP000503486	0.17068	0.46521	Virus
UP000503504	0.05079	0.05079	Virus
UP000503512	0.23596	0.23784	Virus
UP000503586	0.29146	0.13023	Virus
UP000503600	0.39322	0.19143	Virus
UP000510776	0.34237	0.2305	Virus
UP000515816	0.05002	0.04275	Virus
UP000516033	0.30217	0.22454	Virus
UP000516040	0.20667	0.1159	Virus
UP000516061	0.36043	0.2478	Virus
UP000516161	0.18062	0.09841	Virus
UP000516169	0.11802	0.10483	Virus
UP000517611	0.21578	0.07737	Virus
UP000540193	0.22554	0.10362	Virus
UP000593728	0.06918	0.10329	Virus
UP000593762	0.08775	0.12729	Virus
UP000593780	0.09955	0.13676	Virus
UP000593917	0.1511	0.06434	Virus
UP000594046	0.03	0.05597	Virus
UP000594080	0.07018	0.08902	Virus
UP000595241	0.05374	0.07552	Virus
UP000595620	0.33194	0.20459	Virus
UP000595783	0.18238	0.08786	Virus
UP000595892	0.11031	0.06783	Virus
UP000663443	0.0	0.0	Virus
UP000663553	0.18032	0.13554	Virus
UP000672003	0.0873	0.05374	Virus
UP000675973	0.03191	0.03297	Virus
UP000676015	0.34706	0.20331	Virus
UP000676016	0.13754	0.13158	Virus
UP000676022	0.01481	0.01552	Virus
UP000676026	0.23898	0.22632	Virus
UP000676042	0.18609	0.12337	Virus
UP000676048	0.05	0.05324	Virus
UP000676067	0.07377	0.19714	Virus
UP000676068	0.0	0.0	Virus
UP000676071	0.00824	0.01223	Virus
UP000676086	0.0	0.0	Virus
UP000676088	0.23185	0.16265	Virus
UP000676154	0.27055	0.07552	Virus
UP000676163	0.2326	0.19842	Virus
UP000676167	0.00459	0.01133	Virus
UP000676187	0.12169	0.07325	Virus
UP000676196	0.14264	0.05536	Virus
UP000676204	0.17142	0.10932	Virus
UP000676213	0.04669	0.04652	Virus
UP000676214	0.06987	0.06969	Virus
UP000676239	0.09303	0.06914	Virus
UP000676241	0.04131	0.04288	Virus
UP000676268	0.12581	0.1248	Virus
UP000676270	0.66451	0.46852	Virus
UP000676311	0.08815	0.02698	Virus
UP000676341	0.10877	0.10616	Virus
UP000676348	0.06918	0.05189	Virus
UP000676352	0.15499	0.1893	Virus
UP000676365	0.13345	0.0834	Virus
UP000676376	0.19437	0.07226	Virus
UP000676390	0.12761	0.05178	Virus
UP000676407	0.13696	0.14856	Virus
UP000676410	0.37036	0.2495	Virus
UP000676424	0.02161	0.02224	Virus
UP000676429	0.01461	0.02222	Virus
UP000676438	0.12263	0.06093	Virus
UP000676441	0.52444	0.52444	Virus
UP000676448	0.15503	0.09936	Virus
UP000676489	0.01453	0.01645	Virus
UP000676490	0.03014	0.03226	Virus
UP000676496	0.0391	0.04723	Virus
UP000676523	0.36849	0.16071	Virus
UP000676541	0.04892	0.05695	Virus
UP000676545	0.21525	0.22884	Virus
UP000676569	0.31252	0.25085	Virus
UP000676620	0.09199	0.07627	Virus
UP000676635	0.07498	0.08389	Virus
UP000676648	0.08252	0.07969	Virus
UP000676662	0.05641	0.02005	Virus
UP000676663	0.01073	0.01587	Virus
UP000676664	0.0	0.0	Virus
UP000676675	0.13174	0.09121	Virus
UP000676677	0.04427	0.01476	Virus
UP000676683	0.07839	0.07659	Virus
UP000676737	0.0453	0.02813	Virus
UP000676754	0.2318	0.171	Virus
UP000676820	0.02389	0.03799	Virus
UP000676830	0.31303	0.09307	Virus
UP000676842	0.09787	0.09901	Virus
UP000676852	0.04946	0.01971	Virus
UP000676855	0.32873	0.15433	Virus
UP000676859	0.0	0.0	Virus
UP000676863	0.34689	0.25249	Virus
UP000676868	0.02057	0.02071	Virus
UP000676869	0.33333	0.12184	Virus
UP000676877	0.04411	0.06309	Virus
UP000676878	0.03289	0.04438	Virus
UP000676882	0.0	0.0	Virus
UP000676893	0.1609	0.13391	Virus
UP000676897	0.15278	0.04898	Virus
UP000676914	0.0	0.0	Virus
UP000676915	0.07793	0.1373	Virus
UP000676927	0.09378	0.09795	Virus
UP000676931	0.15785	0.17866	Virus
UP000676940	0.20167	0.19579	Virus
UP000676963	0.0736	0.0652	Virus
UP000676968	0.00979	0.01577	Virus
UP000676982	0.03846	0.0158	Virus
UP000676984	0.0	0.0	Virus
UP000676985	0.13742	0.13238	Virus
UP000676992	0.10644	0.03399	Virus
UP000677019	0.0627	0.07255	Virus
UP000677041	0.06552	0.06955	Virus
UP000677067	0.06687	0.08267	Virus
UP000677084	0.08672	0.04398	Virus
UP000677102	0.0	0.0	Virus
UP000677105	0.10421	0.09106	Virus
UP000677106	0.08059	0.0938	Virus
UP000677217	0.0393	0.04766	Virus
UP000677238	0.04948	0.01599	Virus
UP000677241	0.06562	0.11042	Virus
UP000677261	0.18387	0.14008	Virus
UP000677266	0.30428	0.20072	Virus
UP000677267	0.17264	0.16719	Virus
UP000677268	0.35091	0.15843	Virus
UP000677277	0.16146	0.12766	Virus
UP000677280	0.17622	0.11302	Virus
UP000677284	0.17121	0.15151	Virus
UP000677292	0.05112	0.02793	Virus
UP000677295	0.07923	0.02564	Virus
UP000677296	0.04229	0.01383	Virus
UP000677299	0.01858	0.02828	Virus
UP000677313	0.23737	0.10875	Virus
UP000677316	0.18958	0.11053	Virus
UP000677320	0.071	0.03646	Virus
UP000677325	0.16564	0.06244	Virus
UP000677330	0.0454	0.06818	Virus
UP000677336	0.00752	0.0136	Virus
UP000677349	0.24842	0.08608	Virus
UP000677360	0.17233	0.14015	Virus
UP000677369	0.30852	0.21046	Virus
UP000677375	0.1505	0.18609	Virus
UP000677392	0.01199	0.01294	Virus
UP000677407	0.22094	0.15806	Virus
UP000677415	0.04565	0.06729	Virus
UP000677434	0.02536	0.03371	Virus
UP000677437	0.05616	0.05516	Virus
UP000677440	0.01278	0.01964	Virus
UP000677443	0.11788	0.07398	Virus
UP000677455	0.42157	0.29985	Virus
UP000677460	0.10945	0.04943	Virus
UP000677468	0.0	0.0	Virus
UP000677469	0.25047	0.18234	Virus
UP000677485	0.26333	0.17914	Virus
UP000677525	0.34641	0.12906	Virus
UP000677530	0.07767	0.0809	Virus
UP000677553	0.49356	0.51014	Virus
UP000677555	0.13301	0.12949	Virus
UP000677569	0.2161	0.16034	Virus
UP000677583	0.16439	0.07542	Virus
UP000677589	0.09313	0.03471	Virus
UP000677600	0.07914	0.03869	Virus
UP000677629	0.20518	0.09942	Virus
UP000677639	0.01508	0.02298	Virus
UP000677652	0.0658	0.05027	Virus
UP000677658	0.04762	0.05371	Virus
UP000677685	0.42503	0.2149	Virus
UP000677697	0.02232	0.02482	Virus
UP000677722	0.02275	0.02425	Virus
UP000677729	0.07527	0.08387	Virus
UP000677738	0.16604	0.16747	Virus
UP000677748	0.27835	0.08919	Virus
UP000677750	0.14407	0.0931	Virus
UP000677761	0.0325	0.0352	Virus
UP000677787	0.08088	0.03213	Virus
UP000677789	0.11598	0.07644	Virus
UP000677796	0.16167	0.1562	Virus
UP000677801	0.11783	0.1175	Virus
UP000677806	0.3043	0.2	Virus
UP000677815	0.03061	0.0417	Virus
UP000677841	0.08974	0.03286	Virus
UP000677855	0.27386	0.16347	Virus
UP000677857	0.10828	0.06612	Virus
UP000677858	0.237	0.15876	Virus
UP000677874	0.0	0.0	Virus
UP000677877	0.0	0.0	Virus
UP000677887	0.10149	0.08654	Virus
UP000677890	0.09623	0.12719	Virus
UP000677903	0.04409	0.05551	Virus
UP000677907	0.35534	0.29695	Virus
UP000677936	0.05147	0.0228	Virus
UP000677938	0.02635	0.03752	Virus
UP000677966	0.2782	0.04576	Virus
UP000677969	0.01748	0.02487	Virus
UP000677976	0.12731	0.10467	Virus
UP000677989	0.02362	0.03363	Virus
UP000678011	0.10615	0.08921	Virus
UP000678025	0.02252	0.0293	Virus
UP000678030	0.31591	0.16101	Virus
UP000678031	0.0514	0.05719	Virus
UP000678039	0.15209	0.13926	Virus
UP000678071	0.1087	0.10501	Virus
UP000678081	0.10714	0.05491	Virus
UP000678092	0.22296	0.07074	Virus
UP000678105	0.13008	0.14545	Virus
UP000678133	0.08072	0.09229	Virus
UP000678135	0.09124	0.06567	Virus
UP000678146	0.07308	0.14794	Virus
UP000678184	0.26697	0.19559	Virus
UP000678190	0.06192	0.08769	Virus
UP000678215	0.05818	0.08291	Virus
UP000678217	0.14812	0.17714	Virus
UP000678233	0.06659	0.08023	Virus
UP000678248	0.07359	0.02899	Virus
UP000678251	0.14475	0.18329	Virus
UP000678269	0.07971	0.03125	Virus
UP000678271	0.17903	0.14246	Virus
UP000678293	0.05032	0.04913	Virus
UP000678309	0.17432	0.06667	Virus
UP000678319	0.04015	0.01738	Virus
UP000678351	0.02966	0.03363	Virus
UP000678384	0.02941	0.03346	Virus
UP000678414	0.00901	0.01397	Virus
UP000678424	0.06407	0.08629	Virus
UP000678428	0.08471	0.09293	Virus
UP000678439	0.00618	0.01088	Virus
UP000678445	0.08123	0.02413	Virus
UP000678448	0.04625	0.06556	Virus
UP000678450	0.01294	0.01354	Virus
UP000678453	0.16584	0.06752	Virus
UP000678475	0.4742	0.27418	Virus
UP000678483	0.0	0.0	Virus
UP000678492	0.13889	0.04237	Virus
UP000678515	0.14131	0.13949	Virus
UP000678528	0.15068	0.08819	Virus
UP000678554	0.1883	0.19338	Virus
UP000678576	0.01764	0.03523	Virus
UP000678584	0.14262	0.13942	Virus
UP000678591	0.02005	0.02893	Virus
UP000678605	0.04046	0.0568	Virus
UP000678637	0.1294	0.11848	Virus
UP000678638	0.0597	0.07739	Virus
UP000678642	0.0	0.0	Virus
UP000678671	0.0	0.0	Virus
UP000678684	0.0	0.0	Virus
UP000678702	0.18803	0.08022	Virus
UP000678708	0.0	0.0	Virus
UP000678719	0.02577	0.03866	Virus
UP000678724	0.0917	0.0561	Virus
UP000678729	0.13137	0.07001	Virus
UP000678741	0.03834	0.03834	Virus
UP000678752	0.30503	0.09544	Virus
UP000678765	0.26138	0.25502	Virus
UP000678769	0.30698	0.17832	Virus
UP000678808	0.02088	0.03068	Virus
UP000678809	0.01198	0.01436	Virus
UP000678853	0.06975	0.07597	Virus
UP000678873	0.01006	0.01147	Virus
UP000678880	0.0974	0.09449	Virus
UP000678893	0.17354	0.15753	Virus
UP000678902	0.02701	0.04167	Virus
UP000678905	0.04829	0.04508	Virus
UP000678908	0.02531	0.02615	Virus
UP000678927	0.10556	0.03282	Virus
UP000678929	0.36138	0.25576	Virus
UP000678932	0.09334	0.2407	Virus
UP000679026	0.26139	0.16748	Virus
UP000679045	0.24445	0.16002	Virus
UP000679048	0.20055	0.0818	Virus
UP000679056	0.35561	0.13451	Virus
UP000679064	0.01562	0.01882	Virus
