GS25_5_Ka
1.636611442685071e-06
1.3530695968502627e-06
1.669246405418832e-06
2.3908120029531494e-06
2.5993146593552674e-06
2.796027547080157e-06
2.802641962047643e-06
2.8180571781879562e-06
2.89375549505379e-06
3.212568256356085e-06
3.3463287881427334e-06
3.4329915059837928e-06
3.424127056418317e-06
3.5855595399825094e-06
3.716279514095886e-06
