RBD_1_Ka
1.9878163250958214e-05
1.3454514010562575e-05
1.2307685435523176e-05
1.3217000496621362e-05
1.1453779749175097e-05
1.0445635297091896e-05
9.58549818942856e-06
9.365904163989865e-06
8.687094004924963e-06
8.284054542386879e-06
8.144015934837951e-06
7.922049870220705e-06
7.694129666601522e-06
7.844968547842578e-06
8.10838979235649e-06
