GS10_2_Ka
3.127342311126657e-06
3.2981091461542834e-06
3.6107094513878294e-06
3.0580259889767688e-06
3.0378202587718464e-06
2.8479581003136403e-06
2.8403562937771325e-06
2.73887492732373e-06
2.7289379914565936e-06
2.7187680051842072e-06
2.6728587084998773e-06
2.6257598895097105e-06
2.5293492270259574e-06
2.6730583190281875e-06
2.625101478531588e-06
