RBD_4_Ka
9.306698814177925e-06
8.987241202520948e-06
8.846606277848066e-06
8.993463298456946e-06
9.153470169924553e-06
9.82559220831721e-06
1.161618653079232e-05
1.2145436056947362e-05
1.598406036249976e-05
1.8290456404529827e-05
1.7434034390388414e-05
1.696723854134173e-05
1.7054156744783605e-05
1.7366052704893055e-05
1.7277050308426987e-05
