Sample description: prot1
Sample: prot1 c= 4.5 Code: Apr1
Subtracted from raw files: "C:\Data\rishi-4and9mgpml\prot4p5mgpmlrep1_0001.img" "C:\Data\rishi-4and9mgpml\bufferrep1_0002.img"
Processed by SAXSLab Sat Apr 02 09:53:54 2022
BeamCenter_X: 754.149 BeamCenter_Y: 199.623
Exposure time (sec): 3600
Pin diode (mean): 6.6504e-08
==============================================
0.142981 0.705542 0.0122375
0.143792 0.691372 0.0125257
0.144604 0.73372 0.0126411
0.145415 0.693291 0.0125355
0.146227 0.699362 0.0124736
0.147038 0.682413 0.0122876
0.14785 0.652316 0.0124545
0.148661 0.688324 0.0124445
0.149472 0.681662 0.0124482
0.150284 0.674024 0.0126171
0.151095 0.66803 0.0119029
0.151907 0.652057 0.0120059
0.152718 0.656018 0.0121599
0.15353 0.664192 0.0124742
0.154341 0.642726 0.0121899
0.155153 0.643795 0.0120278
0.155964 0.633776 0.0122998
0.156776 0.620548 0.0122227
0.157587 0.632073 0.0122907
0.158399 0.626173 0.0120609
0.15921 0.627984 0.0123293
0.160022 0.594806 0.0124087
0.160833 0.581551 0.0124784
0.161645 0.627119 0.0124633
0.162456 0.6104 0.0124271
0.163268 0.601567 0.0128169
0.164079 0.598721 0.0120837
0.164891 0.618295 0.0127532
0.165702 0.55999 0.0123493
0.166514 0.588649 0.0124266
0.167325 0.569484 0.0124471
0.168137 0.582049 0.0126438
0.168948 0.574464 0.0129335
0.16976 0.553321 0.0124522
0.170571 0.567228 0.0129602
0.171382 0.554174 0.0130918
0.172194 0.540292 0.0125861
0.173005 0.567067 0.0128189
0.173817 0.529376 0.0128743
0.174628 0.55997 0.0129056
0.17544 0.528102 0.013075
0.176251 0.533267 0.0130447
0.177063 0.535664 0.0131803
0.177874 0.522588 0.0129357
0.178686 0.538882 0.0132854
0.179497 0.526466 0.013143
0.180309 0.547679 0.013037
0.18112 0.537501 0.0129716
0.181932 0.54739 0.0128034
0.182743 0.521263 0.012762
0.183555 0.53476 0.0131122
0.184366 0.509181 0.0131206
0.185178 0.479782 0.0133273
0.185989 0.501494 0.0131928
0.186801 0.481094 0.0131974
0.187612 0.476036 0.0134957
0.188424 0.455737 0.0131606
0.189235 0.505342 0.0133537
0.190047 0.497394 0.0131869
0.190858 0.463535 0.0131515
0.19167 0.481459 0.0134139
0.192481 0.509025 0.013207
0.193292 0.459907 0.0131183
0.194104 0.489263 0.0134408
0.194915 0.465301 0.0132024
