GS10_5_Ka
2.2215404358529445e-06
2.197005968547074e-06
2.0335044379946865e-06
2.8778003409031664e-06
2.4731338508741404e-06
2.5689494027339315e-06
2.374004161942387e-06
2.343686545132011e-06
2.409890579670589e-06
2.492189916949688e-06
2.826884458449754e-06
2.738485041981016e-06
3.0064756067550195e-06
3.0222859699747576e-06
3.1121120755069565e-06
