all,non_tail,N,C,N_w_pdb,C_w_pdb
81.0,65.0,29.0,35.0,50.0,121.0
162.0,152.0,32.0,54.0,306.0,56.0
265.0,190.0,28.0,62.0,85.0,58.0
41.0,29.0,28.0,21.0,39.0,109.0
344.0,52.0,1048.0,304.0,24.0,41.0
41.0,21.0,26.0,27.0,44.0,399.0
91.0,24.0,176.0,380.0,21.0,435.0
33.0,27.0,38.0,29.0,43.0,275.0
34.0,32.0,47.0,20.0,58.0,159.0
73.0,28.0,28.0,25.0,21.0,34.0
20.0,129.0,203.0,151.0,34.0,239.0
49.0,21.0,36.0,21.0,56.0,25.0
156.0,87.0,84.0,28.0,20.0,79.0
153.0,34.0,29.0,20.0,96.0,162.0
49.0,49.0,23.0,64.0,74.0,24.0
79.0,30.0,36.0,20.0,33.0,655.0
23.0,128.0,20.0,62.0,20.0,25.0
47.0,102.0,42.0,87.0,22.0,25.0
21.0,106.0,33.0,22.0,73.0,28.0
20.0,20.0,33.0,28.0,51.0,32.0
21.0,143.0,88.0,63.0,31.0,168.0
54.0,39.0,99.0,39.0,38.0,43.0
26.0,26.0,78.0,20.0,90.0,31.0
56.0,159.0,408.0,22.0,41.0,135.0
52.0,28.0,22.0,61.0,39.0,125.0
21.0,30.0,29.0,100.0,63.0,39.0
21.0,178.0,44.0,69.0,173.0,127.0
65.0,143.0,160.0,24.0,20.0,219.0
33.0,78.0,78.0,67.0,197.0,54.0
62.0,29.0,22.0,35.0,102.0,72.0
74.0,21.0,30.0,70.0,25.0,54.0
100.0,25.0,31.0,32.0,21.0,74.0
36.0,25.0,24.0,98.0,39.0,183.0
31.0,24.0,23.0,56.0,132.0,32.0
34.0,62.0,88.0,70.0,25.0,120.0
29.0,22.0,23.0,51.0,55.0,48.0
37.0,140.0,30.0,178.0,46.0,71.0
229.0,300.0,167.0,36.0,82.0,26.0
1013.0,99.0,61.0,25.0,62.0,25.0
552.0,20.0,33.0,83.0,20.0,69.0
67.0,201.0,22.0,22.0,241.0,172.0
122.0,161.0,73.0,50.0,108.0,24.0
1198.0,32.0,204.0,31.0,52.0,35.0
78.0,43.0,206.0,227.0,53.0,43.0
62.0,53.0,55.0,27.0,83.0,168.0
41.0,50.0,99.0,23.0,54.0,84.0
118.0,55.0,128.0,190.0,86.0,149.0
20.0,148.0,29.0,233.0,24.0,159.0
84.0,62.0,72.0,30.0,107.0,727.0
33.0,513.0,48.0,67.0,67.0,169.0
64.0,55.0,71.0,65.0,377.0,22.0
26.0,102.0,83.0,24.0,74.0,45.0
55.0,37.0,32.0,38.0,28.0,23.0
35.0,24.0,74.0,78.0,261.0,98.0
33.0,220.0,26.0,26.0,93.0,62.0
51.0,59.0,364.0,48.0,43.0,27.0
32.0,31.0,41.0,67.0,131.0,32.0
26.0,21.0,20.0,20.0,69.0,53.0
39.0,49.0,21.0,79.0,144.0,29.0
39.0,65.0,23.0,304.0,61.0,23.0
65.0,146.0,494.0,55.0,102.0,166.0
152.0,195.0,34.0,39.0,44.0,34.0
190.0,145.0,93.0,157.0,59.0,28.0
29.0,49.0,36.0,98.0,110.0,72.0
52.0,29.0,111.0,31.0,30.0,36.0
21.0,22.0,51.0,44.0,56.0,26.0
24.0,44.0,21.0,539.0,20.0,23.0
27.0,20.0,20.0,40.0,121.0,73.0
32.0,29.0,72.0,38.0,47.0,135.0
28.0,20.0,27.0,34.0,168.0,28.0
129.0,60.0,84.0,30.0,21.0,170.0
143.0,72.0,22.0,64.0,67.0,46.0
27.0,22.0,42.0,31.0,27.0,27.0
21.0,25.0,37.0,23.0,32.0,24.0
87.0,72.0,21.0,28.0,87.0,44.0
58.0,97.0,20.0,36.0,27.0,96.0
34.0,107.0,58.0,91.0,73.0,182.0
49.0,20.0,493.0,249.0,184.0,89.0
30.0,274.0,45.0,41.0,33.0,82.0
128.0,134.0,82.0,129.0,111.0,65.0
102.0,20.0,20.0,22.0,51.0,87.0
42.0,78.0,32.0,113.0,28.0,116.0
57.0,22.0,26.0,27.0,27.0,78.0
299.0,285.0,230.0,21.0,26.0,87.0
106.0,22.0,54.0,36.0,60.0,61.0
20.0,34.0,20.0,22.0,24.0,40.0
143.0,57.0,53.0,85.0,72.0,43.0
278.0,57.0,45.0,166.0,43.0,27.0
96.0,31.0,76.0,117.0,218.0,27.0
39.0,50.0,70.0,164.0,21.0,76.0
48.0,57.0,49.0,52.0,23.0,75.0
26.0,21.0,39.0,65.0,59.0,44.0
159.0,114.0,137.0,128.0,269.0,36.0
28.0,46.0,20.0,106.0,21.0,36.0
30.0,82.0,74.0,47.0,51.0,32.0
41.0,24.0,1365.0,47.0,56.0,33.0
178.0,24.0,31.0,23.0,41.0,63.0
143.0,68.0,99.0,36.0,57.0,27.0
22.0,24.0,33.0,104.0,85.0,31.0
78.0,125.0,84.0,25.0,23.0,32.0
56.0,29.0,57.0,141.0,75.0,41.0
232.0,50.0,74.0,212.0,116.0,37.0
20.0,22.0,40.0,77.0,20.0,34.0
99.0,32.0,44.0,56.0,67.0,31.0
29.0,21.0,109.0,48.0,139.0,86.0
21.0,37.0,27.0,43.0,133.0,22.0
25.0,49.0,65.0,26.0,66.0,68.0
99.0,50.0,378.0,63.0,54.0,120.0
22.0,46.0,24.0,32.0,43.0,440.0
43.0,37.0,42.0,36.0,22.0,23.0
25.0,32.0,146.0,36.0,41.0,123.0
68.0,69.0,66.0,38.0,150.0,25.0
107.0,30.0,24.0,29.0,40.0,43.0
125.0,25.0,126.0,68.0,23.0,774.0
24.0,30.0,121.0,35.0,57.0,47.0
62.0,20.0,148.0,188.0,36.0,30.0
22.0,35.0,86.0,26.0,142.0,43.0
58.0,74.0,28.0,127.0,45.0,22.0
140.0,66.0,48.0,28.0,25.0,424.0
300.0,33.0,39.0,229.0,20.0,234.0
70.0,89.0,23.0,131.0,35.0,89.0
99.0,30.0,32.0,67.0,64.0,37.0
20.0,47.0,70.0,26.0,25.0,103.0
20.0,20.0,424.0,95.0,20.0,36.0
30.0,22.0,21.0,24.0,163.0,25.0
194.0,59.0,186.0,28.0,30.0,61.0
201.0,32.0,22.0,28.0,327.0,27.0
161.0,120.0,26.0,40.0,90.0,108.0
32.0,146.0,317.0,69.0,26.0,66.0
43.0,69.0,77.0,39.0,27.0,24.0
134.0,25.0,25.0,33.0,107.0,372.0
53.0,26.0,177.0,47.0,31.0,77.0
21.0,21.0,26.0,76.0,66.0,51.0
50.0,30.0,20.0,27.0,26.0,32.0
55.0,30.0,47.0,22.0,33.0,40.0
148.0,147.0,99.0,51.0,66.0,274.0
62.0,45.0,42.0,163.0,20.0,66.0
513.0,28.0,37.0,32.0,39.0,23.0
62.0,28.0,25.0,33.0,340.0,52.0
32.0,25.0,62.0,130.0,39.0,37.0
25.0,20.0,27.0,159.0,37.0,42.0
55.0,23.0,205.0,31.0,88.0,29.0
25.0,44.0,270.0,32.0,54.0,30.0
48.0,32.0,50.0,35.0,38.0,43.0
102.0,66.0,35.0,48.0,195.0,39.0
37.0,73.0,20.0,212.0,65.0,44.0
24.0,53.0,50.0,155.0,68.0,73.0
220.0,99.0,59.0,98.0,88.0,21.0
59.0,158.0,31.0,74.0,69.0,26.0
31.0,81.0,23.0,21.0,32.0,29.0
21.0,52.0,47.0,55.0,60.0,334.0
908.0,22.0,29.0,535.0,71.0,54.0
49.0,30.0,36.0,39.0,61.0,37.0
246.0,59.0,232.0,36.0,93.0,23.0
45.0,49.0,151.0,131.0,40.0,28.0
76.0,117.0,30.0,24.0,41.0,252.0
65.0,84.0,30.0,29.0,216.0,35.0
146.0,55.0,27.0,35.0,339.0,50.0
195.0,55.0,41.0,31.0,47.0,73.0
102.0,25.0,58.0,91.0,24.0,20.0
327.0,23.0,39.0,80.0,25.0,28.0
145.0,26.0,20.0,45.0,154.0,248.0
49.0,146.0,79.0,46.0,21.0,
29.0,69.0,262.0,49.0,71.0,
22.0,30.0,50.0,23.0,54.0,
44.0,51.0,44.0,26.0,149.0,
20.0,24.0,33.0,53.0,55.0,
29.0,20.0,69.0,55.0,39.0,
88.0,22.0,143.0,90.0,49.0,
20.0,214.0,21.0,31.0,25.0,
28.0,35.0,57.0,28.0,933.0,
24.0,20.0,24.0,90.0,75.0,
60.0,39.0,65.0,154.0,71.0,
72.0,68.0,41.0,95.0,22.0,
88.0,128.0,70.0,100.0,108.0,
22.0,68.0,82.0,62.0,23.0,
25.0,460.0,130.0,40.0,21.0,
72.0,169.0,54.0,26.0,46.0,
97.0,53.0,24.0,165.0,38.0,
107.0,42.0,34.0,65.0,37.0,
20.0,78.0,157.0,22.0,22.0,
274.0,72.0,60.0,73.0,155.0,
452.0,120.0,24.0,94.0,46.0,
134.0,217.0,75.0,70.0,342.0,
20.0,22.0,35.0,20.0,39.0,
114.0,20.0,25.0,663.0,179.0,
78.0,132.0,32.0,303.0,39.0,
31.0,47.0,114.0,53.0,52.0,
280.0,61.0,22.0,93.0,157.0,
22.0,38.0,41.0,20.0,31.0,
285.0,90.0,260.0,135.0,88.0,
22.0,20.0,52.0,43.0,39.0,
34.0,25.0,65.0,47.0,48.0,
57.0,28.0,26.0,25.0,53.0,
57.0,56.0,23.0,37.0,77.0,
122.0,112.0,29.0,211.0,,
22.0,26.0,91.0,29.0,,
20.0,29.0,111.0,26.0,,
41.0,26.0,114.0,69.0,,
31.0,22.0,56.0,36.0,,
50.0,32.0,397.0,20.0,,
57.0,218.0,108.0,41.0,,
21.0,81.0,56.0,31.0,,
114.0,24.0,38.0,77.0,,
46.0,35.0,76.0,117.0,,
82.0,21.0,79.0,38.0,,
24.0,185.0,23.0,28.0,,
24.0,28.0,585.0,28.0,,
68.0,20.0,57.0,32.0,,
24.0,175.0,51.0,46.0,,
125.0,39.0,26.0,59.0,,
29.0,76.0,101.0,40.0,,
50.0,37.0,83.0,20.0,,
22.0,52.0,34.0,35.0,,
32.0,93.0,36.0,90.0,,
118.0,117.0,58.0,155.0,,
29.0,38.0,21.0,184.0,,
21.0,58.0,212.0,23.0,,
37.0,21.0,24.0,84.0,,
82.0,35.0,53.0,26.0,,
