all,non_tail,N,C,N_w_pdb,C_w_pdb
0.08928571428571429,0.08928571428571429,0.02844950213371266,0.07434944237918216,0.06420545746388442,0.08292682926829269
0.8011152416356877,0.8011152416356877,0.10975609756097561,0.1681614349775785,0.06004618937644342,0.4144486692015209
0.07434944237918216,0.06800618238021638,0.026954177897574125,0.08292682926829269,0.7807394668959587,0.07107023411371237
0.06800618238021638,0.32457496136012365,0.02422480620155039,0.07530120481927711,0.05113636363636364,0.1394736842105263
0.32457496136012365,0.053811659192825115,0.03996003996003996,0.05595667870036101,0.2,0.03669724770642202
0.053811659192825115,0.04708520179372197,0.1464968152866242,0.011294876966518758,0.11518324607329843,0.13894324853228962
0.04708520179372197,0.10953058321479374,0.09367088607594937,0.0215633423180593,0.46869409660107336,0.3969298245614035
0.1681614349775785,0.032716927453769556,0.7373913043478261,0.06042296072507553,0.10543130990415335,0.5575221238938053
0.02844950213371266,0.041251778093883355,0.10860366713681241,0.07903225806451612,0.06233062330623306,0.5
0.10953058321479374,0.06626506024096386,0.16069221260815822,0.15286624203821655,0.16393442622950818,0.04838709677419355
0.032716927453769556,0.16666666666666666,0.37217391304347824,0.06779661016949153,0.2361111111111111,0.052256532066508314
0.041251778093883355,0.5379061371841155,0.2716049382716049,0.10782608695652174,0.35121951219512193,0.08627450980392157
0.10975609756097561,0.35135135135135137,0.06420545746388442,0.14833127317676142,0.1276595744680851,0.10863509749303621
0.08292682926829269,0.01734570391286809,0.28587830080367393,0.3552123552123552,0.06,0.3006134969325153
0.06626506024096386,0.009681323114158934,0.035211267605633804,0.1655328798185941,0.4343612334801762,0.03342245989304813
0.07530120481927711,0.008874546187979023,0.21511627906976744,0.39253539253539255,0.0951276102088167,0.19791666666666666
0.16666666666666666,0.36046511627906974,0.30158730158730157,0.022070626003210272,0.08598726114649681,0.21585903083700442
0.5379061371841155,0.030548068283917342,0.22272727272727272,0.1511627906976744,0.03759398496240601,0.21348762968874702
0.05595667870036101,0.053009883198562445,0.0856269113149847,0.09513274336283185,0.14732142857142858,0.09722222222222222
0.35135135135135137,0.14016172506738545,0.05202312138728324,0.638095238095238,0.21839080459770116,0.08757062146892655
0.01734570391286809,0.021211084502223743,0.13008130081300814,0.20993788819875778,0.04209844559585492,0.6756756756756757
0.009681323114158934,0.009921313718782073,0.04774535809018567,0.14189189189189189,0.2835249042145594,0.2219020172910663
0.008874546187979023,0.015395141977420458,0.11089108910891089,0.15606936416184972,0.03359173126614987,0.11330049261083744
0.011294876966518758,0.09339719466301745,0.053164556962025315,0.028455284552845527,0.15789473684210525,0.3519163763066202
0.36046511627906974,0.06984126984126984,0.4,0.10256410256410256,0.04251386321626617,0.11764705882352941
0.026954177897574125,0.061046511627906974,0.05555555555555555,0.1569620253164557,0.1094224924012158,0.02512562814070352
0.030548068283917342,0.10077519379844961,0.19078947368421054,0.5405405405405406,0.029966703662597113,0.20108695652173914
0.053009883198562445,0.02422480620155039,0.4433260393873085,0.5325581395348837,0.026938239159001315,0.26587301587301587
0.14016172506738545,0.022286821705426358,0.06004618937644342,0.03901825047199497,0.036420395421436005,0.10047846889952153
0.0215633423180593,0.0634441087613293,0.07417582417582418,0.12524461839530332,0.00960323477381855,0.023882896764252697
0.021211084502223743,0.16314199395770393,0.16356673960612692,0.2056451612903226,0.11003236245954692,0.28846153846153844
0.009921313718782073,0.13897280966767372,0.02064516129032258,0.27032136105860116,0.3777403035413153,0.051926298157453935
0.015395141977420458,0.04295704295704296,0.20191470844212359,0.15934065934065933,0.04772727272727273,0.15405405405405406
0.09339719466301745,0.025974025974025976,0.17773788150807898,0.09395973154362416,0.04247104247104247,0.3378076062639821
0.06984126984126984,0.21878121878121878,0.08527131782945736,0.5277777777777778,0.7851851851851852,0.023985239852398525
0.02422480620155039,0.3821656050955414,0.6126126126126126,0.15207877461706784,0.05084745762711865,0.4307692307692308
0.061046511627906974,0.03339882121807466,0.14417531718569782,0.09785932721712538,0.343801652892562,0.1953125
0.10077519379844961,0.036521739130434785,0.18471337579617833,0.01763440860215054,0.24538258575197888,0.3155216284987277
0.02422480620155039,0.04331450094161959,0.10802469135802469,0.09090909090909091,0.07331042382588775,0.06569343065693431
0.022286821705426358,0.21861777150916784,0.03076923076923077,0.062360801781737196,0.5578947368421052,0.07068062827225131
0.0634441087613293,0.47808764940239046,0.12658227848101267,0.28169014084507044,0.0847953216374269,0.4423529411764706
0.16314199395770393,0.045816733067729085,0.15527950310559005,0.5755813953488372,0.23853211009174313,0.32116788321167883
0.13897280966767372,0.19597989949748743,0.028070175438596492,0.16666666666666666,0.1459227467811159,0.14948453608247422
0.06042296072507553,0.0665083135391924,0.7807394668959587,0.7278911564625851,0.05896805896805897,0.7388342165026495
0.03996003996003996,0.047505938242280284,0.6356589147286822,0.8185654008438819,0.013059701492537313,0.07387862796833773
0.04295704295704296,0.038318912237330034,0.09015421115065243,0.17201540436456997,0.18233082706766918,0.2
0.025974025974025976,0.027194066749072928,0.12927756653992395,0.09210526315789473,0.3969465648854962,0.13846153846153847
0.21878121878121878,0.09361702127659574,0.03908794788273615,0.04725609756097561,0.15789473684210525,0.07923169267707082
0.07903225806451612,0.06608695652173913,0.6420454545454546,0.047267355982274745,0.12198581560283688,0.2328767123287671
