Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 4.880172e-002  4.861516e-003  1.211626e-004
 4.925779e-002  4.684980e-003  1.212657e-004
 4.971386e-002  4.879495e-003  1.199721e-004
 5.016992e-002  4.704186e-003  1.201152e-004
 5.062599e-002  4.650931e-003  1.184122e-004
 5.108206e-002  4.713791e-003  1.189944e-004
 5.153812e-002  4.524486e-003  1.191943e-004
 5.199419e-002  4.666839e-003  1.184384e-004
 5.245025e-002  4.243854e-003  1.179350e-004
 5.290631e-002  4.410426e-003  1.153852e-004
 5.336238e-002  4.552157e-003  1.182987e-004
 5.381844e-002  4.305104e-003  1.157385e-004
 5.427450e-002  4.503367e-003  1.160725e-004
 5.473056e-002  4.196358e-003  1.159883e-004
 5.518662e-002  4.152991e-003  1.142421e-004
 5.564268e-002  4.074975e-003  1.158579e-004
 5.609874e-002  4.217019e-003  1.126527e-004
 5.655479e-002  3.860447e-003  1.139725e-004
 5.701085e-002  3.895461e-003  1.130049e-004
 5.746691e-002  3.892316e-003  1.133791e-004
 5.792296e-002  3.900745e-003  1.139086e-004
 5.837902e-002  3.798033e-003  1.108530e-004
 5.883507e-002  4.052220e-003  1.125688e-004
 5.929113e-002  3.671367e-003  1.109780e-004
 5.974718e-002  3.815142e-003  1.108592e-004
 6.020323e-002  3.817640e-003  1.118993e-004
 6.065928e-002  3.790656e-003  1.090449e-004
 6.111533e-002  3.666404e-003  1.108882e-004
 6.157138e-002  3.468948e-003  1.090213e-004
 6.202743e-002  3.462669e-003  1.089860e-004
 6.248348e-002  3.528967e-003  1.092334e-004
 6.293953e-002  3.564522e-003  1.075043e-004
 6.339557e-002  3.270503e-003  1.094158e-004
 6.385162e-002  3.315308e-003  1.068885e-004
 6.430766e-002  3.212489e-003  1.075017e-004
 6.476371e-002  3.358243e-003  1.067393e-004
 6.521975e-002  3.270758e-003  1.066105e-004
 6.567579e-002  3.323590e-003  1.073296e-004
 6.613184e-002  3.077505e-003  1.059026e-004
 6.658788e-002  3.083409e-003  1.059574e-004
 6.704392e-002  3.289623e-003  1.050058e-004
 6.749995e-002  3.106739e-003  1.044741e-004
 6.795599e-002  2.910882e-003  1.051842e-004
 6.841203e-002  2.970101e-003  1.036216e-004
 6.886807e-002  3.022587e-003  1.052076e-004
 6.932410e-002  3.080008e-003  1.040875e-004
 6.978014e-002  2.655085e-003  1.037827e-004
 7.023617e-002  2.995900e-003  1.025472e-004
 7.069220e-002  2.759261e-003  1.028813e-004
 7.114824e-002  2.718228e-003  1.032185e-004
 7.160427e-002  2.611496e-003  1.016703e-004
 7.206030e-002  2.691748e-003  1.030048e-004
 7.251633e-002  2.768000e-003  1.008144e-004
 7.297236e-002  2.722865e-003  1.018695e-004
 7.342838e-002  2.672581e-003  1.013882e-004
 7.388441e-002  2.574030e-003  9.996049e-005
 7.434043e-002  2.568140e-003  1.010881e-004
 7.479646e-002  2.613002e-003  1.005267e-004
 7.525248e-002  2.615602e-003  1.001999e-004
 7.570851e-002  2.650597e-003  9.993217e-005
 7.616453e-002  2.463361e-003  9.876885e-005
 7.662055e-002  2.612610e-003  1.000201e-004
 7.707657e-002  2.450096e-003  9.861915e-005
 7.753259e-002  2.435260e-003  9.930330e-005
 7.798861e-002  2.334530e-003  9.798219e-005
 7.844462e-002  2.438907e-003  9.773456e-005
 7.890064e-002  2.483328e-003  9.844906e-005
 7.935665e-002  2.679292e-003  9.706275e-005
 7.981267e-002  2.351743e-003  9.805166e-005
 8.026868e-002  2.161286e-003  9.712161e-005
 8.072469e-002  2.165499e-003  9.713578e-005
