Entry	Mapped PubMed ID
P31269	16189514; 19060904; 22575643; 23455154
O15350	10391250; 10818360; 11264583; 11278253; 11463392; 11572983; 11675903; 11684014; 11720435; 11748232; 11788901; 11804596; 11839584; 11840343; 11844794; 11844800; 11847229; 11859407; 11870517; 11891335; 11909952; 11919562; 11920588; 11957139; 11988839; 12023887; 12032848; 12034725; 12080043; 12082536; 12095638; 12097319; 12133444; 12150978; 12164325; 12213815; 12353228; 12388104; 12427762; 12430182; 12519788; 12524540; 12534345; 12584188; 12601175; 12639967; 12642871; 12676926; 12750388; 12766778; 12782576; 12789260; 12810679; 12824179; 12841870; 12853970; 12875622; 12901798; 12920125; 12934108; 12954612; 12969350; 1373520; 14511408; 14522906; 14585975; 14614455; 14618632; 14634023; 14654522; 14654547; 14678968; 14701724; 14729977; 14732927; 14757278; 14760085; 15033688; 15066318; 15077164; 15081420; 15138575; 15161684; 15175114; 15175157; 15180941; 15184504; 15291355; 15302867; 15359011; 15360002; 15390192; 15450420; 15466174; 15475076; 15492805; 15492852; 15572378; 15578704; 15598310; 15609309; 15650240; 15678106; 15723718; 15723830; 15734740; 15737644; 15741235; 15769743; 15813917; 15844599; 15849742; 15865923; 15865927; 15877106; 15919663; 15921610; 15975558; 15978938; 15985436; 16044147; 16087177; 16087678; 16110322; 16135520; 16135803; 16195739; 16203738; 16205639; 16235026; 16290057; 16343436; 16397624; 16413471; 16430884; 16434604; 16449968; 16512489; 16580132; 16636659; 16645632; 16721041; 16738062; 16741250; 16750013; 16814250; 16815295; 16818688; 16831876; 16869745; 16950799; 16953234; 16980297; 16998810; 17013834; 17018588; 17047653; 17058198; 17094900; 17136456; 17150106; 17169329; 17284521; 17297437; 17304243; 17336302; 17346710; 17347683; 17385050; 17428654; 17446929; 17452332; 17496887; 17611664; 17617876; 17626635; 17693405; 17695396; 17716971; 17761206; 17825253; 17889669; 17912537; 17952118; 17982488; 18022156; 18049450; 18234963; 18239687; 18259191; 18260640; 18275817; 18342333; 18343378; 18350258; 18362891; 18421303; 18469517; 18480060; 18499675; 18546269; 18555006; 18565851; 18579560; 18593586; 18676979; 18678646; 18701437; 18701449; 18719392; 18922894; 18950845; 18978678; 18988287; 19008096; 19008105; 19012493; 19016816; 19020940; 19074885; 19096009; 19106635; 19111660; 19119599; 19139399; 19148480; 19158275; 19173293; 19182530; 19188449; 19197996; 19204927; 19218448; 19293798; 19360352; 19386249; 19390575; 19423161; 19426493; 19442657; 19509292; 19509552; 19523927; 19541822; 19576172; 19581013; 19585505; 19597475; 19615968; 19657586; 19666006; 19671150; 19690970; 19727727; 19763140; 19763917; 19777343; 19779497; 19789190; 19815500; 19851296; 19861536; 19876867; 19885566; 19947923; 19952113; 19956069; 20010785; 20081800; 20100536; 20146801; 20198315; 20211107; 20298673; 20305378; 20336668; 20471636; 20528922; 20530692; 20540768; 20581467; 20615966; 20644561; 20644729; 20644956; 20675383; 20676143; 20733477; 20803057; 20807285; 20807817; 20842728; 20845513; 20926182; 21048031; 21093410; 21109973; 21114965; 21127199; 21127500; 21129776; 21146529; 21212274; 21233848; 21245298; 21290209; 21344162; 21380933; 21399658; 21402718; 21427767; 21443127; 21482671; 21502193; 21516125; 21573788; 21617940; 21711160; 21717430; 21725362; 21738216; 21801448; 21807636; 21811875; 21837762; 21852228; 21873427; 21891782; 21903324; 21933556; 21933882; 21946516; 21976716; 21979586; 22002055; 22011187; 22075982; 22076304; 22201672; 22228141; 22240899; 22340593; 22419114; 22430213; 22449255; 22455848; 22457351; 22474346; 22496369; 22508983; 22523600; 22534503; 22535334; 22538442; 22702391; 22718761; 22728462; 22729911; 22873408; 22917970; 22952705; 22964633; 22971533; 22974165; 22981223; 23001041; 23065572; 23085759; 23095717; 23188674; 23193016; 23228853; 23243311; 23271007; 23338942; 23362263; 23365256; 23384909; 23386643; 23414597; 23443851; 23446842; 23447575; 23516355; 23538419; 23703390; 23717592; 23799104; 23880825; 23892287; 23913810; 23919926; 23965876; 24052075; 24121663; 24127039; 24135282; 24186203; 24213852; 24225749; 24249729; 24377595; 24382691; 24404147; 24488880; 24576672; 24590897; 24660851; 24714389; 24722210; 24742294; 24845566; 24874608; 24934361; 24943681; 24983500; 25034213; 25071010; 25071155; 25134538; 25201258; 25237903; 25283809; 25301064; 25331851; 25341038; 25374236; 25379016; 25400764; 25417702; 25514460; 25516466; 25532599; 25535357; 25554796; 25556480; 25591003; 25659586; 25666857; 25774835; 25793426; 25794170; 25893286; 25910708; 25915849; 25950386; 25954972; 25972084; 26018080; 26063735; 26182360; 26184366; 26267146; 26337278; 26392358; 26429976; 26435500; 26490992; 26529454; 26554827; 26575022; 26586573; 26625870; 26640387; 26711266; 26907686; 26930720; 26938985; 27103208; 27107493; 27228340; 27349281; 27389779; 27447112; 27533450; 27589690; 27654017; 27716744; 27825141; 28025428; 28035072; 28128397; 28212736; 28235466; 28257089; 28291250; 28350813; 28403886; 28415779; 28551631; 28655470; 28674078; 28710427; 28971956; 29107083; 29222041; 29233040; 29474580; 29508625; 29615516; 29628507; 29845295; 30099987; 30106095; 30206212; 30213795; 30316927; 30409970; 30420492; 30429221; 30445206; 30530920; 30593514; 30631149; 30700826; 31318640; 31332036; 31763674; 31852961; 32063627; 32191420; 32285119; 32378727; 32416102; 32759975; 32773110; 33069756; 33093445; 33168930; 33202205; 33375680; 33649219; 33672023; 7834749; 8242741
Q13342	12368356; 18758461; 20332261; 20711500; 20731705; 26152201; 26888452; 30102396; 30465816
Q96RK0	15161933; 16713569; 18847512; 19837261; 19913121; 20628086; 20711500; 20936779; 21087211; 21817013; 21900206; 22072542; 22588899; 22869205; 23512657; 23887164; 24030748; 24086756; 24136289; 24155902; 24197863; 24723486; 24897389; 25007147; 25277207; 25609649; 26017892; 26124181; 26545048; 26685084; 26735859; 26794043; 27079694; 27869830; 28178529; 28188754; 28278156; 28295365; 28346326; 28645808; 28939681; 29700887; 29901569; 30093628; 30115695; 30407212; 30737375; 31043608; 31215432; 31323153; 31886887; 31913744; 32026485; 32048619; 32108163; 32169577; 32840647; 33326746
P48380	15024578; 16189514; 19671664; 21516116; 22415835; 23822649; 25416956; 25609649; 29317724; 30127002
Q6ZRS2	11013263; 16230350; 17101442; 20432434; 20467438; 20711500; 21673954; 22479200; 22965468; 23165645; 23763483; 24375913; 25176633; 25433523; 25609649; 27208210; 29138493; 30337683; 33909990; 34145229
P36402	10080941; 10485845; 10559189; 10769018; 10775268; 10831834; 10919662; 11050151; 11080158; 11136974; 11532957; 11713476; 11809808; 11809809; 11934263; 11940574; 11955446; 11973335; 11988739; 12086873; 12163411; 12556497; 12765974; 14600025; 14695187; 15060161; 15121853; 15294866; 15327769; 15525529; 15768032; 15829968; 16005293; 16169192; 16442529; 16510874; 16547505; 16630820; 16756492; 17052462; 17425782; 17428831; 17458864; 17875931; 17923689; 18160704; 18347063; 18404694; 18498752; 18563468; 18621708; 18721877; 18772112; 19148484; 19358846; 19460168; 19487454; 19493659; 19559392; 19571879; 19928349; 20405012; 21654818; 21726809; 22186018; 22190459; 22617422; 22982193; 23256519; 23904219; 25678599; 8756721; 8757136; 8955148; 9118222; 9490669; 9751710; 9819412; 9843967
Q06413	10330143; 10643692; 10713165; 10737771; 10805738; 11744164; 11792813; 12061776; 12135755; 12376544; 12563009; 12764228; 12826611; 15084602; 16469744; 16504037; 17611778; 17630987; 17903302; 18067759; 18079734; 18511691; 18660489; 18950845; 19011954; 19065516; 19093215; 19453261; 19720801; 19751190; 19801982; 19828686; 19913121; 20195357; 20412115; 20513142; 20610535; 20628086; 20709755; 20936779; 21060863; 21481790; 21556048; 21652706; 21849497; 21901155; 21988832; 22073279; 22275376; 22363514; 22449245; 22718505; 22798246; 22997707; 23001426; 23174904; 23226416; 23468913; 23572186; 23752268; 23776548; 24008018; 24290359; 24337390; 24412363; 24988463; 25328135; 25336633; 25352737; 25404735; 25416133; 25609649; 25691421; 25733682; 25789873; 26172269; 26184978; 26426104; 26487643; 26864752; 26900922; 26921792; 26923194; 27255693; 27268728; 27276684; 27297623; 27337099; 27479909; 27553283; 27616567; 27664809; 27907007; 28017720; 28456137; 28473437; 28482719; 28799067; 28821601; 28902616; 29104469; 29112298; 29413154; 29431698; 29526696; 29678826; 29714661; 29863696; 29995456; 30006604; 30335237; 30376817; 30445463; 31094920; 31140610; 31254364; 31900516; 32003456; 32017034; 32046534; 32186750; 32410261; 33270893; 33303006; 33831796; 34022131; 8663403; 9418854; 9529258; 9858528; 9988769
Q9Y2H8	10330177; 14519192; 15231748; 16606702; 19030899; 20562859; 21497587; 23602568; 24412244; 33326746; 8183939; 8769649
Q5JVG8	10330177; 14519192; 16606702; 30013081; 8183939; 8769649
P06401	10235266; 10542397; 10811106; 10840043; 11323389; 11326686; 11668223; 11668524; 11677150; 11717311; 11821088; 11865025; 11918216; 11948021; 12009358; 12010857; 12021276; 12021930; 12038703; 12048256; 12088866; 12090595; 12113882; 12114521; 12149147; 12218173; 12297552; 12402980; 12414909; 12446585; 12529333; 12529413; 12554765; 12554776; 12556966; 12594000; 12612073; 12650698; 12672823; 12673676; 12699057; 12748280; 12759236; 12771131; 12861133; 12899921; 12943699; 12943706; 14500352; 14519645; 14551264; 14557830; 14586360; 14617569; 14634838; 14667966; 14667967; 14684847; 14769635; 14978266; 15001645; 15036714; 15084343; 15084345; 15102680; 15171716; 15175151; 15184270; 15189034; 15219637; 15272913; 15272917; 15282324; 15330195; 15381922; 15509639; 15535845; 15555905; 15562029; 15563544; 15572421; 15579801; 15591061; 15598772; 15601848; 15607534; 15613410; 15632380; 15654614; 15698546; 15718480; 15728178; 15743833; 15797250; 15807882; 15863956; 15866121; 15896744; 15996107; 16126772; 16168103; 16244490; 16323958; 16331541; 16339279; 16339776; 16360811; 16384861; 16439457; 16477637; 16481409; 16524927; 16537702; 16614108; 16646051; 16751179; 16759928; 16762974; 16772530; 16799708; 16901007; 16912174; 16920727; 16931575; 16973758; 16985250; 16999816; 17006756; 17018785; 17021053; 17224149; 17277083; 17291258; 17293450; 17316413; 17356170; 17413977; 17484509; 17512111; 17522428; 17592773; 17599361; 17609436; 17609999; 17646097; 17727850; 17785366; 17805208; 17845055; 17847935; 17885486; 17896177; 17914494; 17919323; 17950525; 17951080; 17958742; 17965625; 17992477; 18042733; 18048499; 18184269; 18189290; 18197009; 18215457; 18219286; 18249378; 18276950; 18281038; 18313072; 18316616; 18321550; 18378698; 18384825; 18386458; 18391223; 18392676; 18394649; 18421469; 18481002; 18483177; 18508999; 18510611; 18511503; 18557990; 18617611; 18628428; 18629635; 18631401; 18636124; 18645713; 18665217; 18668363; 18676680; 18681990; 18683043; 18686353; 18691687; 18722616; 18776045; 18798271; 18801410; 18818748; 18819936; 18835831; 18850387; 18980792; 19019335; 19056530; 19061285; 19064572; 19093516; 19094228; 19095059; 19106225; 19124506; 19147544; 19147702; 19152063; 19154258; 19170196; 19175383; 19196877; 19205874; 19205877; 19208263; 19208313; 19211567; 19217090; 19220894; 19258476; 19267271; 19274700; 19289570; 19296948; 19299443; 19309393; 19330259; 19336370; 19339282; 19367380; 19372222; 19372234; 19382201; 19383545; 19389812; 19415745; 19419938; 19423537; 19423654; 19436038; 19458022; 19462450; 19476621; 19497994; 19499404; 19551860; 19555469; 19574343; 19574486; 19595590; 19604497; 19625176; 19636371; 19657752; 19673915; 19676041; 19692168; 19696694; 19701771; 19706513; 19715581; 19720911; 19739075; 19762712; 19782484; 19809499; 19820388; 19835506; 19838027; 19846565; 19887485; 19913121; 19926282; 19940123; 19940364; 19952285; 19952937; 19961842; 19996313; 20000807; 20006655; 20008003; 20019164; 20026682; 20038533; 20063045; 20076999; 20082859; 20082875; 20087430; 20087433; 20090851; 20096719; 20123965; 20124487; 20140262; 20148360; 20167054; 20228224; 20299092; 20305341; 20308044; 20308837; 20335148; 20337826; 20374701; 20379614; 20381444; 20392877; 20400074; 20404095; 20436503; 20453000; 20484415; 20547493; 20550710; 20557310; 20586553; 20628086; 20634197; 20646629; 20661446; 20690804; 20713855; 20716560; 20719308; 20734064; 20814185; 20829392; 20844986; 20861224; 20872186; 20873988; 20876300; 20890067; 20920367; 20946440; 20956022; 20959426; 20960162; 20962507; 21029696; 21085752; 21086036; 21093858; 21095220; 21119048; 21138753; 21141441; 21145845; 21148628; 21152100; 21152841; 21184272; 21184768; 21243274; 21269613; 21271213; 21340479; 21397694; 21422407; 21432776; 21437249; 21444077; 21447625; 21459801; 21491087; 21518957; 21544804; 21600232; 21619605; 21655654; 21700456; 21736840; 21749714; 21751163; 21762477; 21764500; 21815951; 21816898; 21840784; 21840910; 21849509; 21877015; 21901395; 21980607; 22004841; 22022496; 22047608; 22057681; 22092403; 22093824; 22105149; 22107784; 22119825; 22199306; 22201220; 22203942; 22217299; 22281037; 22290394; 22318716; 22329840; 22369759; 22394363; 22414972; 22419721; 22433123; 22466340; 22492871; 22496908; 22509838; 22529366; 22535964; 22545144; 22580007; 22590818; 22593082; 22613790; 22633539; 22697792; 22722322; 22727345; 22808109; 22972951; 23018797; 23022996; 23029355; 23060300; 23177737; 23199240; 23209664; 23222299; 23307470; 23339407; 23349706; 23380370; 23397283; 23403292; 23485561; 23490124; 23506845; 23558572; 23570281; 23574718; 23597562; 23603247; 23666965; 23668054; 23687977; 23699411; 23706170; 23723333; 23757214; 23764995; 23810009; 23812730; 23818346; 23818347; 23818363; 23859042; 23873108; 23881388; 23907837; 23934021; 23970345; 23977306; 23995840; 24021827; 24036907; 24051696; 24057181; 24114857; 24162264; 24197980; 24225150; 24245695; 24269135; 24276461; 24300977; 24302725; 24322014; 24345432; 24398991; 24401087; 24423317; 24442343; 24469035; 24481237; 24531693; 24549642; 24570392; 24606123; 24664419; 24667714; 24684970; 24785095; 24815444; 24851606; 24853881; 24894997; 24909783; 24943061; 24945100; 24992175; 25015900; 25037596; 25076292; 25170613; 25204619; 25216078; 25217304; 25228088; 25261374; 25281525; 25337220; 25338681; 25353185; 25385317; 25439299; 25494303; 25584414; 25595111; 25600243; 25603724; 25723513; 25778292; 25778295; 25802405; 25833156; 25845386; 25875046; 25908555; 26006736; 26036714; 26037298; 26045548; 26053183; 26153859; 26160085; 26161666; 26252518; 26260940; 26261614; 26286601; 26304264; 26340407; 26387168; 26403396; 26428028; 26458823; 26517007; 26577046; 26579819; 26715264; 26715749; 26742937; 26820652; 26829108; 26881523; 26892043; 26916548; 26996671; 27022068; 27069179; 27080304; 27163153; 27171541; 27220952; 27233474; 27323100; 27323161; 27449817; 27462784; 27466487; 27479811; 27593876; 27632388; 27634883; 27653036; 27663075; 27664517; 27690341; 27717886; 27728856; 27852068; 27886516; 27960568; 28248726; 28320297; 28333280; 28365834; 28376177; 28412963; 28416639; 28522317; 28540297; 28576827; 28614857; 28671036; 28692043; 28713912; 28736153; 28832070; 28870906; 28912152; 28929346; 28935174; 28972310; 28975433; 29081408; 29126102; 29162724; 29208958; 29217458; 29237804; 29285885; 29353001; 29353824; 29368311; 29370776; 29383962; 29409530; 29417738; 29491078; 29629944; 29630404; 29729689; 29762972; 29894708; 29916276; 30054508; 30117066; 30443761; 30452456; 30534815; 30553188; 30734405; 30782101; 30829727; 30926428; 30936295; 31100306; 31262976; 31373033; 31583246; 31598691; 31763970; 31805393; 31879032; 32004675; 32102520; 32108623; 32317515; 32429997; 32437964; 32493230; 32563156; 32686665; 32733932; 32777541; 32795492; 32800344; 33112958; 33335078; 33449351; 33706098; 33903732; 33916643; 7983041; 9155067; 9653119
Q14494	12729924; 17609210; 20102225; 20237496; 20385086; 20629635; 20711500; 21953459; 21988832; 22216197; 22500024; 22932898; 22971132; 23144760; 23414517; 23623971; 23816881; 24024152; 24462598; 24466341; 25130429; 25637874; 26231763; 26254094; 26268886; 26496610; 27065079; 27416755; 28625484; 29421237; 29941490; 30177525; 30287392; 30755497; 30814566; 31628195; 31687076; 32188015; 32366381; 32521225; 32924844; 33376579; 33933455
Q6ISB3	17921507; 18752864; 20379614; 21557239; 21949371; 22379025; 23284647; 23690579; 23813623; 23814079; 24068586; 24131873; 24756066; 25416956; 25550776; 25758223; 26069269; 26085095; 26400775; 26826389; 26847018; 26933170; 27008704; 27083884; 27084311; 27271650; 27612988; 28040329; 28266048; 28278050; 28459369; 28473532; 28543713; 28636799; 28714958; 28960866; 29110737; 30455249; 30508726; 30853467; 30917932; 30958537; 31084623; 31232964; 31233731; 31340691; 31354028; 31372511; 32324317; 32660626; 33810548
O75467	10330177; 14519192; 16606702; 20360068; 20562864; 33326746; 8183939; 8769649
Q8TAW3	10330177; 14519192; 16606702; 21900206; 26320192; 28716111; 29052525; 30633424; 8183939; 8769649
Q9BWM5	10330177; 14519192; 16606702; 33326746; 8183939; 8769649
Q9NXT0	10330177; 14519192; 16606702; 20711500; 21150319; 33326746; 8183939; 8769649
Q9NWS9	10330177; 14519192; 15936718; 16606702; 21988832; 33326746; 8183939; 8769649
O43296	10330177; 14519192; 16606702; 20562864; 33326746; 8183939; 8769649
Q13127	10381005; 10444591; 10882540; 10904264; 10922406; 11378386; 11545734; 11742974; 11755530; 11781575; 11909966; 11959846; 12032298; 12192000; 12492469; 12628452; 12724404; 12829700; 1377233; 14565956; 14633990; 15068239; 15240883; 15322094; 15528196; 15681389; 1570299; 15767543; 16221685; 16247481; 16253247; 16330548; 16417580; 16418168; 16478988; 16676006; 16702404; 17023429; 17211407; 17468742; 17540862; 17555596; 17823282; 17873065; 17974977; 18172008; 18234667; 18279434; 18354483; 18385973; 18391013; 18487508; 18518926; 18570921; 1861162; 18691653; 18771760; 18922795; 18959489; 18990442; 19134002; 19149626; 19173732; 19194657; 19246391; 19401398; 19426709; 19439607; 19440552; 19539370; 19631241; 19846118; 19884659; 19913121; 19913583; 20080105; 20170730; 2017159; 20179156; 20392875; 20548947; 20564196; 20624818; 20628086; 20652837; 20697351; 20926649; 20942606; 21221247; 21252229; 21289308; 21396985; 21536750; 21587264; 21621608; 21832040; 21921234; 21948504; 22065583; 22128185; 22228704; 22396653; 22419809; 22530801; 22532168; 22569092; 22665064; 22668508; 22684772; 22701651; 22792276; 22821339; 22958208; 23069678; 23086924; 23151521; 23168245; 23216891; 23238568; 23250796; 23284171; 23287862; 23598529; 23651552; 23928058; 24068568; 24126098; 24135225; 24163104; 24415532; 24634989; 24718924; 24740933; 25154622; 25220237; 25424701; 25453754; 25524378; 25559091; 25569790; 25613376; 25728608; 25990720; 26003726; 26071481; 26100015; 26101246; 26119235; 26288249; 26307266; 26341630; 26647819; 26690059; 26708060; 2676516; 26910647; 27034167; 27685921; 27697091; 27698411; 27976729; 28040710; 28076410; 28142142; 28218430; 28483947; 28570664; 28842657; 28912501; 29351877; 29931089; 29944905; 30006541; 30108242; 30217818; 30391650; 30456455; 30670636; 30699343; 30903955; 31146914; 31242417; 31361762; 31428904; 31535361; 31631027; 32305596; 32556117; 32946763; 32965043; 33038663; 33326746; 33652591; 33719663; 33834072; 34106879; 7513682; 7595538; 8756618; 9032251; 9084409; 9150135; 9651585; 9790534
Q15788	10075656; 10207113; 10334992; 10334993; 10409727; 10425206; 10529898; 10558993; 10588945; 10777541; 10882139; 11027271; 11113179; 11136970; 11165043; 11226238; 11267664; 11330046; 11345900; 11387316; 11581164; 11682626; 11689423; 11818499; 11870371; 11971985; 12037571; 12077340; 12114525; 12118000; 12118039; 12163482; 12177166; 12213831; 12403846; 12482968; 12482985; 12486725; 12505311; 12582161; 12663868; 12736258; 12815072; 12829629; 12909012; 12933903; 12958591; 14631847; 14636573; 14651853; 14675539; 14684751; 14698205; 14699511; 14715875; 14764426; 14980219; 14982928; 14985122; 15001666; 15056000; 15067378; 15130092; 15161930; 15199055; 15231721; 15273253; 15456246; 15456935; 15500444; 15530426; 15548008; 15576033; 15610735; 15615775; 15635043; 15850785; 15862975; 15876535; 15919796; 15943471; 16009131; 16046058; 16061183; 16087863; 16269961; 16274693; 16373399; 16380219; 16407282; 16456540; 16476485; 16503871; 16540468; 16541101; 16723356; 16737814; 16775354; 16871576; 16882880; 16908160; 16919947; 16972786; 17007889; 17011499; 17060461; 17157019; 17188490; 17218092; 17243659; 17306620; 17346665; 17353003; 17429319; 17476214; 17476305; 17627277; 17641689; 17673910; 17919607; 18039840; 18160712; 18284209; 18288277; 18391212; 1840554; 18451880; 18456871; 18540824; 18604218; 18617639; 18621523; 18660489; 18719978; 18762174; 18845648; 18848529; 18931025; 18940664; 19039327; 19064572; 19088433; 19095746; 19115207; 19116277; 19172745; 19183483; 19203349; 19255064; 19276281; 19282365; 19289416; 19326383; 19328688; 19349176; 19383337; 19452630; 19453261; 19464171; 19481530; 19485965; 19497877; 19586769; 19710929; 19763509; 19913121; 19934321; 19934375; 19953635; 20003447; 20101261; 20110263; 20145129; 20194623; 20203100; 20219371; 20379614; 20382159; 20478996; 20543827; 20628086; 20682316; 20711500; 20817722; 20922740; 21059860; 21134747; 21256005; 21269824; 21381753; 21550420; 21760925; 21798739; 21890356; 21986665; 22056668; 22072566; 22142990; 22225641; 22328528; 22355136; 22357520; 22371500; 22406115; 22584573; 22642567; 22727448; 22927406; 22957834; 23172872; 23178929; 23265881; 23602807; 2384150; 24189439; 24196956; 24438340; 24586072; 24648347; 24652666; 24719557; 24769444; 24875297; 25053412; 25260197; 25500867; 25620699; 25663755; 25675114; 25933005; 25962847; 26066330; 26183621; 26203193; 26238323; 26267537; 26287601; 26291341; 26371783; 26602186; 26920453; 27011007; 27071062; 27239967; 27255895; 27337155; 27842582; 27897427; 28060733; 28264017; 28286232; 28342850; 28390937; 28396297; 28399453; 28493531; 28539435; 28808527; 28860545; 28963450; 29203888; 29204945; 29233651; 29311579; 29367669; 29367763; 29456799; 29474466; 29717026; 29733645; 30275017; 30594432; 30596500; 30652849; 30891142; 30973923; 30979869; 31257087; 31371757; 31581474; 31638797; 31694317; 31746599; 31935812; 32050066; 32187044; 32334911; 32787090; 32890685; 33090636; 33108181; 33205029; 33335675; 33422603; 7531665; 7685352; 7838715; 7892212; 7935485; 7937828; 7981125; 8001151; 8195246; 8197458; 8419924; 8643605; 8647822; 8706692; 8770873; 8830050; 8876171; 8970730; 9012850; 9065481; 9171241; 9556555; 9611253; 9731700; 9748239
Q9NPC7	18676680; 19170196; 19625176; 19692168; 20936779; 30120764
Q03112	11328817; 11378386; 11545734; 11781575; 11922610; 11959846; 12393383; 14555651; 15849193; 15914564; 16014322; 16342172; 16418168; 16582916; 16676006; 16702404; 17014970; 17243162; 17507183; 17635584; 17693189; 17693194; 17873065; 17894555; 17974977; 18172008; 18181178; 18262061; 18272813; 18391013; 18452556; 18487508; 18619962; 18752846; 18815193; 19208846; 19241117; 19352083; 19385966; 19440552; 19605700; 19776757; 19884659; 20084277; 20098431; 20308656; 20357826; 20363750; 20379614; 20512145; 20532840; 20634891; 20842122; 20855866; 21176350; 21190993; 21289308; 21362509; 21555002; 21636719; 21750091; 22014111; 22033412; 22128185; 22161860; 22295105; 22308434; 22488406; 22553314; 22555662; 22634393; 22887804; 22894935; 23008312; 23155256; 23212151; 23287862; 23349225; 23457546; 23509296; 23517670; 23665236; 23752186; 23776681; 23826213; 23858473; 24021671; 24055488; 24703711; 24703906; 24718924; 24747972; 24828867; 24856998; 24907396; 24935473; 25486480; 25486926; 25567132; 25728608; 25886616; 25936528; 25959919; 26234679; 26467814; 26554871; 26674644; 26729571; 26815134; 26910647; 26935937; 26967394; 27617580; 27617961; 27908728; 27991928; 28182364; 28191887; 28209621; 28391050; 29097497; 29214881; 29288910; 29339729; 29356389; 29405993; 29408852; 29415082; 29439187; 29540340; 29846125; 29879503; 29939287; 30214063; 30390009; 30462309; 30536840; 30576868; 30592274; 30770775; 30813931; 31109591; 31421124; 31482295; 31593983; 31617054; 31649131; 31822659; 32013033; 32064714; 32189545; 32219447; 32535247; 32581025; 32752071; 32819598; 33082307; 33903593
O14771	10330177; 14519192; 16606702; 33939216; 8183939; 8769649
Q12986	19690564; 26496610
Q92754	10497269; 10648798; 11773066; 11859873; 12228234; 12801994; 12833450; 14565844; 15475956; 15569994; 15700319; 15870067; 16636674; 16867219; 17875680; 17947476; 18042070; 18443366; 19130459; 19443578; 19458056; 19671168; 19798054; 1998122; 2010091; 20629094; 21084835; 21468029; 21572391; 21988832; 22371483; 22560121; 22702469; 22735262; 22964634; 23036739; 23334330; 23382213; 24023917; 24045439; 24469049; 24835590; 24969902; 25303530; 25315380; 25665578; 25772240; 26160249; 26832794; 27593936; 27885255; 28610956; 29035388; 29439714; 29615098; 29695788; 30590035; 30686763; 30824562; 31542614; 31619506; 31636386; 32423796; 32462520; 32857912; 33213447; 34036684; 7891714; 8895516; 8988173; 9182571; 9850080
P48378	15024578; 16189514; 19913121; 20381594; 20628086; 22415835; 24424412; 25609649; 33453283
Q6P1L6	10330177; 14519192; 16606702; 25416956; 8183939; 8769649
Q9BQW3	22094256
Q8NHM5	16732292; 16943429; 17672918; 17704768; 20379614; 20457893; 21252908; 22086844; 22825849; 23256043; 23321669; 24853546; 25225797; 25273595; 25877602; 26004508; 26496610; 26725323; 26808549; 26989077; 27106595; 28124441; 28415746; 28506929; 28661478; 28684529; 29408056; 29502955; 29563586; 29763382; 29772566; 30060056; 30409964; 30629659; 30996097; 31041569; 31218831; 31590057; 31941533; 32175798; 33029857; 33091189; 33402700; 33450359; 33779563
Q9H2C1	10325223; 11566211; 12782966
Q99593	10587520; 12845333; 16332960; 19336370; 19430479; 23245941; 9584153; 9651244
Q9NR11	10330177; 14519192; 16606702; 20562864; 21988832; 23414517; 25416956; 33326746; 8183939; 8769649
P24278	16189514; 16713569; 20064372; 20410506; 21516116; 21988832; 25416956; 26496610; 28768860
Q01664	18052253; 18480385; 18818310; 19505873; 19615732; 21336989; 21719561; 22615908; 23055200; 23752226; 23949224; 24065543; 24500709; 25261373; 25416956; 25609649; 25665578; 26496610; 27448979; 28000370; 28427243; 28981098; 29378908; 29880876; 30026867; 30177706; 31281549; 31530880; 31943575
Q14587	10330177; 14519192; 16606702; 31835635; 33326746; 8183939; 8769649
Q15319	12209986; 14585957; 15465029; 17611044; 19138900; 19372648; 19462854; 20054994; 20434433; 24275721; 24556497; 25015561; 25372459; 27083884; 27271650; 27535032; 27999687; 28053790; 29850532; 32390314; 32684921
Q86UP3	18391951; 19913121; 20379614; 20546612; 20628086; 24440720; 25609649; 25855136; 28694483; 32105524
