Entry	Mapped PubMed ID
P26367	10373014; 10579975; 10777502; 10940626; 10954416; 11069920; 11493525; 11564718; 11825903; 11850181; 12011435; 12043047; 12052878; 12145169; 12324464; 12325030; 12368292; 12426319; 12540594; 12551916; 12591602; 12731001; 12789139; 12810581; 12868034; 12917329; 12953159; 14872040; 1499644; 15066147; 15079031; 15086958; 15340071; 15389894; 15629294; 15634700; 15659382; 15677484; 15735909; 15757974; 15889018; 15918896; 15923615; 16098226; 16115881; 16189514; 16219666; 16407227; 16511221; 16543198; 16604056; 16712695; 16728727; 16757478; 16785853; 16803629; 16873704; 17010333; 17031679; 17148041; 17202185; 17318412; 17415970; 17417613; 17485622; 17568989; 17653045; 17663992; 17679951; 17851529; 17893655; 17896318; 17898260; 17901057; 17908181; 17948041; 18070176; 18241071; 18243151; 18273794; 18332330; 18334930; 18393239; 18421978; 18440259; 18467663; 18593849; 18595732; 18616618; 18754095; 18766996; 18776953; 18973570; 19034419; 19124844; 19142206; 19218613; 19232136; 19607881; 19650334; 19651775; 19686589; 19703992; 19790232; 19793656; 19806578; 19806579; 19862335; 19898691; 19907666; 19917615; 19948975; 20054790; 20074565; 20231276; 20360993; 20379614; 20396773; 20413449; 20467438; 20523026; 20577777; 20592023; 20621053; 20664694; 20801516; 20806047; 21092858; 21169528; 21271670; 21321669; 21348901; 21353197; 21397818; 21421876; 21524647; 21589860; 21617155; 21633710; 21655361; 21691140; 21710692; 21816254; 21904390; 21922321; 21935435; 21944253; 21985185; 21988832; 21997878; 22025896; 22103961; 22146551; 22171157; 22171686; 22361317; 22392277; 22393272; 22393275; 22447870; 22509105; 22550392; 22561546; 22583899; 22621390; 22809227; 22815628; 22860217; 22872084; 22879880; 22893676; 23044950; 23211052; 23213273; 23566044; 23660406; 23734086; 23931477; 23942204; 23955559; 23970099; 23990468; 24078574; 24143217; 24185687; 24281366; 24349436; 24357251; 24390526; 24454925; 24505629; 24562376; 24623969; 24637479; 24737507; 24787241; 24939714; 25029272; 25030175; 25051057; 25189681; 25313118; 25342853; 25366758; 25433656; 25542770; 25555363; 25578969; 25678763; 25687215; 25696017; 25746674; 25804118; 26045558; 26130484; 26295830; 26345820; 26394807; 26439359; 26440771; 26496610; 26535646; 26661695; 26849621; 26879676; 26899008; 27110298; 27124303; 27229137; 27431685; 27470361; 27583466; 27818314; 27941241; 28035389; 28157223; 28184912; 28300742; 28321846; 28332226; 28488383; 28946814; 2898782; 29050852; 29112933; 29217025; 29345189; 29380764; 29436400; 29436689; 29512711; 29568088; 29618921; 29716531; 29807013; 29845293; 29901133; 29902091; 29930474; 29932076; 29980786; 30007277; 30015924; 30151985; 30221735; 30286322; 30291432; 30334364; 30362313; 30426773; 30453065; 30457409; 30569166; 30572005; 30592234; 30594196; 30621664; 30636604; 30896829; 30985247; 30986449; 31133012; 31161946; 31174676; 31361967; 31700164; 31708273; 31734509; 31861090; 31943460; 32016663; 32080308; 32125788; 32209258; 32396632; 32422284; 32467297; 32587369; 32608213; 32627030; 32686664; 32744312; 32826860; 32920601; 33099925; 33432525; 33544864; 33622875; 33745259; 34016071; 34065151; 3841689; 7566114; 7901001; 7908827; 8093325; 8428636; 8674428; 9163426; 9224716; 9272954; 9347914; 9360992; 9584121; 9637677
Q99594	10228168; 10379887; 15131259; 16189514; 17353931; 19324876; 20110263; 21988832; 23576552; 24255178; 24366813; 25416956; 25995450; 26364597; 26487755; 26496610; 26724994; 31138678; 31541452; 32142794; 33326746; 33850002
Q14209	10753885; 11564866; 11719808; 11883935; 12411495; 12566389; 14532106; 15469821; 16061792; 16169070; 16211008; 17135249; 17341621; 17380128; 17588684; 17916908; 1826560; 1828392; 1828393; 1828394; 18345030; 18660752; 19074885; 19142864; 19690970; 19738611; 19748357; 20226085; 20418948; 20711500; 20819778; 20855524; 21048031; 21988832; 22125623; 22344756; 22531302; 22688350; 22999819; 23297349; 23809258; 24397353; 24446828; 24793496; 25241761; 25647078; 25816091; 26012781; 26369285; 26474282; 26496610; 26498144; 26617764; 26967247; 27174918; 27185527; 27520092; 27655285; 27864908; 28919418; 28950256; 29072692; 29422529; 29862267; 29932246; 30219053; 30286793; 31213582; 31410735; 31699367; 31957837; 33087787; 33115417; 33342041; 33774025; 33860054; 34091441; 8246996; 8413249; 8497257; 8657141; 9190208; 9342358; 9520412; 9778043
Q92481	10822354; 12228234; 12270648; 14673213; 15057523; 15245963; 15569994; 15722186; 15870067; 15940393; 16169070; 16373396; 16698963; 16787706; 16954217; 17123722; 17185054; 17525748; 17574780; 17630431; 17728669; 18358611; 19184334; 19325541; 19336370; 19557161; 19778525; 1998122; 20019683; 2010091; 20607706; 20703240; 20724581; 21215182; 21504541; 21674055; 21766608; 22199100; 22952648; 22959235; 23382213; 23824473; 23881096; 24081236; 24507797; 24766673; 26189251; 26598443; 26615960; 28277615; 28381879; 29602546; 29683802; 29972820; 30552118; 30975199; 31113934; 31182639; 31292255; 31492751; 32462520; 32544596; 32856873; 33720400; 8895516; 9687504
Q7Z6R9	11694877; 11744733; 12586840; 16684505; 19115315; 1998122; 2010091; 23382213; 24789576; 30975199; 32143573
Q14938	11118217; 16565071; 16928756; 18754024; 19418463; 20150379; 21189253; 21953450; 22422452; 23455924; 24924640; 25118028; 25220407; 25416956; 25609649; 26653554; 26695693; 28076901; 28442439; 28800311; 29184170; 29897170; 29899543; 30264502; 30418046; 31045890; 31369202; 31888753; 32277047; 32701632; 32945093; 8035818; 8308883; 9660958
P23759	12039929; 12647804; 12865925; 15184910; 15688409; 17285543; 17353931; 17474147; 17613043; 17954266; 18788887; 18988640; 19097049; 19142206; 19453261; 20333749; 20351326; 20467438; 20677014; 21321994; 21421465; 21954137; 22089931; 22197543; 22374423; 23079386; 23205730; 23247248; 23463464; 23512105; 24554430; 26234681; 27195289; 27277678; 27526298; 28489749; 28643791; 28779497; 28935672; 29255294; 29920735; 31067297; 31173442; 31852888; 31990602; 32347924; 32541004; 33326746
Q9NP71	11470916; 11698644; 11724780; 12684532; 14742444; 15664996; 16885160; 17148476; 18193043; 18193044; 18193046; 18606808; 19060906; 19060911; 21988832; 22406740; 22506051; 23918932; 26638075; 32770072; 32776146; 9873057
Q9Y603	15743832; 20379614; 21988832; 24036451; 26335051; 29279524; 30025229; 30258985; 30478527; 33326746; 33424867
O43670	16055720; 17332742; 19615732; 20467438; 20562859; 20711500; 21988832; 22365833; 25609649; 26420826; 29074706; 30349051; 31113916; 32820050
