sample	time	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	cat
ASK454	180	-0.17700115806551486	0.12789236877963603	-0.2580440814257402	0.15817563264615642	-0.322844010365109	0.5414993837928653	-0.6733494857747894	0.4784007678233599	0.4757472998907911	-0.2831305207914617	-0.13088172226153275	-0.018112896775536968	-0.42134823649064224	0.5019615711071755	-0.2584240347636389	-0.09995495335938377	-0.033914479529507296	0.035666486221716524	0.049654872538130376	0.041404028375255614	0.08554433551779042	-0.020651952084456547	-0.12989689502622387	0.03360507764518069	0.01253750327600295	0.014954126217572484	-0.0226781262165771	-8.167711813603191e-16	mutant
ASK454	240	-0.4582699644454599	-0.16705360215060808	-0.30195716863657174	0.12693182551432347	-0.1117205191816748	0.23852386916163662	0.1983522202089965	0.005729296426387969	-0.01687540078209998	0.14155539909023399	-0.07286819385682085	0.05901384549177111	-0.22189322420454263	-0.1931568458827581	0.11819529778070977	0.871304992714138	-0.33478125638459294	-0.08156745240287408	0.06777890916787158	-0.17751017428948648	-0.019235448110967508	0.16698360989198024	-0.3074805242139434	-0.1034420308912411	0.009467888038764577	0.09996674936402036	-0.03880216734292414	-5.792288571487216e-16	mutant
ASK455	180	0.6908681333298923	-0.0372579740546478	0.03155682915772064	-0.2030001834348768	-0.11368645375520321	-0.1418074432310108	-0.017331389162563493	-0.30598817551924506	-0.3467826931613412	-0.12076951848973434	0.04133745808703687	-0.520368719159167	0.06891351207142066	0.13420664685121986	-0.4318149412082706	-0.10141055011706802	-0.2371103148619962	-0.6305360897580663	0.33730998739161755	-0.011995037469897992	0.09551743448687296	-0.1269474565803859	-0.0338783215131211	-0.13304410911121606	-0.023745672024137254	0.1262819441782924	-0.028186166651048682	-7.099677716267553e-16	positive
ASK455	240	0.4209365236033886	-0.41313991151429413	0.020912148171327118	-0.27185462035967806	-0.14784302480277722	-0.04370453080570286	-0.09183257807095656	-0.649286975458607	-0.5563578886540546	-0.3115038456280045	0.2239340114519834	-0.17503181819646255	-0.41724193744411514	0.4198624084115308	0.23786577190779853	0.05692153395585838	0.14351478051645783	0.4793078244306164	-0.08374816632195464	0.007876442106109176	-0.05663867231363361	0.02279357782299331	-0.031483865212287014	-0.024017171402394344	-0.015606612262471509	0.07695589411867962	0.0022325484592864344	-7.849067557416251e-16	positive
ASK458	180	-0.3705114415261596	-0.06797302418214332	-0.35590612546538564	0.35688639018592	-0.14494243780978602	0.3507028621033567	0.41613320497425643	0.5561723769459644	-0.2402989172547632	-0.15292404453679126	0.3358610621862488	-0.6467881467164361	0.3120155911435584	-0.05498433336450341	0.365651170172827	-0.3447152084287736	-0.21999605737341824	0.1414196703478659	-0.11936548038360219	-0.06962500149693	0.023500985380358885	0.07438027590916294	-0.0782526695284376	-0.0632452760779414	-0.027772651065807584	-0.010588637594860444	0.012123911387605164	-8.3246641696768805e-16	mutant
ASK458	240	-0.5920069283091485	-0.30483180559631284	-0.33293608857235374	0.18908748203438966	-0.013957829047211795	0.22758723233669498	0.23948167511089385	0.11968727394668119	-0.026075193725080156	-0.1316620912464808	-0.1338278788395749	-0.025251114342367403	-0.11770008963874093	-0.10674484895142795	0.035408257507268386	0.18751325576280303	0.1307083628991293	0.06520668147444639	0.4744143224206667	0.34293212337713835	-0.20140406863123683	-0.1279046178487269	0.5804186070965003	-0.05478646461202799	0.1783660890872833	-0.03575050685451407	0.0260084180826324	-7.832288023444313e-16	mutant
ASK459	180	0.15442800490434244	-0.7188380395788379	0.0694274295898349	0.0017309607198612697	-0.1099192556604312	0.14933292608715776	0.01294545968668418	0.18748300248959182	-0.596572032111916	-0.23309751043250396	-0.8194168966295229	0.55091217765422	0.07494025723423153	-0.16633160125738206	-0.10536970795633627	-0.3020409268538141	-0.1575530598702308	-0.014396410258209893	-0.14736167849079215	-0.11668016123516238	0.008600884662916914	0.05309457772269681	-0.01355135600090414	-0.06232407497622193	-0.014495066346557615	-0.00334044867072208	-0.028309389360909345	-7.024586323224579e-16	positive
ASK459	240	-0.012048897819075923	-1.6589524779973772	-0.12982275791044978	-0.23924004278662056	-0.02126102078599253	-0.15894973606337662	-0.41038417560215673	-0.04125938976309219	0.4421445637884739	0.28450226051286126	0.4084114999242423	-0.01330742104283023	0.16776248430632254	-0.19482732469193667	-0.010221415615652372	-0.08142795638433567	-0.042431113737394846	-0.04603663097035468	-0.01331525446966581	3.2718814106900637e-4	-0.0026015862155435755	0.057303769171763705	0.002332785326321207	0.07131066001561953	-0.024917684196570096	-0.05977907496130909	0.05900757248835783	-6.870749839371921e-16	positive
ASK460	180	-1.477568164444111	0.3820165166762871	0.36482812397675257	-0.18346542704557298	0.08749379855540008	-0.11889814352208591	-0.061797933897178955	-0.20087618967136597	0.11600710104846354	-0.05572013067508727	0.043228338267421985	-0.014982152114609515	0.15265533626441347	-0.0384454932711417	-0.3325368461566071	-0.1505950105208177	-0.20241938121960876	0.13743838806023606	-0.04342212049837887	0.23992272385671345	-0.14908561902348513	0.6654098694057116	0.0697446497431126	-0.07032130209520396	0.06329280944800962	0.1614359419638468	-0.02677047189770234	-9.460788671734412e-16	negative
ASK460	240	-1.6445171992393672	0.12186420948675111	0.40802756760389597	-0.11004389975036526	0.10401805354541829	2.8464973584216985e-4	0.0603501192895234	-0.17105192207595424	-0.021911474541088674	0.028926931022019365	-0.07737633119973522	-0.06056637704025362	0.09872347285810854	-0.11433094616913855	-0.17554741230965798	-0.05658638199940599	-0.2538239748679494	0.22901457670985673	0.09765885938807271	0.17315548507402492	-0.25253193043916156	-0.4914136667569609	-0.33447991817033945	0.3079265911515431	-0.05673531146844576	-0.15435572493368735	-0.04081952326179703	-9.182818757935823e-16	negative
ASK461	180	-1.6695882469924823	0.0843209838557377	0.4067949106360811	-0.13026184060087928	0.14195321462419877	-0.0731583450667173	-0.046967405977030134	-0.016884820562375436	0.06933174874261781	0.15556383047203545	-0.008132107914026316	-0.02787608299150761	0.0828453724872949	0.09309100176140055	-0.10009929182264034	0.10748743751616788	-0.011897378179817132	0.2022861152104418	-0.08826050552773071	-0.327913062836959	0.5212014547754952	-0.230092385892575	0.2914432260492894	-0.3454131582464952	-0.12603150760472165	-0.030640678637535865	0.0027786913114429155	-6.071299710767841e-16	negative
ASK461	240	-1.8637888792201254	-0.0029033544194002592	0.3648728807329883	-0.09989491444753314	0.12758950706615396	-1.2245368141088642e-4	-0.044843520475473846	0.05062165680271266	-0.11952179979319497	0.022175936193262174	-0.0368549703915911	-0.010550414475772782	-0.2425255624208272	0.12506461799273774	0.4743933277040015	-0.09218262432770673	0.47052875999706706	-0.5942719359526705	-0.10736026444600237	-0.12800620725091474	-0.11245758499601989	0.06541938870194607	-0.05916848716504271	0.12342218995341046	0.10989885719959878	0.0029954462727200116	0.056574112826209895	-6.6557681358082675e-16	negative
ASK468	180	-0.19254435131208997	0.5594186233259646	-0.48161169989017505	0.4659702745937248	-0.5329616776211017	-0.3958951878735247	-0.6551570219415572	0.06569681081486442	-0.5360531597747188	0.6510323564784899	0.22475528219501875	0.2352395857698626	0.03285062371870986	-0.1595170656928851	0.08000666243992763	-0.0834508547674938	0.03486288277812704	0.044903603212190904	0.10953737270805793	0.07156461844548555	-0.016759526018451428	-0.021314582580988947	0.006925291031910467	-0.03278645618073053	-0.026051272566967678	-0.0041421338896380335	-0.009735750113865661	-1.0045556275271217e-15	ShuffleD
ASK468	240	-0.34111107616388386	0.09655595540700178	-0.7376844952949559	0.2897259627243554	0.0470553847620949	-0.3136598979773504	0.40521367714637024	-0.23859613051458894	0.25485985593844024	-0.3905317721139853	0.37548626591993384	0.7273778464938024	0.29756738666555244	0.4371638833978903	0.07747123292340428	-0.09127837011639191	-0.14603211634075966	-0.15434835923649087	-0.009507871172610134	-0.017237864766773987	-0.009671755203367686	-0.10476414613546313	-0.03610695364929012	-0.04220250042602379	-0.013130812595618805	0.0505843018232924	6.584195165538356e-5	-9.724994783046583e-16	ShuffleD
ASK469	180	0.27532180909763265	0.4018139723772805	-1.1166957389919339	-1.0151736786186885	0.8702550095469754	0.013488977819875158	-0.15568046664783697	0.22417167610843416	-0.10381415991166	0.11008076839898125	-0.07445346815126536	-0.01945959838989321	-0.03415436108061528	-0.10411361759288358	0.023272713380573507	-0.04536080760775794	0.04468795002316109	0.05616979101109793	-0.026994376140305254	0.011128346926487091	-0.013123805185461973	-0.026841416428311126	-0.04425370332914277	-0.029752321077124076	0.0068337423045461195	0.0011354807111149787	-0.004469981634281674	-9.993571989868545e-16	ShuffleD
