Sample description: Archit_2
Sample: Archit_2  c= 3.27 mg/ml  Code: Archit_2_3p27_archit
Parent(s): analysis/processed/subtracted/Archit_2_3p27_archit_0353_sub.dat
 4.268550e-001  1.648486e+003  3.174511e+001
 4.296040e-001  1.611704e+003  3.174413e+001
 4.323540e-001  1.594448e+003  3.108942e+001
 4.351040e-001  1.566483e+003  3.103514e+001
 4.378540e-001  1.545479e+003  3.089602e+001
 4.406030e-001  1.556457e+003  3.029432e+001
 4.433530e-001  1.519580e+003  3.069275e+001
 4.461030e-001  1.537412e+003  2.992768e+001
 4.488530e-001  1.520573e+003  3.026728e+001
 4.516020e-001  1.529777e+003  3.045002e+001
 4.543520e-001  1.520299e+003  2.944445e+001
 4.571020e-001  1.509448e+003  2.983703e+001
 4.598520e-001  1.497694e+003  2.916486e+001
 4.626020e-001  1.454948e+003  2.949216e+001
 4.653510e-001  1.481154e+003  2.939781e+001
 4.681010e-001  1.467080e+003  2.898337e+001
 4.708510e-001  1.463222e+003  2.920577e+001
 4.736010e-001  1.375206e+003  2.863428e+001
 4.763500e-001  1.465455e+003  2.904546e+001
 4.791000e-001  1.483934e+003  2.863042e+001
 4.818500e-001  1.638641e+003  2.985627e+001
 4.846000e-001  1.431016e+003  2.991496e+001
 4.873490e-001  1.422626e+003  2.948383e+001
 4.900990e-001  1.522968e+003  3.051400e+001
 4.928490e-001  1.369433e+003  2.996798e+001
 4.955990e-001  1.382758e+003  3.093235e+001
 4.983480e-001  1.375020e+003  3.068783e+001
 5.010980e-001  1.410585e+003  3.028747e+001
 5.038480e-001  1.375787e+003  3.105003e+001
 5.065980e-001  1.312021e+003  3.042321e+001
 5.093470e-001  1.312871e+003  3.158670e+001
 5.120970e-001  1.295501e+003  3.078985e+001
 5.148470e-001  1.304306e+003  3.073498e+001
 5.175970e-001  1.337289e+003  3.150070e+001
 5.203460e-001  1.302945e+003  3.121394e+001
 5.230960e-001  1.322932e+003  3.148355e+001
 5.258460e-001  1.278844e+003  3.088954e+001
 5.285960e-001  1.329361e+003  3.134450e+001
 5.313460e-001  1.283254e+003  3.162587e+001
 5.340950e-001  1.297882e+003  3.129627e+001
 5.368450e-001  1.274480e+003  3.191602e+001
 5.395950e-001  1.284095e+003  3.054766e+001
 5.423450e-001  1.236186e+003  3.040628e+001
 5.450940e-001  1.236497e+003  2.965924e+001
 5.478440e-001  1.236284e+003  2.909453e+001
 5.505940e-001  1.212565e+003  2.902336e+001
 5.533440e-001  1.230369e+003  2.844989e+001
 5.560930e-001  1.238430e+003  2.874243e+001
 5.588430e-001  1.250404e+003  2.829710e+001
 5.615930e-001  1.186259e+003  2.799552e+001
 5.643430e-001  1.184448e+003  2.808642e+001
 5.670920e-001  1.183143e+003  2.783124e+001
 5.698420e-001  1.236642e+003  2.772694e+001
 5.725920e-001  1.160581e+003  2.739393e+001
 5.753420e-001  1.189075e+003  2.710208e+001
 5.780910e-001  1.194694e+003  2.757843e+001
 5.808410e-001  1.219846e+003  2.703301e+001
 5.835910e-001  1.144054e+003  2.714537e+001
 5.863410e-001  1.139531e+003  2.679364e+001
