energies,CoA_conc,valency,system,unbound,bound1AD,bound2_sameAD,bound2_sameAb,bound2_diffAb,other,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-110_BM-1_BN-1,20,Nb,doubleTAD_doubleCoA,0.99640522875817,0.003594771241830065,0.0,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-1.0
AM-110_AN-110_BM-1_BN-1,160,Nb,doubleTAD_doubleCoA,0.9956699346405228,0.004330065359477125,0.0,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-1.0
AM-110_AN-110_BM-1_BN-1,500,Nb,doubleTAD_doubleCoA,0.9948627450980392,0.005045751633986928,9.150326797385621e-05,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-1.0
AM-110_AN-110_BM-1_BN-1,1000,Nb,doubleTAD_doubleCoA,0.9951895424836601,0.004758169934640523,5.228758169934641e-05,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-1.0
AM-110_AN-110_BM-1_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9951928104575164,0.004735294117647059,7.189542483660131e-05,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-1.0
AM-110_AN-110_BM-1_BN-110,20,Nb,doubleTAD_doubleCoA,0.9921568627450981,0.00718954248366013,0.00065359477124183,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,160,Nb,doubleTAD_doubleCoA,0.9921160130718953,0.007066993464052288,0.0007761437908496732,0.0,4.0849673202614376e-05,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,500,Nb,doubleTAD_doubleCoA,0.9911895424836601,0.00796078431372549,0.0008366013071895425,0.0,1.3071895424836602e-05,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,1000,Nb,doubleTAD_doubleCoA,0.9919607843137254,0.007215686274509804,0.000823529411764706,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,2000,Nb,doubleTAD_doubleCoA,0.9924346405228759,0.006843137254901961,0.0007189542483660131,0.0,3.2679738562091506e-06,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-160,20,Nb,doubleTAD_doubleCoA,0.9686274509803923,0.024836601307189548,0.006535947712418301,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-160,160,Nb,doubleTAD_doubleCoA,0.9717320261437908,0.022998366013071897,0.005269607843137254,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-160,500,Nb,doubleTAD_doubleCoA,0.9735816993464054,0.02126797385620915,0.005150326797385621,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
