#RNA length, KA (nM), KA std (nM)
10, 4.634480865296515e-07, 4.3588528747215676e-08
12, 8.712221150946089e-07, 7.679798790275622e-08
15, 1.7462800489301002e-06, 9.942801012380357e-08
17, 2.507537880609908e-06, 2.1080365718604368e-07
20, 3.4602107981754327e-06, 1.308705483833116e-07
25, 5.208849291520309e-06, 1.2954909145438217e-07
30, 8.137777789737234e-06, 8.476932739477906e-07
35, 1.108598862701684e-05, 1.1910210373378352e-06
40, 1.2610914776320582e-05, 5.95120045151068e-07
