#RNA length, KA (nM), KA std (nM)
10, 1.8685939924930193e-06, 4.9129190327280134e-08
12, 4.164795918016385e-06, 1.491037690654334e-07
15, 1.0192493477321113e-05, 3.3809186839889966e-07
17, 1.798405485136179e-05, 1.1399615691772007e-06
20, 4.3434951650383684e-05, 6.648279736834499e-06
25, 0.00011157450670570943, 7.343516610205931e-06
30, 0.00021327035772760307, 2.134456097058262e-05
35, 0.0003993241948220638, 9.580342564362669e-05
40, 0.0006865105988405422, 6.940585093786838e-05
