#RNA length, KA (nM), KA std (nM)
10, 9.528765415154092e-08, 7.301158397978232e-09
12, 2.5363321654174993e-07, 1.726431399975403e-08
15, 5.587194550328609e-07, 3.8542491450819406e-08
17, 7.991609902915903e-07, 5.1018702177633793e-08
20, 1.1158928303582191e-06, 4.4300331065186884e-08
25, 1.9590323432328073e-06, 7.823920739105705e-08
30, 2.7307974686690555e-06, 9.55704941574923e-08
35, 4.0976543226837435e-06, 1.8516038515797667e-07
40, 4.7381349287793254e-06, 1.206056900518966e-07
