#RNA length, KA-star, KA-star std
10, 0.004153709482687197, 0.00047682345406145415
12, 0.007808433492720315, 0.0008590083033329434
15, 0.015651245974460045, 0.001362083253839078
17, 0.022474111288018753, 0.0023995073044247414
20, 0.031012557441119915, 0.002354171349728564
25, 0.04668494125866267, 0.0032847302524285165
30, 0.07293581688155304, 0.008987042145354392
35, 0.09935951279854105, 0.012518563425243589
40, 0.11302684769723713, 0.00915369274312722
