Ash1,eAsh1,pAsh1
16.4,18,18.2
15.8,18.1,18.5
15.2,17.6,18.6
15.2,18,18.3
15.7,18.1,18.3
16.5,17.7,18.3
15.3,18.2,18.1
16.2,18,18.4
15.5,18,18.2
16.5,,18.2
