name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28
Standard deviation	1.3696979655377628	0.57880249297101	0.5251468494841679	0.46781803976107966	0.43457871174111223	0.4237357190656493	0.39768190352580296	0.38213394551440777	0.35777012844323547	0.3483655271692518	0.3357275345164399	0.3329328270208209	0.3174968388006893	0.30062509914501895	0.2969986011710882	0.29223027263349854	0.26698965307417294	0.2575284440695274	0.24713183221041538	0.24389355441976454	0.2371553871486356	0.2268514190794701	0.22482048843536934	0.21907798699553407	0.2079511066248397	0.20657193171813346	0.18329825170200142	3.118711982915304e-15
Proportion of Variance	0.39085	0.0698	0.05745	0.0456	0.03935	0.03741	0.03295	0.03042	0.02667	0.02528	0.02348	0.02309	0.021	0.01883	0.01838	0.01779	0.01485	0.01382	0.01272	0.01239	0.01172	0.01072	0.01053	0.01	0.00901	0.00889	0.007	0
Cumulative Proportion	0.39085	0.46065	0.5181	0.5637	0.60305	0.64045	0.6734	0.70382	0.73049	0.75577	0.77926	0.80235	0.82335	0.84218	0.86056	0.87835	0.8932	0.90702	0.91974	0.93213	0.94385	0.95457	0.9651	0.9751	0.98411	0.993	1	1
