P47125	copy_number:1.49E+02
P32801	copy_number:1.49E+02
P36023	copy_number:1.49E+02
P12684	copy_number:1.49E+02
Q03213	copy_number:1.49E+02
Q04740	copy_number:1.49E+02
P29461	copy_number:1.49E+02
P38991	copy_number:1.49E+02
Q06628	copy_number:1.49E+02
P38910	copy_number:1.49E+02
Q03780	copy_number:1.55E+02
P36006	copy_number:1.55E+02
Q08218	copy_number:1.55E+02
P43591	copy_number:1.61E+02
P33200	copy_number:1.66E+02
P38132	copy_number:1.66E+02
P0CW40	copy_number:1.66E+02
P39523	copy_number:1.66E+02
P41832	copy_number:1.66E+02
P04386	copy_number:1.66E+02
P43589	copy_number:1.67E+02
P38966	copy_number:1.72E+02
Q03900	copy_number:1.72E+02
P22470	copy_number:1.72E+02
Q06683	copy_number:1.72E+02
P40993	copy_number:1.72E+02
Q03036	copy_number:1.72E+02
P53110	copy_number:1.72E+02
P53202	copy_number:1.72E+02
P53260	copy_number:1.72E+02
P40340	copy_number:1.72E+02
P38747	copy_number:1.72E+02
P38795	copy_number:1.72E+02
P38821	copy_number:1.72E+02
P38827	copy_number:1.72E+02
P38835	copy_number:1.72E+02
P40498	copy_number:1.72E+02
P47072	copy_number:1.72E+02
P40309	copy_number:1.72E+02
P47177	copy_number:1.72E+02
Q12114	copy_number:1.72E+02
P54114	copy_number:1.72E+02
Q04814	copy_number:1.72E+02
P40343	copy_number:1.72E+02
P20095	copy_number:1.72E+02
P21339	copy_number:1.72E+02
Q12311	copy_number:1.72E+02
P53886	copy_number:1.78E+02
P48566	copy_number:1.78E+02
Q02883	copy_number:1.78E+02
P38164	copy_number:1.84E+02
P46997	copy_number:1.84E+02
P09368	copy_number:1.84E+02
P33329	copy_number:1.89E+02
P38860	copy_number:1.89E+02
Q12259	copy_number:1.89E+02
P48581	copy_number:1.89E+02
P38239	copy_number:1.95E+02
P38277	copy_number:1.95E+02
P38287	copy_number:1.95E+02
P25362	copy_number:1.95E+02
Q12103	copy_number:1.95E+02
Q04598	copy_number:1.95E+02
Q04007	copy_number:1.95E+02
Q06651	copy_number:1.95E+02
Q05497	copy_number:1.95E+02
Q04401	copy_number:1.95E+02
P40025	copy_number:1.95E+02
P43544	copy_number:1.95E+02
P53230	copy_number:1.95E+02
P40560	copy_number:1.95E+02
P40501	copy_number:1.95E+02
P40489	copy_number:1.95E+02
P40483	copy_number:1.95E+02
P47005	copy_number:1.95E+02
P32862	copy_number:1.95E+02
P36022	copy_number:1.95E+02
P36165	copy_number:1.95E+02
P36168	copy_number:1.95E+02
Q06698	copy_number:1.95E+02
Q05080	copy_number:1.95E+02
P28239	copy_number:1.95E+02
P48232	copy_number:1.95E+02
P53857	copy_number:1.95E+02
P53838	copy_number:1.95E+02
Q92325	copy_number:1.95E+02
Q08224	copy_number:1.95E+02
Q12276	copy_number:1.95E+02
Q12145	copy_number:1.95E+02
P10363	copy_number:1.97E+02
P10862	copy_number:2.06E+02
P40468	copy_number:2.06E+02
Q07895	copy_number:2.06E+02
Q08484	copy_number:2.06E+02
P36085	copy_number:2.11E+02
P31381	copy_number:2.17E+02
P38347	copy_number:2.17E+02
P18480	copy_number:2.17E+02
P39001	copy_number:2.17E+02
A0A023PYE9	copy_number:2.17E+02
P53124	copy_number:2.17E+02
P39014	copy_number:2.17E+02
P46995	copy_number:2.17E+02
P47173	copy_number:2.17E+02
P36134	copy_number:2.17E+02
Q12088	copy_number:2.17E+02
P26570	copy_number:2.17E+02
A0A023PZH5	copy_number:2.17E+02
P53935	copy_number:2.17E+02
P53599	copy_number:2.17E+02
P22082	copy_number:2.17E+02
P18408	copy_number:2.17E+02
Q04233	copy_number:2.22E+02
Q04781	copy_number:2.22E+02
P39732	copy_number:2.27E+02
Q12229	copy_number:2.33E+02
Q08491	copy_number:2.33E+02
P32786	copy_number:2.37E+02
Q3E793	copy_number:2.38E+02
P27636	copy_number:2.38E+02
P38307	copy_number:2.38E+02
Q01448	copy_number:2.38E+02
P38138	copy_number:2.38E+02
P25301	copy_number:2.38E+02
P08459	copy_number:2.38E+02
P27895	copy_number:2.38E+02
P53203	copy_number:2.38E+02
P53209	copy_number:2.38E+02
P40574	copy_number:2.38E+02
P41544	copy_number:2.38E+02
P21268	copy_number:2.38E+02
P33421	copy_number:2.38E+02
Q12509	copy_number:2.38E+02
Q12524	copy_number:2.38E+02
Q06409	copy_number:2.38E+02
Q04461	copy_number:2.38E+02
P53908	copy_number:2.38E+02
P53732	copy_number:2.38E+02
Q12180	copy_number:2.38E+02
Q12469	copy_number:2.38E+02
Q02794	copy_number:2.38E+02
Q12096	copy_number:2.38E+02
Q99299	copy_number:2.38E+02
P33420	copy_number:2.38E+02
Q08949	copy_number:2.38E+02
Q12139	copy_number:2.38E+02
P25042	copy_number:2.38E+02
Q08921	copy_number:2.43E+02
Q06407	copy_number:2.54E+02
P39724	copy_number:2.59E+02
P39718	copy_number:2.59E+02
P39551	copy_number:2.59E+02
O75012	copy_number:2.59E+02
Q03983	copy_number:2.59E+02
Q05549	copy_number:2.59E+02
Q04183	copy_number:2.59E+02
P50896	copy_number:2.59E+02
Q04429	copy_number:2.59E+02
P40063	copy_number:2.59E+02
P53236	copy_number:2.59E+02
Q03497	copy_number:2.59E+02
P38759	copy_number:2.59E+02
P32361	copy_number:2.59E+02
P40450	copy_number:2.59E+02
P40367	copy_number:2.59E+02
P35724	copy_number:2.59E+02
P36064	copy_number:2.59E+02
P32432	copy_number:2.59E+02
P07271	copy_number:2.59E+02
Q04438	copy_number:2.59E+02
P30620	copy_number:2.59E+02
Q03214	copy_number:2.59E+02
P23796	copy_number:2.59E+02
P53937	copy_number:2.59E+02
P53930	copy_number:2.59E+02
P42840	copy_number:2.59E+02
P42839	copy_number:2.59E+02
P27680	copy_number:2.59E+02
Q08683	copy_number:2.59E+02
Q99332	copy_number:2.59E+02
P40328	copy_number:2.59E+02
P07261	copy_number:2.59E+02
Q08932	copy_number:2.59E+02
Q12284	copy_number:2.59E+02
P38200	copy_number:2.64E+02
P23201	copy_number:2.74E+02
Q12098	copy_number:2.74E+02
Q3E7A4	copy_number:2.79E+02
P38166	copy_number:2.79E+02
Q3E7Y5	copy_number:2.79E+02
P38227	copy_number:2.79E+02
P22219	copy_number:2.79E+02
Q07729	copy_number:2.79E+02
P13185	copy_number:2.79E+02
P15442	copy_number:2.79E+02
P32380	copy_number:2.79E+02
Q04172	copy_number:2.79E+02
Q03429	copy_number:2.79E+02
Q01159	copy_number:2.79E+02
P53036	copy_number:2.79E+02
P40326	copy_number:2.79E+02
P38699	copy_number:2.79E+02
P40522	copy_number:2.79E+02
P43638	copy_number:2.79E+02
P40890	copy_number:2.79E+02
P47170	copy_number:2.79E+02
P36162	copy_number:2.79E+02
Q03823	copy_number:2.79E+02
P50111	copy_number:2.79E+02
P53629	copy_number:2.79E+02
Q12280	copy_number:2.79E+02
Q12262	copy_number:2.79E+02
Q06836	copy_number:2.79E+02
Q06266	copy_number:2.84E+02
P22211	copy_number:2.84E+02
P47156	copy_number:2.90E+02
Q12502	copy_number:2.95E+02
P11709	copy_number:3.00E+02
P37304	copy_number:3.00E+02
Q04149	copy_number:3.00E+02
Q04396	copy_number:3.00E+02
P32622	copy_number:3.00E+02
P39955	copy_number:3.00E+02
P40057	copy_number:3.00E+02
P39944	copy_number:3.00E+02
P43622	copy_number:3.00E+02
P34164	copy_number:3.00E+02
P24868	copy_number:3.00E+02
P40578	copy_number:3.00E+02
P39526	copy_number:3.00E+02
P47166	copy_number:3.00E+02
P36048	copy_number:3.00E+02
Q07830	copy_number:3.00E+02
Q01590	copy_number:3.00E+02
P36516	copy_number:3.00E+02
P53911	copy_number:3.00E+02
P38903	copy_number:3.00E+02
Q08693	copy_number:3.00E+02
Q08732	copy_number:3.00E+02
Q08748	copy_number:3.00E+02
P33328	copy_number:3.00E+02
Q06108	copy_number:3.00E+02
P07866	copy_number:3.04E+02
P53438	copy_number:3.14E+02
Q08581	copy_number:3.14E+02
P32797	copy_number:3.19E+02
P38283	copy_number:3.19E+02
Q07468	copy_number:3.19E+02
Q04052	copy_number:3.19E+02
Q04119	copy_number:3.19E+02
P39923	copy_number:3.19E+02
P40017	copy_number:3.19E+02
P22855	copy_number:3.19E+02
P06115	copy_number:3.19E+02
P50086	copy_number:3.19E+02
P38841	copy_number:3.19E+02
P40438	copy_number:3.19E+02
P42944	copy_number:3.19E+02
P47015	copy_number:3.19E+02
P36116	copy_number:3.19E+02
P36137	copy_number:3.19E+02
P19263	copy_number:3.19E+02
P04821	copy_number:3.19E+02
Q12748	copy_number:3.19E+02
P38920	copy_number:3.19E+02
P20437	copy_number:3.19E+02
P42845	copy_number:3.19E+02
P53687	copy_number:3.19E+02
P32945	copy_number:3.19E+02
P16658	copy_number:3.19E+02
Q12342	copy_number:3.29E+02
Q07651	copy_number:3.29E+02
P38242	copy_number:3.39E+02
P38343	copy_number:3.39E+02
P25371	copy_number:3.39E+02
Q12027	copy_number:3.39E+02
P46674	copy_number:3.39E+02
Q05468	copy_number:3.39E+02
P43567	copy_number:3.39E+02
P53233	copy_number:3.39E+02
P23285	copy_number:3.39E+02
P38876	copy_number:3.39E+02
P32800	copy_number:3.39E+02
P47085	copy_number:3.39E+02
Q02208	copy_number:3.39E+02
Q12244	copy_number:3.39E+02
Q12110	copy_number:3.39E+02
Q12749	copy_number:3.39E+02
P52919	copy_number:3.39E+02
Q03758	copy_number:3.39E+02
P42837	copy_number:3.39E+02
P53747	copy_number:3.39E+02
Q12433	copy_number:3.39E+02
Q12753	copy_number:3.39E+02
P24869	copy_number:3.39E+02
Q6Q595	copy_number:3.58E+02
P31244	copy_number:3.58E+02
P21372	copy_number:3.58E+02
P25364	copy_number:3.58E+02
P25659	copy_number:3.58E+02
Q07528	copy_number:3.58E+02
Q03981	copy_number:3.58E+02
P33301	copy_number:3.58E+02
Q03280	copy_number:3.58E+02
Q03388	copy_number:3.58E+02
