q                 	I(q) GON7        	sd
0.00958007320091  	1.911465e-02	1.944272e-04
0.0101436057754   	1.918950e-02	1.770753e-04
0.0107071381538   	1.940581e-02	1.655552e-04
0.0112706703254   	1.920393e-02	1.562960e-04
0.0118342022793   	1.898316e-02	1.467944e-04
0.0123977340045   	1.866912e-02	1.408612e-04
0.0129612654902   	1.865653e-02	1.343709e-04
0.0135247967254   	1.856758e-02	1.301957e-04
0.0140883276993   	1.863142e-02	1.260336e-04
0.0146518584011   	1.839285e-02	1.220861e-04
0.0152153888197   	1.832659e-02	1.196649e-04
0.0157789189444   	1.817726e-02	1.163697e-04
0.0163424487642   	1.823949e-02	1.146711e-04
0.0169059782682   	1.832415e-02	1.124204e-04
0.0174695074457   	1.803299e-02	1.105335e-04
0.0180330362856   	1.783920e-02	1.092661e-04
0.0185965647771   	1.762195e-02	1.070268e-04
0.0191600929093   	1.757157e-02	1.061068e-04
0.0197236206713   	1.746027e-02	1.045818e-04
0.0202871480522   	1.725650e-02	1.035211e-04
0.0208506750412   	1.714056e-02	1.024207e-04
0.0214142016273   	1.706478e-02	1.013696e-04
0.0219777277997   	1.700698e-02	1.008107e-04
0.0225412535475   	1.686360e-02	9.951568e-05
0.0231047788597   	1.666203e-02	9.892637e-05
0.0236683037256   	1.643319e-02	9.795354e-05
0.0242318281342   	1.621012e-02	9.713035e-05
0.0247953520746   	1.606526e-02	9.669420e-05
0.0253588755359   	1.595079e-02	9.573649e-05
0.0259223985073   	1.582424e-02	9.537659e-05
0.0264859209779   	1.572866e-02	9.465185e-05
0.0270494429368   	1.553128e-02	9.413120e-05
0.027612964373    	1.541751e-02	9.363142e-05
0.0281764852758   	1.531222e-02	9.299362e-05
0.0287400056342   	1.518703e-02	9.276678e-05
0.0293035254373   	1.504052e-02	9.208123e-05
0.0298670446743   	1.473574e-02	9.163751e-05
0.0304305633342   	1.463941e-02	9.118055e-05
0.0309940814063   	1.456311e-02	9.075774e-05
0.0315575988795   	1.442329e-02	9.047263e-05
0.032121115743    	1.427579e-02	8.988427e-05
0.0326846319859   	1.405708e-02	8.963520e-05
0.0332481475974   	1.388205e-02	8.912935e-05
0.0338116625665   	1.372156e-02	8.886171e-05
0.0343751768824   	1.359564e-02	8.861196e-05
0.0349386905341   	1.356631e-02	8.817473e-05
0.0355022035108   	1.338529e-02	8.801043e-05
0.0360657158017   	1.318295e-02	8.752804e-05
0.0366292273957   	1.306715e-02	8.733693e-05
0.0371927382821   	1.296691e-02	8.705415e-05
0.0377562484499   	1.283378e-02	8.674500e-05
0.0383197578883   	1.274881e-02	8.663154e-05
0.0388832665864   	1.258221e-02	8.618142e-05
0.0394467745333   	1.232926e-02	8.598789e-05
0.040010281718    	1.214927e-02	8.570312e-05
0.0405737881298   	1.199845e-02	8.546044e-05
0.0411372937577   	1.190879e-02	8.532485e-05
0.0417007985909   	1.173706e-02	8.495342e-05
0.0422643026184   	1.156237e-02	8.485264e-05
0.0428278058295   	1.139595e-02	8.452748e-05
0.0433913082131   	1.136797e-02	8.440873e-05
0.0439548097584   	1.123895e-02	8.422496e-05
0.0445183104546   	1.111409e-02	8.396479e-05
0.0450818102907   	1.099476e-02	8.386957e-05
0.0456453092558   	1.089015e-02	8.358841e-05
0.0462088073392   	1.075151e-02	8.347958e-05
0.0467723045298   	1.052724e-02	8.324823e-05
0.0473358008168   	1.036421e-02	8.303112e-05
0.0478992961894   	1.023578e-02	8.292938e-05
0.0484627906366   	1.021489e-02	8.272115e-05
0.0490262841475   	1.012567e-02	8.265471e-05
0.0495897767113   	9.977854e-03	8.242812e-05
0.0501532683171   	9.770916e-03	8.224883e-05
0.0507167589541   	9.691634e-03	8.215648e-05
0.0512802486112   	9.615577e-03	8.197974e-05
0.0518437372777   	9.469010e-03	8.189893e-05
0.0524072249426   	9.320957e-03	8.166975e-05
0.0529707115951   	9.268774e-03	8.159713e-05
0.0535341972243   	9.187206e-03	8.145063e-05
0.0540976818193   	9.039509e-03	8.129130e-05
0.0546611653692   	8.879046e-03	8.122691e-05
0.0552246478632   	8.784810e-03	8.102104e-05
0.0557881292904   	8.645187e-03	8.096673e-05
0.0563516096398   	8.577402e-03	8.082301e-05
0.0569150889006   	8.471646e-03	8.071018e-05
0.0574785670619   	8.399804e-03	8.062995e-05
0.0580420441129   	8.222095e-03	8.044112e-05
0.0586055200426   	8.039799e-03	8.038927e-05
0.0591689948401   	8.001024e-03	8.022696e-05
0.0597324684947   	7.975730e-03	8.017975e-05
0.0602959409954   	7.839069e-03	8.008170e-05
0.0608594123313   	7.753006e-03	7.995286e-05
0.0614228824915   	7.641940e-03	7.992033e-05
0.0619863514652   	7.574124e-03	7.975421e-05
0.0625498192415   	7.436232e-03	7.969940e-05
0.0631132858095   	7.323444e-03	7.958909e-05
0.0636767511583   	7.261635e-03	7.949077e-05
0.064240215277    	7.191100e-03	7.943862e-05
0.0648036781548   	7.122865e-03	7.930944e-05
0.0653671397808   	7.053657e-03	7.927877e-05
0.0659306001441   	6.952554e-03	7.916660e-05
0.0664940592338   	6.928621e-03	7.910619e-05
