# Sample description: red1
# Sample: red1  c= 6.0000 mg/ml  Code: red1_6_komal_buffer
# Parent(s): analysis/processed/averaged/red1_6_komal_buffer_0100_sample.dat analysis/processed/averaged/red1_6_komal_buffer_0100_buffer.dat
  5.402975e-01   1.415086e+04   1.732585e+02
  5.431113e-01   1.432104e+04   1.735331e+02
  5.459242e-01   1.401623e+04   1.718166e+02
  5.487381e-01   1.415320e+04   1.718725e+02
  5.515519e-01   1.380704e+04   1.710067e+02
  5.543648e-01   1.367926e+04   1.674356e+02
  5.571786e-01   1.353461e+04   1.682601e+02
  5.599925e-01   1.375868e+04   1.689570e+02
  5.628063e-01   1.373599e+04   1.669384e+02
  5.656192e-01   1.371276e+04   1.680565e+02
  5.684330e-01   1.344899e+04   1.640026e+02
  5.712469e-01   1.352118e+04   1.654921e+02
  5.740598e-01   1.327130e+04   1.655100e+02
  5.768736e-01   1.330826e+04   1.636365e+02
  5.796875e-01   1.332809e+04   1.644679e+02
  5.825003e-01   1.289922e+04   1.626513e+02
  5.853142e-01   1.296844e+04   1.634116e+02
  5.881281e-01   1.263578e+04   1.619472e+02
  5.909419e-01   1.303553e+04   1.618664e+02
  5.937548e-01   1.288932e+04   1.616139e+02
  5.965686e-01   1.264933e+04   1.612885e+02
  5.993825e-01   1.259842e+04   1.612336e+02
  6.021953e-01   1.248747e+04   1.597066e+02
  6.050092e-01   1.242703e+04   1.592591e+02
  6.078231e-01   1.243565e+04   1.605847e+02
  6.106359e-01   1.222234e+04   1.589017e+02
  6.134498e-01   1.238843e+04   1.573966e+02
  6.162636e-01   1.205471e+04   1.580008e+02
  6.190775e-01   1.221451e+04   1.581644e+02
  6.218903e-01   1.220556e+04   1.579619e+02
  6.247042e-01   1.218298e+04   1.561427e+02
  6.275181e-01   1.216106e+04   1.568496e+02
  6.303309e-01   1.210182e+04   1.557917e+02
  6.331448e-01   1.199055e+04   1.575430e+02
  6.359586e-01   1.167119e+04   1.544831e+02
  6.387725e-01   1.166264e+04   1.546285e+02
  6.415853e-01   1.175004e+04   1.538514e+02
  6.443992e-01   1.147554e+04   1.537502e+02
  6.472130e-01   1.154616e+04   1.540947e+02
