GS25_3_Ka
6.106603286074752e-06
4.530828359083128e-06
3.917647896161847e-06
4.716855655904478e-06
4.425746122913917e-06
4.093863379253025e-06
3.816746148823006e-06
3.5613135475932257e-06
3.3379097397367244e-06
3.3512160498353086e-06
3.235322128887346e-06
3.3026964913352343e-06
3.171128638077137e-06
3.2244599878391763e-06
3.1310357199584473e-06
