S8_2_Ka
3.6504675668538434e-05
3.3865285699140766e-05
4.083647912211692e-05
4.051769613617322e-05
4.006248197793544e-05
3.7675604149314765e-05
3.742051544306801e-05
3.8208710190898126e-05
3.967549731138711e-05
4.2934304197340514e-05
4.6945483341813966e-05
4.537851951941173e-05
5.1166330773478545e-05
5.2008839107866396e-05
5.3256373506788974e-05
