#File Plotted Below: syndecan3_ed.dat,,,,,,,,,,
,,,,,,,,,,
    #Fit from 0.01-0.15 with polymer MFF,,,,,,,,,,
#Initial search parameter for I0 = 0.03741948,,,,,,,,,,
#Initial search parameter for Rg = 30.000000000000004,,,,,,,,,,
#Initial search parameter for nu = 0.499880565034448,,,,,,,,,,
#BestFit for I0 = 0.04498 +- inf,,,,,,,,,,
#BestFit for I(0)/I0 = 1.00000 +- inf,,,,,,,,,,
#BestFit for Rg = 66.16386 +- inf,,,,,,,,,,
#BestFit for nu = 0.60280 +- inf,,,,,,,,,,
#BestFit reduced chisquared = 2.17482,,,,,,,,,,
#-------------,,,,,,,,,,
#-------------,,,,,,,,,,
,,,,,,,,,,
    #q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.02797,0.01759,0.00018,0.01796,0.39109,0.00402,0.39939,1.85042,1.3391,0.01377,1.36753
0.0284,0.01714,0.00019,0.01758,0.38114,0.00426,0.39078,1.87933,1.34613,0.01504,1.38021
0.02884,0.01666,0.00018,0.0172,0.37038,0.00406,0.38238,1.90824,1.34871,0.0148,1.39238
0.02928,0.01638,0.0002,0.01683,0.36416,0.00443,0.37417,1.93715,1.36654,0.01661,1.40409
0.02972,0.01624,0.00017,0.01647,0.36101,0.00372,0.36615,1.96607,1.39546,0.01437,1.41534
0.03015,0.01558,0.00018,0.01612,0.34636,0.00391,0.35834,1.99498,1.3785,0.01556,1.42617
0.03059,0.01532,0.00016,0.01577,0.34073,0.00351,0.35072,2.02389,1.39568,0.0144,1.43662
0.03103,0.01511,0.00016,0.01544,0.33592,0.00366,0.3433,2.0528,1.41557,0.01541,1.44668
0.03146,0.01486,0.00016,0.01512,0.33043,0.00364,0.33608,2.08171,1.43192,0.01579,1.45639
0.0319,0.01449,0.00016,0.0148,0.32214,0.0036,0.32903,2.11063,1.43507,0.01603,1.46576
0.03234,0.01402,0.00016,0.01449,0.31168,0.00353,0.32218,2.13954,1.42678,0.01615,1.47481
0.03277,0.01381,0.00019,0.01419,0.30705,0.00433,0.3155,2.16845,1.44379,0.02038,1.48354
0.03321,0.0134,0.00015,0.0139,0.298,0.0034,0.309,2.19736,1.43888,0.01643,1.49197
0.03365,0.01328,0.00017,0.01361,0.29528,0.00389,0.30267,2.22627,1.46351,0.01926,1.50011
0.03408,0.01296,0.00016,0.01334,0.28813,0.00353,0.29651,2.25519,1.4654,0.01797,1.50799
0.03452,0.01255,0.00016,0.01307,0.27905,0.00355,0.29051,2.2841,1.45584,0.01851,1.51562
0.03496,0.01255,0.00017,0.0128,0.27893,0.00374,0.28467,2.31301,1.49229,0.02,1.523
0.0354,0.01237,0.00015,0.01255,0.27506,0.00341,0.27899,2.34192,1.50859,0.01872,1.53016
0.03583,0.01209,0.00015,0.0123,0.26879,0.00343,0.27346,2.37084,1.51082,0.01927,1.5371
0.03627,0.01164,0.00017,0.01206,0.25889,0.00385,0.26808,2.39975,1.49088,0.02215,1.54383
0.03671,0.01139,0.00014,0.01182,0.25333,0.00321,0.26285,2.42866,1.49426,0.01895,1.55037
0.03714,0.0116,0.00018,0.01159,0.25802,0.00396,0.25775,2.45757,1.55833,0.0239,1.55674
0.03758,0.01134,0.00014,0.01137,0.25219,0.00315,0.25279,2.48648,1.55916,0.0195,1.56293
0.03802,0.01113,0.00016,0.01115,0.24751,0.00365,0.24797,2.51539,1.56607,0.02312,1.56895
0.03845,0.01073,0.00017,0.01094,0.23861,0.00372,0.24327,2.5443,1.54462,0.0241,1.57482
0.03889,0.01066,0.00016,0.01074,0.23701,0.00346,0.2387,2.57322,1.56934,0.02294,1.58056
0.03933,0.01041,0.00014,0.01054,0.23148,0.00305,0.23425,2.60213,1.56736,0.02066,1.58616
0.03977,0.01004,0.00015,0.01034,0.22319,0.00333,0.22993,2.63104,1.54501,0.02304,1.59164
0.0402,0.01,0.00015,0.01015,0.22241,0.00343,0.22571,2.65995,1.57365,0.02425,1.59701
0.04064,0.00991,0.00015,0.00997,0.22044,0.00331,0.22162,2.68887,1.59375,0.02396,1.60228
0.04108,0.00964,0.00013,0.00979,0.21442,0.00299,0.21763,2.71777,1.58378,0.02206,1.60745
0.04151,0.00975,0.00014,0.00961,0.21686,0.00305,0.21374,2.74669,1.63608,0.02297,1.61254
0.04195,0.00928,0.00014,0.00944,0.20644,0.00309,0.20996,2.7756,1.59042,0.02377,1.61755
0.04239,0.00938,0.00014,0.00928,0.20859,0.00301,0.20628,2.80451,1.6406,0.02368,1.62248
0.04282,0.00904,0.00013,0.00912,0.20101,0.00279,0.2027,2.83342,1.61378,0.02241,1.62734
0.04326,0.00895,0.00015,0.00896,0.19899,0.00333,0.19921,2.86233,1.6303,0.02729,1.63213
0.0437,0.00872,0.00014,0.00881,0.19391,0.00303,0.19581,2.89124,1.62097,0.02535,1.63685
0.04414,0.00871,0.00014,0.00866,0.19362,0.00307,0.1925,2.92016,1.65109,0.02615,1.6415
0.04457,0.00848,0.00013,0.00851,0.18854,0.00284,0.18927,2.94907,1.6397,0.02468,1.64608
0.04501,0.00831,0.00013,0.00837,0.18466,0.00295,0.18612,2.97798,1.63766,0.0262,1.65059
0.04545,0.00836,0.00015,0.00823,0.18598,0.00327,0.18305,3.00689,1.6815,0.02953,1.65503
0.04588,0.00823,0.00014,0.0081,0.18306,0.00304,0.18005,3.0358,1.68708,0.02798,1.65939
0.04632,0.00784,0.00013,0.00797,0.17443,0.00293,0.17713,3.06471,1.63828,0.0275,1.66368
0.04676,0.00794,0.00014,0.00784,0.17652,0.00307,0.17428,3.09362,1.68936,0.02937,1.66791
0.04719,0.00783,0.00013,0.00771,0.174,0.00293,0.17149,3.12253,1.69654,0.02861,1.67208
0.04763,0.00753,0.00013,0.00759,0.16747,0.00279,0.16877,3.15144,1.66321,0.02775,1.67619
