S10_2_Ka
6.941582966922327e-06
6.725848949064099e-06
6.720391736254367e-06
7.692157901923423e-06
7.422654316623001e-06
7.651189275904527e-06
7.128346890992553e-06
8.093686035718305e-06
7.89109656138483e-06
7.932501297046569e-06
8.339144780505722e-06
8.816059780991606e-06
8.901132188985384e-06
9.270781379828355e-06
9.161379034046107e-06
