Proteome Id	Organism	Organism Id	Protein count	Taxonomic lineage
UP000007222	Simian immunodeficiency virus (isolate TAN1) (SIV-cpz) (Chimpanzee immunodeficiency virus)	388910	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Simian immunodeficiency virus, Simian immunodeficiency virus - cpz
UP000007251	Cryphonectria hypovirus 1 (strain EP713) (CHV-1/EP713) (Chestnut blight fungus hypovirulence-associated virus)	12478	2	Viruses, Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Hypoviridae, Alphahypovirus, Alphahypovirus cryphonectriae, Cryphonectria hypovirus 1
UP000007405	Tomato golden mosaic virus (strain Yellow vein) (TGMV)	223341	7	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Tomato golden mosaic virus
UP000007418	Human immunodeficiency virus type 1 group M subtype F1 (isolate VI850) (HIV-1)	388813	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group M, HIV-1 M:F
UP000007420	Human immunodeficiency virus type 1 group N (isolate YBF30) (HIV-1)	388818	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group N
UP000007451	Bat coronavirus HKU5 (BtCoV) (BtCoV/HKU5/2004)	694008	10	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Merbecovirus
UP000007616	Bovine respiratory syncytial virus (strain A51908) (BRS)	11247	11	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Pneumoviridae, Orthopneumovirus, Orthopneumovirus bovis, Bovine orthopneumovirus
UP000007683	Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1)	11926	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus, Primate T-lymphotropic virus 1, Human T-cell leukemia virus type I, HTLV-1 subtype A
UP000007685	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056) (HIV-1)	388826	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group M, HIV-1 M:H
UP000007686	Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025) (HIV-1)	388812	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group M, HIV-1 M:C
UP000007688	Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1)	11685	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group M, HIV-1 M:B
UP000007689	Human immunodeficiency virus type 1 group O (isolate ANT70) (HIV-1)	327105	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group O
UP000007691	Human immunodeficiency virus type 1 group M subtype B (strain 89.6) (HIV-1)	401671	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group M, HIV-1 M:B
UP000007692	Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1)	11686	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 unknown group
UP000007693	Human immunodeficiency virus type 1 group M subtype D (isolate ELI) (HIV-1)	11689	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 unknown group
UP000007694	Human immunodeficiency virus type 1 group M subtype C (isolate ETH2220) (HIV-1)	388796	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group M, HIV-1 M:C
UP000007696	Human immunodeficiency virus type 1 group M subtype A (isolate MAL) (HIV-1)	11697	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 unknown group
UP000007697	Human immunodeficiency virus type 1 group M subtype B (isolate MN) (HIV-1)	11696	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group M, HIV-1 M:B
UP000007699	Human immunodeficiency virus type 1 group M subtype B (isolate RF/HAT3) (HIV-1)	11701	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 unknown group
UP000007705	Simian virus 40 (SV40)	1891767	6	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Betapolyomavirus
UP000007804	Borna disease virus (strain V) (BDV)	928296	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Bornaviridae, unclassified Bornaviridae, Borna disease virus
UP000007930	Hepatitis B virus genotype D subtype ayw (isolate France/Tiollais/1979) (HBV-D)	490133	7	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Hepatitis B virus, hepatitis B virus genotype D
UP000008026	Tacaribe virus (strain Franze-Fernandez) (TCRV)	928313	4	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Arenaviridae, Mammarenavirus, Tacaribe virus
UP000008029	Human T-cell leukemia virus 3 (strain 2026ND) (HTLV-3)	402036	6	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus, Primate T-lymphotropic virus 3, Human T-cell leukemia virus 3
UP000008158	Influenza B virus (strain B/Lee/1940)	518987	11	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Betainfluenzavirus, Betainfluenzavirus influenzae, Influenza B virus
UP000008167	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)	10515	45	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Mastadenovirus, Human mastadenovirus C
UP000008255	Triticum mosaic virus (isolate Triticum aestivum/United States/U06-123/2006) (TriMV)	1289472	1	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Poacevirus, Triticum mosaic virus
UP000008436	Simian immunodeficiency virus (isolate EK505) (SIV-cpz) (Chimpanzee immunodeficiency virus)	388912	9	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Simian immunodeficiency virus, Simian immunodeficiency virus - cpz
UP000008589	Cowpea mosaic virus (strain SB) (CPMV)	928299	3	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Comovirus, Comovirus vignae, Cowpea mosaic virus
UP000008590	Cricket paralysis virus (isolate Teleogryllus commodus/Australia/CrPVVIC/1968) (CrPV)	928300	2	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Dicistroviridae, Cripavirus, Cripavirus grylli, Cricket paralysis virus
UP000008591	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-) (HBV-C)	928302	5	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Hepatitis B virus, hepatitis B virus genotype C
UP000008595	Uukuniemi virus (strain S23) (UUKV)	487099	4	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Phlebovirus, Uukuniemi phlebovirus
UP000008627	Hantaan virus (strain 76-118) (Korean hemorrhagic fever virus)	11602	3	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Hantaviridae, Mammantavirinae, Orthohantavirus, Orthohantavirus hantanense
UP000008765	Foot-and-mouth disease virus (isolate Bovine/Germany/O1Kaufbeuren/1966 serotype O) (FMDV)	73482	5	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Aphthovirus, Foot-and-mouth disease virus, Foot-and-mouth disease virus O
UP000008767	Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970) (CCHFV)	652961	4	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Orthonairovirus haemorrhagiae
