S18_2_Ka
2.807989406735562e-05
3.1422532067774725e-05
3.115574753970345e-05
2.8962488230328092e-05
3.0726836035973026e-05
2.9523727315412552e-05
3.0608543822605284e-05
2.9635153814431935e-05
3.0244181666766862e-05
3.0576075515266044e-05
2.9416763516422708e-05
3.072644365001966e-05
3.0842097168943126e-05
3.121961053927817e-05
3.0870885698655226e-05
