P0A6H1	copy_number:468.251261
P0A6H8	copy_number:26.97014801
P0A6I0	copy_number:561.6140777
P76290	copy_number:336.1403845
P76291	copy_number:30.42327632
P64467	copy_number:93.50180815
P0A6I3	copy_number:7.926152408
P0ABQ0	copy_number:169.5642094
P0A6I6	copy_number:128.6221524
P0A6I9	copy_number:7.787060541
P75960	copy_number:157.5821891
P52086	copy_number:6.480652387
P36561	copy_number:35.91646711
P36562	copy_number:1.634062858
P0AE76	copy_number:2.015285574
P25524	copy_number:27.79054937
Q59385	copy_number:73.00504959
P0ABI4	copy_number:70.14256999
P0AE78	copy_number:125.5262491
P0AEW4	copy_number:38.6252662
P08331	copy_number:303.4920781
P0CB39	copy_number:70.90994958
P0AE82	copy_number:42.26085118
P0AE85	copy_number:0
P0AE88	copy_number:341.9113821
P0AE91	copy_number:204.8786515
P08368	copy_number:1.286683281
P08401	copy_number:0.916476588
P24251	copy_number:185.2685289
P0ACJ8	copy_number:2980.165091
P69783	copy_number:4757.498945
Q46925	copy_number:12.34144943
P54901	copy_number:12.99256168
P37338	copy_number:7.833791867
P0A9X9	copy_number:1195.296501
P36995	copy_number:174.2232551
P0A9Y6	copy_number:3882.948399
P0A968	copy_number:4.103745715
P0A972	copy_number:1978.962516
P0A978	copy_number:184.5939997
P0A986	copy_number:6.219767987
P69913	copy_number:2505.230042
P13518	copy_number:2.614678559
P15078	copy_number:50.76822163
P36649	copy_number:16.39023119
P0ACZ8	copy_number:10.8957816
P77485	copy_number:0.309763009
P69488	copy_number:28.98130313
P67826	copy_number:22.85696258
P76007	copy_number:6.505385286
P00936	copy_number:1.121063491
P27838	copy_number:96.84127917
P0AAE0	copy_number:9.443043939
P0ABJ9	copy_number:1123.48927
P0ABK2	copy_number:526.4352268
P23886	copy_number:51.42458993
P29018	copy_number:28.54891287
P0ABJ1	copy_number:1661.664367
P0ABI8	copy_number:322.8552089
P0ABJ3	copy_number:69.26829517
P0A9F3	copy_number:257.1918815
P0A9D4	copy_number:106.826762
P0AEA8	copy_number:55.6137245
P0ABK5	copy_number:361.9750563
P16703	copy_number:8.854363348
P22255	copy_number:104.7634485
P21888	copy_number:308.8619407
P0A6J3	copy_number:31.4783504
P0ACN7	copy_number:42.51780348
P0AEB2	copy_number:444.6060685
P24228	copy_number:22.14361885
P08506	copy_number:313.1329679
P0A6J5	copy_number:2193.891421
P29012	copy_number:407.228308
P0AEE8	copy_number:5.354684444
P11557	copy_number:42.96515089
P0A6L2	copy_number:1260.509329
P04036	copy_number:120.9688702
P0A9D8	copy_number:1381.052259
P0AED7	copy_number:218.1056107
P0A6K1	copy_number:47.65652018
P21693	copy_number:4.301585748
P28248	copy_number:608.7406239
P0AED9	copy_number:14.60281145
P24171	copy_number:86.07765705
P0AEE1	copy_number:998.4934262
P0A830	copy_number:495.4822138
P0ABN5	copy_number:462.6097573
P0ABN9	copy_number:95.78745993
P0ABP3	copy_number:58.46099855
P0AD01	copy_number:14.36001559
P0AEC8	copy_number:14.79223023
P76316	copy_number:144.0592065
P0A6J8	copy_number:924.1967753
P07862	copy_number:69.24059567
P0A9P6	copy_number:112.2348992
P09549	copy_number:3.641161628
P0A6K3	copy_number:245.6168499
P0C0V0	copy_number:176.1303445
P39099	copy_number:170.9100792
P0AEE3	copy_number:102.5158608
P07650	copy_number:1056.397647
P0A6K6	copy_number:1388.300737
P0A6L0	copy_number:1244.651026
P0ABP8	copy_number:4585.793148
P0ACK5	copy_number:30.32984559
P0A6P5	copy_number:205.9873446
P0ABN1	copy_number:107.6587224
P31460	copy_number:61.91130502
P15723	copy_number:2.942116102
P76015	copy_number:490.728929
P76014	copy_number:268.0386348
P37349	copy_number:134.6172335
P76016	copy_number:2.329558412
P23840	copy_number:25.81017867
P27296	copy_number:0.631662445
P0ABR1	copy_number:2.354862888
P31680	copy_number:72.6392458
Q46857	copy_number:191.3426786
P0ABS1	copy_number:1143.802941
P06149	copy_number:103.6834037
P37672	copy_number:13.30751706
P18775	copy_number:275.5259216
P18776	copy_number:141.8144279
P18777;P76173	copy_number:31.33375048
P69853	copy_number:99.21637441
P03004	copy_number:55.31702353
P0ACB0	copy_number:34.20208795
P0AEF0	copy_number:31.10653705
P10443	copy_number:9.70016224
P0ABS5	copy_number:20.50685196
P08622	copy_number:205.7488383
P0A6Y8	copy_number:6243.500712
P0A988	copy_number:323.8847661
P03007	copy_number:2.033032883
P0A8J2	copy_number:62.05583126
P06710	copy_number:9.43945009
P0AEF4	copy_number:15.67633128
