P11648	copy_number:5.77E+02
P51001	copy_number:1.20E+03
P02379	copy_number:8.85E+05
P10121	copy_number:5.18E+02
P05020	copy_number:6.64E+02
P24231	copy_number:4.35E+02
P02427	copy_number:1.60E+04
P60757	copy_number:6.40E+02
P15002	copy_number:9.24E+02
P31663	copy_number:8.35E+02
P19494	copy_number:1.43E+03
P08193	copy_number:8.05E+02
P37051	copy_number:1.68E+03
P02424	copy_number:4.53E+05
P13036	copy_number:3.58E+02
P02429	copy_number:4.53E+05
P00274	copy_number:2.66E+03
P15640	copy_number:5.35E+02
P02414	copy_number:1.14E+04
P36997	copy_number:8.19E+03
P0A6A6	copy_number:5.93E+02
P07004	copy_number:4.53E+02
P02435	copy_number:3.90E+04
P32164	copy_number:1.14E+04
P77310	copy_number:2.33E+03
P27252	copy_number:2.33E+03
P13652	copy_number:9.15E+02
P52643	copy_number:1.20E+03
P02436	copy_number:1.86E+08
P15277	copy_number:8.19E+03
P77804	copy_number:4.01E+02
P31057	copy_number:2.11E+03
P30139	copy_number:9.15E+02
P11028	copy_number:4.53E+05
P80063	copy_number:4.98E+02
P21774	copy_number:3.33E+03
P08622	copy_number:8.05E+02
P04951	copy_number:6.13E+02
P02374	copy_number:3.90E+04
P15716	copy_number:2.87E+02
P03017	copy_number:6.86E+02
P37648	copy_number:4.32E+02
P00923	copy_number:3.15E+02
P04422	copy_number:5.26E+02
P11557	copy_number:5.93E+02
P16456	copy_number:6.86E+02
P07906	copy_number:5.71E+02
P09159	copy_number:7.27E+02
P15048	copy_number:8.21E+02
Q46856	copy_number:6.13E+02
P39377	copy_number:5.35E+02
P14374	copy_number:1.49E+03
P06128	copy_number:4.74E+02
P29464	copy_number:9.05E+02
P60716	copy_number:6.13E+02
P00453	copy_number:5.57E+02
P37192	copy_number:6.40E+02
P76492	copy_number:1.04E+03
P45464	copy_number:3.15E+02
P23887	copy_number:1.91E+03
P00495	copy_number:9.05E+02
P45803	copy_number:9.05E+02
P33363	copy_number:2.68E+02
P30849	copy_number:1.22E+03
P04036	copy_number:4.83E+02
P18274	copy_number:3.19E+03
P28635	copy_number:8.05E+02
P77774	copy_number:6.64E+02
P46853	copy_number:7.27E+02
P25521	copy_number:5.85E+03
P14175	copy_number:8.05E+02
P36658	copy_number:1.22E+03
P39287	copy_number:1.22E+03
P78258	copy_number:4.32E+02
P77348	copy_number:3.68E+02
P30746	copy_number:1.22E+03
P29209	copy_number:2.66E+03
P24186	copy_number:1.25E+03
P26650	copy_number:2.11E+03
P23865	copy_number:2.74E+02
P05459	copy_number:3.53E+02
P15040	copy_number:3.19E+03
P30125	copy_number:5.30E+02
P25528	copy_number:2.11E+03
P30856	copy_number:5.85E+03
P36996	copy_number:5.85E+03
P08186	copy_number:6.40E+02
P02901	copy_number:1.02E+04
P33398	copy_number:5.85E+03
P39831	copy_number:8.92E+02
P18400	copy_number:8.77E+02
P23836	copy_number:7.86E+02
P20752	copy_number:8.59E+02
P29015	copy_number:6.79E+02
P04693	copy_number:5.10E+02
P00859	copy_number:8.92E+02
P02339	copy_number:1.28E+03
P36979	copy_number:4.53E+02
P60560	copy_number:6.40E+02
P0A6T3	copy_number:7.04E+02
P23858	copy_number:4.30E+02
P05825	copy_number:2.95E+02
P09424	copy_number:5.46E+02
P00831	copy_number:1.28E+03
P39330	copy_number:6.54E+03
P15047	copy_number:8.92E+02
P76153	copy_number:3.19E+03
P23853	copy_number:8.92E+02
P04816	copy_number:4.24E+02
P33598	copy_number:1.04E+03
P02998	copy_number:1.60E+04
P27251	copy_number:1.68E+03
P25714	copy_number:7.04E+02
P21892	copy_number:1.25E+03
P37754	copy_number:3.48E+02
P37329	copy_number:4.79E+02
P28909	copy_number:4.10E+02
P37187	copy_number:1.28E+03
P21590	copy_number:6.13E+02
P28302	copy_number:4.10E+02
P09029	copy_number:6.13E+02
P02937	copy_number:1.02E+04
P55741	copy_number:4.18E+03
P25662	copy_number:4.27E+02
P15039	copy_number:4.05E+02
P23863	copy_number:7.63E+02
P27851	copy_number:6.13E+02
P00370	copy_number:3.68E+02
P23932	copy_number:5.61E+02
P02905	copy_number:1.32E+03
P07019	copy_number:3.59E+02
P76002	copy_number:1.32E+03
P75876	copy_number:3.48E+02
P37688	copy_number:1.04E+03
P03025	copy_number:6.13E+02
P78083	copy_number:5.61E+02
P52065	copy_number:7.04E+02
P39406	copy_number:5.18E+02
P77258	copy_number:4.05E+02
P30744	copy_number:4.88E+02
P61316	copy_number:6.13E+02
P77254	copy_number:2.73E+02
P24253	copy_number:6.79E+02
P39811	copy_number:5.30E+02
P07005	copy_number:2.78E+02
P11026	copy_number:5.18E+02
P40874	copy_number:3.01E+02
P36540	copy_number:1.04E+03
P00478	copy_number:8.35E+02
P02437	copy_number:3.37E+06
P75789	copy_number:8.77E+02
P36766	copy_number:1.04E+03
P03844	copy_number:1.28E+03
P37010	copy_number:2.98E+03
P26428	copy_number:8.59E+02
P37190	copy_number:5.82E+02
P24250	copy_number:8.59E+02
P77438	copy_number:8.59E+02
P06984	copy_number:1.32E+03
P27434	copy_number:7.37E+02
P37749	copy_number:4.24E+02
P10384	copy_number:4.20E+02
Q57261	copy_number:3.15E+02
P15770	copy_number:4.53E+02
P00501	copy_number:1.39E+03
P24247	copy_number:7.04E+02
P77734	copy_number:5.82E+02
P12996	copy_number:3.68E+02
P42641	copy_number:4.88E+02
Q47130	copy_number:1.39E+03
P60546	copy_number:8.35E+02
P06129	copy_number:2.38E+02
P24223	copy_number:7.37E+02
P75838	copy_number:3.99E+02
P43675	copy_number:2.07E+02
P28694	copy_number:1.04E+03
P75902	copy_number:3.28E+02
P09375	copy_number:5.46E+02
P76403	copy_number:3.15E+02
P76658	copy_number:2.43E+02
P25529	copy_number:5.30E+02
P25516	copy_number:1.98E+02
P15034	copy_number:3.78E+02
P09200	copy_number:4.53E+02
P10902	copy_number:2.65E+02
P06995	copy_number:5.82E+02
P00547	copy_number:7.37E+02
P29210	copy_number:8.59E+02
P00583	copy_number:4.53E+02
P06613	copy_number:3.48E+02
P0A6W9	copy_number:2.60E+02
P75802	copy_number:3.15E+02
P28904	copy_number:2.89E+02
P31803	copy_number:3.12E+04
P25661	copy_number:4.53E+02
P27511	copy_number:7.37E+02
P30126	copy_number:6.49E+02
P00470	copy_number:4.53E+02
P30177	copy_number:3.78E+02
P17952	copy_number:2.60E+02
P10443	copy_number:1.35E+02
P37665	copy_number:8.35E+02
P36671	copy_number:2.11E+03
P76351	copy_number:7.04E+02
P36950	copy_number:2.11E+03
P09028	copy_number:2.66E+03
P00832	copy_number:4.18E+03
P06999	copy_number:3.48E+02
P23331	copy_number:6.13E+02
P07862	copy_number:3.92E+02
P09170	copy_number:7.04E+02
P40120	copy_number:2.29E+02
P80449	copy_number:7.04E+02
P77486	copy_number:4.53E+02
P14189	copy_number:1.04E+03
P06992	copy_number:5.46E+02
P05054	copy_number:4.20E+02
P75864	copy_number:1.94E+02
P09158	copy_number:8.35E+02
P61949	copy_number:8.35E+02
P62768	copy_number:8.35E+02
P07024	copy_number:2.89E+02
P23929	copy_number:1.04E+03
P75844	copy_number:1.39E+03
P07913	copy_number:4.94E+02
P37666	copy_number:4.94E+02
P00373	copy_number:7.04E+02
P04982	copy_number:5.18E+02
P03842	copy_number:8.35E+02
P76536	copy_number:3.68E+02
P07014	copy_number:3.68E+02
P13035	copy_number:2.23E+02
P36559	copy_number:6.64E+02
P76055	copy_number:3.48E+02
P36539	copy_number:8.05E+02
P09030	copy_number:3.68E+02
P21504	copy_number:6.13E+02
P36767	copy_number:3.82E+02
P39169	copy_number:4.14E+02
P08756	copy_number:2.11E+03
P42617	copy_number:1.49E+03
P32661	copy_number:8.05E+02
P37765	copy_number:3.68E+02
P23827	copy_number:8.35E+02
P04381	copy_number:7.04E+02
P52054	copy_number:5.46E+02
P20082	copy_number:1.74E+02
P09147	copy_number:3.92E+02
P06988	copy_number:4.94E+02
P76367	copy_number:2.66E+03
P46143	copy_number:3.82E+02
P05797	copy_number:3.82E+02
P77150	copy_number:5.46E+02
P06983	copy_number:2.84E+02
P25397	copy_number:4.94E+02
P18133	copy_number:2.68E+02
P75790	copy_number:2.41E+02
P16244	copy_number:6.64E+02
P08956	copy_number:1.14E+02
P37634	copy_number:3.30E+02
P43329	copy_number:1.04E+02
P24229	copy_number:2.41E+02
P06968	copy_number:2.66E+03
P75743	copy_number:5.04E+02
P28242	copy_number:1.49E+03
P18783	copy_number:6.64E+02
P27291	copy_number:6.64E+02
P30138	copy_number:4.05E+02
P45467	copy_number:5.71E+02
P06975	copy_number:5.71E+02
P46885	copy_number:3.33E+02
P39199	copy_number:6.13E+02
P10440	copy_number:6.64E+02
P25745	copy_number:4.14E+02
P40681	copy_number:3.82E+02
P25437	copy_number:4.53E+02
P33648	copy_number:5.04E+02
P37760	copy_number:4.53E+02
P75805	copy_number:3.39E+02
P00894	copy_number:4.05E+02
P77695	copy_number:1.49E+03
P00510	copy_number:4.53E+02
P31222	copy_number:6.64E+02
P09830	copy_number:8.05E+02
P31059	copy_number:6.13E+02
P05826	copy_number:6.64E+02
P76258	copy_number:1.04E+03
P76569	copy_number:6.13E+02
P18198	copy_number:8.05E+02
P46880	copy_number:3.15E+02
P30977	copy_number:2.66E+03
