energies,CoA_conc,valency,system,unbound,bound1CoA,bound2CoA,bound3CoA,bound4CoA,bound5+CoA,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-110_BM-1_BN-1,1000,Nb,doubleTAD_doubleCoA,0.952483660130719,0.046928104575163394,0.000588235294117647,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-1.0
AM-110_AN-110_BM-1_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9058169934640522,0.0922222222222222,0.00196078431372549,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-1.0
AM-110_AN-110_BM-1_BN-110,20,Nb,doubleTAD_doubleCoA,0.9984313725490196,0.001568627450980392,0.0,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,160,Nb,doubleTAD_doubleCoA,0.9873202614379085,0.012679738562091503,0.0,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,500,Nb,doubleTAD_doubleCoA,0.956078431372549,0.04372549019607843,0.000196078431372549,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,1000,Nb,doubleTAD_doubleCoA,0.9203267973856208,0.07895424836601307,0.000718954248366013,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-110,2000,Nb,doubleTAD_doubleCoA,0.852091503267974,0.14444444444444446,0.0034640522875817,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-110.0
AM-110_AN-110_BM-1_BN-160,20,Nb,doubleTAD_doubleCoA,0.9937254901960785,0.006274509803921569,0.0,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-160,160,Nb,doubleTAD_doubleCoA,0.9548366013071895,0.04509803921568626,6.5359477124183e-05,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-160,500,Nb,doubleTAD_doubleCoA,0.8689542483660131,0.13,0.0010457516339869282,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
