,system,AM_int,AN_int,BM_int,BN_int,Nb_Kd,Nb_Kd_SEM,Nb_Rmax,Nb_Rmax_SEM
34,doubleTAD_doubleCoA,AM-160,AN-110,BM-110,BN-160,1.776E+03,5.339E+01,1.452E+00,2.507E-02
35,doubleTAD_doubleCoA,AM-160,AN-110,BM-110,BN-210,3.491E+02,4.370E+00,1.245E+00,3.748E-03
36,doubleTAD_doubleCoA,AM-160,AN-110,BM-160,BN-1,3.253E+03,1.250E+02,1.408E+00,3.417E-02
37,doubleTAD_doubleCoA,AM-160,AN-110,BM-160,BN-110,3.027E+03,8.164E+01,1.533E+00,2.387E-02
38,doubleTAD_doubleCoA,AM-160,AN-110,BM-160,BN-160,1.620E+03,4.373E+01,1.537E+00,2.216E-02
39,doubleTAD_doubleCoA,AM-160,AN-110,BM-160,BN-210,3.852E+02,5.943E+00,1.339E+00,5.960E-03
40,doubleTAD_doubleCoA,AM-160,AN-110,BM-1,BN-1,7.845E+03,6.853E+02,1.709E+00,1.149E-01
41,doubleTAD_doubleCoA,AM-160,AN-110,BM-1,BN-110,5.789E+03,3.897E+02,1.749E+00,8.747E-02
42,doubleTAD_doubleCoA,AM-160,AN-110,BM-1,BN-160,1.881E+03,5.628E+01,1.448E+00,2.511E-02
43,doubleTAD_doubleCoA,AM-160,AN-110,BM-1,BN-210,3.509E+02,4.828E+00,1.228E+00,4.520E-03
44,doubleTAD_doubleCoA,AM-160,AN-160,BM-110,BN-1,4.379E+03,1.557E+02,1.991E+00,4.537E-02
45,doubleTAD_doubleCoA,AM-160,AN-160,BM-110,BN-110,3.269E+03,1.390E+02,1.767E+00,4.873E-02
46,doubleTAD_doubleCoA,AM-160,AN-160,BM-110,BN-160,1.565E+03,3.621E+01,1.520E+00,1.472E-02
47,doubleTAD_doubleCoA,AM-160,AN-160,BM-110,BN-210,3.607E+02,5.396E+00,1.270E+00,5.316E-03
48,doubleTAD_doubleCoA,AM-160,AN-160,BM-160,BN-1,1.651E+03,4.616E+01,1.494E+00,2.091E-02
49,doubleTAD_doubleCoA,AM-160,AN-160,BM-160,BN-110,1.655E+03,3.768E+01,1.550E+00,1.718E-02
50,doubleTAD_doubleCoA,AM-160,AN-160,BM-160,BN-160,1.054E+03,2.609E+01,1.453E+00,1.450E-02
51,doubleTAD_doubleCoA,AM-160,AN-160,BM-160,BN-210,3.574E+02,5.390E+00,1.341E+00,4.785E-03
52,doubleTAD_doubleCoA,AM-160,AN-160,BM-1,BN-1,6.058E+03,3.401E+02,2.327E+00,9.837E-02
53,doubleTAD_doubleCoA,AM-160,AN-160,BM-1,BN-110,4.259E+03,2.120E+02,1.957E+00,6.937E-02
54,doubleTAD_doubleCoA,AM-160,AN-160,BM-1,BN-160,1.644E+03,3.631E+01,1.508E+00,1.563E-02
55,doubleTAD_doubleCoA,AM-160,AN-160,BM-1,BN-210,3.435E+02,3.794E+00,1.242E+00,4.308E-03
56,doubleTAD_doubleCoA,AM-160,AN-1,BM-110,BN-1,5.958E+03,4.381E+02,1.317E+00,7.066E-02
57,doubleTAD_doubleCoA,AM-160,AN-1,BM-110,BN-110,5.322E+03,3.202E+02,1.574E+00,6.905E-02
58,doubleTAD_doubleCoA,AM-160,AN-1,BM-110,BN-160,1.850E+03,5.420E+01,1.450E+00,2.258E-02
59,doubleTAD_doubleCoA,AM-160,AN-1,BM-110,BN-210,3.676E+02,5.684E+00,1.258E+00,5.662E-03
60,doubleTAD_doubleCoA,AM-160,AN-1,BM-160,BN-1,3.461E+03,1.500E+02,1.250E+00,3.400E-02
61,doubleTAD_doubleCoA,AM-160,AN-1,BM-160,BN-110,3.020E+03,1.026E+02,1.353E+00,2.968E-02
62,doubleTAD_doubleCoA,AM-160,AN-1,BM-160,BN-160,1.723E+03,4.439E+01,1.532E+00,2.073E-02
63,doubleTAD_doubleCoA,AM-160,AN-1,BM-160,BN-210,3.963E+02,6.574E+00,1.343E+00,6.602E-03
64,doubleTAD_doubleCoA,AM-160,AN-1,BM-1,BN-1,9.295E+03,1.141E+03,1.683E+00,1.607E-01
65,doubleTAD_doubleCoA,AM-160,AN-1,BM-1,BN-110,6.294E+03,4.915E+02,1.712E+00,1.014E-01
66,doubleTAD_doubleCoA,AM-160,AN-1,BM-1,BN-160,1.881E+03,5.811E+01,1.445E+00,2.293E-02
67,doubleTAD_doubleCoA,AM-160,AN-1,BM-1,BN-210,3.428E+02,5.120E+00,1.234E+00,5.647E-03
68,doubleTAD_doubleCoA,AM-160,AN-210,BM-110,BN-1,9.635E+02,1.788E+01,1.580E+00,1.217E-02
69,doubleTAD_doubleCoA,AM-160,AN-210,BM-110,BN-110,9.198E+02,1.968E+01,1.560E+00,1.291E-02
70,doubleTAD_doubleCoA,AM-160,AN-210,BM-110,BN-160,7.109E+02,1.312E+01,1.471E+00,9.810E-03
71,doubleTAD_doubleCoA,AM-160,AN-210,BM-110,BN-210,3.090E+02,4.002E+00,1.297E+00,4.099E-03
72,doubleTAD_doubleCoA,AM-160,AN-210,BM-160,BN-1,3.955E+02,5.497E+00,1.338E+00,4.734E-03
73,doubleTAD_doubleCoA,AM-160,AN-210,BM-160,BN-110,4.031E+02,5.697E+00,1.353E+00,6.303E-03
74,doubleTAD_doubleCoA,AM-160,AN-210,BM-160,BN-160,3.641E+02,4.786E+00,1.338E+00,4.414E-03
75,doubleTAD_doubleCoA,AM-160,AN-210,BM-160,BN-210,2.446E+02,3.103E+00,1.304E+00,4.097E-03
76,doubleTAD_doubleCoA,AM-160,AN-210,BM-1,BN-1,1.307E+03,2.643E+01,1.709E+00,1.870E-02
77,doubleTAD_doubleCoA,AM-160,AN-210,BM-1,BN-110,1.250E+03,2.966E+01,1.709E+00,2.152E-02
78,doubleTAD_doubleCoA,AM-160,AN-210,BM-1,BN-160,8.565E+02,1.551E+01,1.513E+00,1.139E-02
79,doubleTAD_doubleCoA,AM-160,AN-210,BM-1,BN-210,3.106E+02,5.096E+00,1.284E+00,5.459E-03
80,doubleTAD_doubleCoA,AM-1,AN-110,BM-1,BN-1,1.103E+05,1.522E+11,4.912E+00,6.648E+06
81,doubleTAD_doubleCoA,AM-1,AN-110,BM-1,BN-110,5.218E+04,1.513E+09,3.687E+00,1.013E+05
82,doubleTAD_doubleCoA,AM-1,AN-110,BM-1,BN-160,5.734E+03,2.839E+02,1.391E+00,4.759E-02
83,doubleTAD_doubleCoA,AM-1,AN-110,BM-1,BN-210,8.269E+02,1.610E+01,1.135E+00,8.351E-03
84,doubleTAD_doubleCoA,AM-1,AN-160,BM-1,BN-1,6.792E+03,5.325E+02,1.467E+00,8.694E-02
85,doubleTAD_doubleCoA,AM-1,AN-160,BM-1,BN-110,5.888E+03,3.266E+02,1.437E+00,5.360E-02
86,doubleTAD_doubleCoA,AM-1,AN-160,BM-1,BN-160,3.125E+03,1.135E+02,1.285E+00,2.909E-02
87,doubleTAD_doubleCoA,AM-1,AN-160,BM-1,BN-210,7.492E+02,1.247E+01,1.130E+00,6.897E-03
88,doubleTAD_doubleCoA,AM-1,AN-1,BM-1,BN-1,3.258E+11,4.000E+11,5.712E+06,7.011E+06
89,doubleTAD_doubleCoA,AM-1,AN-1,BM-1,BN-110,9.752E+11,5.159E+11,4.282E+07,2.288E+07
90,doubleTAD_doubleCoA,AM-1,AN-1,BM-1,BN-160,7.426E+03,5.594E+02,1.563E+00,8.990E-02
91,doubleTAD_doubleCoA,AM-1,AN-1,BM-1,BN-210,8.704E+02,2.076E+01,1.155E+00,1.031E-02
