RBD_5_Ka
1.0085617471044579e-05
7.5096414947370305e-06
6.842278359031479e-06
8.901927244236644e-06
7.599547711893943e-06
7.746965402703575e-06
7.765343540432913e-06
7.889421342798974e-06
9.125469319324704e-06
9.424983791555527e-06
9.206608920837328e-06
8.827455633037915e-06
8.688640600777716e-06
8.388083633663136e-06
8.11270534017661e-06
