O13972	copy_number:457986
Q09756	copy_number:235229
Q09757	copy_number:87315
Q09755	copy_number:156055
Q09766	copy_number:22188
Q9UTA6	copy_number:296795
Q10425	copy_number:133749
Q10172	copy_number:36937
O13981	copy_number:28628
P0CT69	copy_number:126991
Q10161	copy_number:153208
P0CT77	copy_number:513949
Q10168	copy_number:18431
Q10489	copy_number:204081
P36623	copy_number:1424234
Q10494	copy_number:440105
Q10490	copy_number:133817
P56289	copy_number:380493
O42668	copy_number:12870
O13998	copy_number:217047
Q02088	copy_number:138918
P40921	copy_number:503989
O14007	copy_number:53400
O14018	copy_number:121665
O14027	copy_number:216253
O14029	copy_number:5541
Q09857	copy_number:12578
Q09692	copy_number:60883
Q09173	copy_number:45537
Q9P7V5	copy_number:8239
Q09904	copy_number:5455
O14104	copy_number:173691
O14110	copy_number:144229
P40387	copy_number:164165
Q9P3T6	copy_number:260839
P56329	copy_number:66997
P31406	copy_number:164882
Q9UT81	copy_number:45391
Q9UT74	copy_number:65846
O14121	copy_number:262620
O00091	copy_number:212043
O14134	copy_number:38972
P36581	copy_number:191092
Q10179	copy_number:93740
Q10190	copy_number:24186
O42870	copy_number:123683
P56286	copy_number:98883
P25457	copy_number:323585
Q10137	copy_number:104745
Q9P3W6	copy_number:101538
Q10289	copy_number:165963
O14176	copy_number:6148
O36025	copy_number:12092
Q92371	copy_number:722410
P50521	copy_number:717859
P54874	copy_number:201452
P33075	copy_number:422696
P31318	copy_number:67667
Q10232	copy_number:193593
Q10208	copy_number:973803
O14460	copy_number:670805
Q9UT59	copy_number:46376
P78820	copy_number:110245
Q10251	copy_number:24083
Q10253	copy_number:129608
P87058	copy_number:68487
P32747	copy_number:50489
P31209	copy_number:305360
P87140	copy_number:70803
P87142	copy_number:88139
Q9HDZ8	copy_number:89706
P0C8R3	copy_number:496819
Q09676	copy_number:72445
P31411	copy_number:138592
O94236	copy_number:151169
P17476	copy_number:111293
P40381	copy_number:8351
P22774	copy_number:569333
Q9P6L9	copy_number:1914
Q9P7T8	copy_number:55029
O14217	copy_number:50000
Q10281	copy_number:1138837
O14228	copy_number:54226
O14230	copy_number:254592
O14250	copy_number:19805
O14253	copy_number:14221
O14254	copy_number:123752
O14255	copy_number:55725
Q92355	copy_number:4091
Q92357	copy_number:11916
Q9URZ5	copy_number:59655
O14463	copy_number:420291
O14265	copy_number:61585
Q9UT48	copy_number:87506
Q9URY0	copy_number:33204
O14273	copy_number:29894
O14277	copy_number:27254
P42656	copy_number:457536
Q9UT24	copy_number:11918
Q9UT19	copy_number:628087
P41887	copy_number:817914
Q9UUG0	copy_number:232031
Q9P4X4	copy_number:50341
Q9P7U2	copy_number:169735
O14289	copy_number:108848
O14290	copy_number:189813
Q42598	copy_number:355656
O14293	copy_number:478680
O14295	copy_number:302698
Q11118	copy_number:527516
P52808	copy_number:258070
O14306	copy_number:1304
O14072	copy_number:34954
O14077	copy_number:24094
O14081	copy_number:124269
O14082	copy_number:174524
Q9P772	copy_number:147343
Q9UT08	copy_number:32324
Q9UT05	copy_number:43865
Q9HDX7	copy_number:5814
Q9C102	copy_number:31770
Q9C0X6	copy_number:29078
Q9P7E8	copy_number:33681
Q9UT00	copy_number:18673
P50999	copy_number:89670
Q10330	copy_number:682440
Q9Y824	copy_number:11707
Q9Y823	copy_number:174121
Q9Y821	copy_number:5345
O42897	copy_number:67870
P78753	copy_number:213464
O42908	copy_number:33679
Q9P6I2	copy_number:150475
O74306	copy_number:140208
O94337	copy_number:41274
O74174	copy_number:57912
Q09747	copy_number:51021
O94501	copy_number:78312
Q9P6R6	copy_number:114644
O60064	copy_number:156031
P41004	copy_number:4969
Q9Y7Z8	copy_number:76249
O60100	copy_number:52101
O60101	copy_number:1079504
O60198	copy_number:476383
O60105	copy_number:342669
P50514	copy_number:145725
Q00472	copy_number:167546
P78917	copy_number:514937
O94373	copy_number:54611
O94609	copy_number:87974
O94634	copy_number:77161
Q04800	copy_number:30534
P41838	copy_number:34872
O42914	copy_number:253926
O42931	copy_number:41454
O42935	copy_number:326547
O42937	copy_number:45247
O94641	copy_number:152519
O14319	copy_number:15805
A9ZLL8	copy_number:163503
O60119	copy_number:99583
O60129	copy_number:202
O42938	copy_number:370725
O42943	copy_number:77792
O42947	copy_number:30369
Q9P7W3	copy_number:230635
O75005	copy_number:109867
Q10284	copy_number:659728
Q9P784	copy_number:56998
Q9P782	copy_number:400070
O74828	copy_number:3036
O74752	copy_number:184820
Q09948	copy_number:11651
O94567	copy_number:196669
Q9Y7I8	copy_number:155297
O59945	copy_number:128567
Q9UUF2	copy_number:121680
O74760	copy_number:58060
Q09130	copy_number:175147
Q9UUE1	copy_number:158038
P40370	copy_number:1480519
O59682	copy_number:27606
O94497	copy_number:22074
O60143	copy_number:405351
Q9USX1	copy_number:140635
P36580	copy_number:1376321
O60155	copy_number:145884
O42958	copy_number:21077
P08096	copy_number:13643
O74343	copy_number:16693
P21696	copy_number:368579
O94312	copy_number:8918
O94313	copy_number:225827
Q9UQW6	copy_number:301174
O94315	copy_number:104112
Q9UUM2	copy_number:452
P78833	copy_number:229669
Q9P7L5	copy_number:593311
O60184	copy_number:11313
P79060	copy_number:351062
P41836	copy_number:80677
P17478	copy_number:335692
O74766	copy_number:499417
O74781	copy_number:127090
P36603	copy_number:199106
P87144	copy_number:137091
P87147	copy_number:338440
P87157	copy_number:60538
P40998	copy_number:505384
O74787	copy_number:64376
Q9P6S6	copy_number:9760
P78937	copy_number:574335
O13656	copy_number:106003
O74360	copy_number:646
P18253	copy_number:1178293
Q9USU7	copy_number:3549
O94385	copy_number:14720
O13672	copy_number:300251
O59675	copy_number:489435
O59680	copy_number:174509
Q9Y7L1	copy_number:25502
P35551	copy_number:171382
O14339	copy_number:288638
O14340	copy_number:14754
O14344	copy_number:342497
O43003	copy_number:306476
O43007	copy_number:13287
O43014	copy_number:87182
Q9URM2	copy_number:437121
O94284	copy_number:207052
O14351	copy_number:248839
Q09171	copy_number:202199
O14363	copy_number:70693
O94653	copy_number:3232
O74374	copy_number:155584
P78958	copy_number:1021180
P10989	copy_number:464684
Q9UST4	copy_number:19343
P78921	copy_number:107409
Q9Y7Y8	copy_number:53198
O43021	copy_number:26603
O43024	copy_number:42645
O43026	copy_number:151540
Q9UUC1	copy_number:213308
Q09146	copy_number:13292
O59711	copy_number:174582
O43030	copy_number:194379
O43031	copy_number:4039
O43032	copy_number:12641
P17477	copy_number:461013
O14368	copy_number:438602
O59725	copy_number:29649
Q92375	copy_number:152648
O74378	copy_number:27647
P20772	copy_number:54128
Q9UUB4	copy_number:106662
O94303	copy_number:90170
O94358	copy_number:1929
O13326	copy_number:321889
O74965	copy_number:51661
P15398	copy_number:19137
O43063	copy_number:108695
O74391	copy_number:13104
O42707	copy_number:30676
O74402	copy_number:57575
O59743	copy_number:223680
Q9HGM9	copy_number:70889
P78827	copy_number:1024121
Q9USR1	copy_number:70352
O94529	copy_number:30272
P36596	copy_number:73046
O94513	copy_number:25938
O94514	copy_number:79731
O94667	copy_number:4204
O42893	copy_number:67707
Q9HEQ9	copy_number:92357
P78812	copy_number:397558
Q9UTT1	copy_number:42158
Q9C1X2	copy_number:62261
Q9C1X1	copy_number:14598
O94671	copy_number:268996
P57728	copy_number:365681
Q9HGL3	copy_number:66052
Q9HGL2	copy_number:25807
O94685	copy_number:19527
Q8WZJ7	copy_number:109256
O13651	copy_number:113201
O13639	copy_number:1054174
O13637	copy_number:46207
O42888	copy_number:84316
Q9USP8	copy_number:121388
O94740	copy_number:37755
P87048	copy_number:51517
Q9P7X8	copy_number:16688
Q9P7X1	copy_number:155969
P36620	copy_number:65275
Q9P7D7	copy_number:65269
Q9P7D4	copy_number:47248
P35679	copy_number:68770
O94255	copy_number:515452
P08094	copy_number:494436
O94260	copy_number:46350
P24782	copy_number:108577
O94266	copy_number:138424
O94267	copy_number:34546
O94268	copy_number:11376
O94273	copy_number:198148
Q8NIL3	copy_number:102474
Q9HDU3	copy_number:22364
Q9HDU2	copy_number:76921
Q96WV5	copy_number:68783
Q09140	copy_number:17353
O42700	copy_number:747526
O74830	copy_number:355634
O74835	copy_number:12096
O74836	copy_number:127341
O94350	copy_number:89886
P36597	copy_number:640773
O74407	copy_number:62585
P36591	copy_number:181308
O59779	copy_number:87836
O94709	copy_number:31629
O94396	copy_number:9912
O94399	copy_number:31764
Q9USK8	copy_number:10565
Q9USN8	copy_number:16301
Q9USN5	copy_number:27878
P78811	copy_number:580259
O94548	copy_number:2287
P78810	copy_number:69337
O94725	copy_number:55519
P00332	copy_number:1392141
O94579	copy_number:42379
O74489	copy_number:64322
O74173	copy_number:563709
O74419	copy_number:43637
O74628	copy_number:33254
O74424	copy_number:12773
O14055	copy_number:114921
O74452	copy_number:6471
O74455	copy_number:138255
P0CT83	copy_number:318433
O59855	copy_number:902084
O13370	copy_number:152875
O74864	copy_number:633861
O74976	copy_number:179612
O74475	copy_number:19220
O74478	copy_number:63345
P41820	copy_number:17758
Q9USL4	copy_number:24734
O74484	copy_number:118621
P78773	copy_number:197680
O94474	copy_number:2911
Q9UUA1	copy_number:77110
Q9UU99	copy_number:8095
P07669	copy_number:1306877
O74500	copy_number:35613
Q9Y7R8	copy_number:176495
P36621	copy_number:131405
O14313	copy_number:891115
O74985	copy_number:43278
P78825	copy_number:215029
O59794	copy_number:459575
O59795	copy_number:5319
O59797	copy_number:79069
P87228	copy_number:253647
O94489	copy_number:277776
P49776	copy_number:32612
O59809	copy_number:24676
O59810	copy_number:75190
O74887	copy_number:1270148
O74892	copy_number:522278
Q09878	copy_number:48566
Q09885	copy_number:45236
O94305	copy_number:70283
P36585	copy_number:9876
O74905	copy_number:209029
P78761	copy_number:186792
P78804	copy_number:327878
P79071	copy_number:684436
Q9Y7U7	copy_number:74109
Q9USI5	copy_number:459103
Q7Z9I2	copy_number:185221
O74524	copy_number:99063
O94248	copy_number:2708
O74548	copy_number:108554
O59813	copy_number:33829
O59816	copy_number:139622
P78813	copy_number:70764
P40375	copy_number:495703
Q9USH9	copy_number:45537
Q09912	copy_number:274727
O94534	copy_number:6520
O14065	copy_number:22851
O14064	copy_number:342
Q9UU78	copy_number:511846
Q9USG8	copy_number:22724
O74928	copy_number:326440
Q9C0U9	copy_number:12852
P28189	copy_number:319485
P87111	copy_number:24598
P28758	copy_number:68169
O94346	copy_number:38086
O14233	copy_number:7680
