MHV1_MHV1_Ka
2.277599719840773e-05
1.614846166637078e-05
1.5084779502069648e-05
2.0656978505271682e-05
2.090097364826035e-05
2.205411141579777e-05
2.132727465881486e-05
1.9872579718281187e-05
1.881192469598934e-05
1.7803224836572383e-05
1.8024549277555188e-05
1.7018036444814738e-05
1.6574201102172296e-05
1.6132585205860778e-05
1.6620156899679186e-05
1.5962695890409168e-05
1.596695706356036e-05
1.599026906690124e-05
1.5429356246479155e-05
1.5273620260840107e-05
