SCO2_SCO2_FB
787378574.8250798
667545318.9374914
681347944.6631258
662987726.379961
622886019.6744753
632130125.6497493
625986183.8236138
647612218.6895319
657072116.5445981
669151364.1081293
647524874.5472149
639476770.4883332
643880539.3671262
658642903.045722
649800355.3745215
648154524.7422396
653950338.2393279
645587212.2664384
643568294.244657
641491452.3829185
