229E_229E_FB
415537123.20453167
470454520.4365842
441729110.03367025
465974279.2759406
458732475.70189524
475832792.2692725
489464373.9714521
497021348.2869495
479685578.7545661
477046821.8437179
473513796.8864128
473097177.748419
477835950.71760166
470022899.24345
465085656.80472904
465304196.8418256
460352126.4333704
466120782.00700766
465308704.36762387
473532551.34511864
