MHV1_MHV1_FB
439718721.33709276
366273737.13353944
358675589.6773901
399755282.707061
406368753.8009377
417603787.373118
413551536.85796225
398813636.4669244
388494510.43627954
377541923.88291895
381353456.8106446
368039991.5907543
364339799.4399628
360241287.1786343
365870432.4251439
357080202.61381173
358404326.6666888
359787038.21246207
351719705.15254533
350881902.76292974
