Proteome Id	Organism Id	Protein count
UP000243108	284687	4
UP000243128	1183241	2
UP000243160	2847843	5
UP000243195	1580606	1
UP000243198	1922393	1
UP000243208	1468454	1
UP000243210	1923718	1
UP000243266	32615	4
UP000243281	1514896	1
UP000243289	1323524	2
UP000243295	12049	5
UP000243298	2169693	1
UP000243307	1776177	1
UP000243323	1777015	1
UP000243434	2560614	3
UP000243452	1908806	1
UP000243464	310750	1
UP000243569	858516	4
UP000243621	351495	3
UP000243664	1566011	1
UP000243671	1423347	1
UP000243672	862944	2
UP000243694	459770	2
UP000243767	878260	2
UP000243827	369643	2
UP000243831	1532031	2
UP000243911	687917	2
UP000243918	1435450	2
UP000243941	1985164	2
UP000243949	1871631	1
UP000246166	2163634	46
UP000246564	1425367	3
UP000246570	36423	10
UP000246759	2045113	7
UP000246808	712037	1
UP000247069	335100	11
UP000248626	2230910	2
UP000248937	2032989	1
UP000248957	2219106	2
UP000248962	2219107	2
UP000249117	2219108	2
UP000249128	2301732	3
UP000249273	1416741	130
UP000249909	1911439	1
UP000249952	1911435	5
UP000250030	1851087	4
UP000250118	1919247	5
UP000250142	1848169	2
UP000250151	1848042	2
UP000250199	1911438	1
UP000250212	1987360	7
UP000250247	1911434	5
UP000252591	2268589	47
UP000256499	2094725	3
UP000256802	2094724	2
UP000257744	498715	9
UP000258124	2202644	5
UP000258445	208895	5
UP000259700	2282412	67
UP000265820	2060479	3
UP000266914	1911436	3
UP000267194	1519397	3
UP000267334	2293285	2
UP000267343	2219114	2
UP000267492	1719048	3
UP000267811	1608125	3
UP000268464	2052899	3
UP000268541	1796018	3
UP000268925	2805939	2
UP000269124	2077296	2
UP000269274	758865	2
UP000269586	2293277	2
UP000269706	1795442	2
UP000269789	1519386	2
UP000269806	1820160	2
UP000269850	1974422	2
UP000269999	2219113	2
UP000270090	2041419	2
UP000270144	1802951	5
UP000270333	2230899	2
UP000270635	2010272	6
UP000270846	1796016	2
UP000270867	2488949	42
UP000271284	1796010	2
UP000271300	1519385	2
UP000271404	1519389	2
UP000271455	2293286	2
UP000271547	1974423	2
UP000271932	1796009	2
UP000272067	1714377	29
UP000272237	2108551	2
UP000272305	1608099	3
UP000272636	1843741	3
UP000272668	2219127	2
UP000272688	2293299	2
UP000273030	2293295	2
UP000273043	2293302	2
UP000273112	2293300	2
UP000273130	2017709	2
UP000273325	1796013	2
UP000273418	1796008	3
UP000273530	2249931	3
UP000273561	2058759	2
UP000273602	2010273	3
UP000273619	1729933	50
UP000273912	1795438	4
UP000274024	2293288	2
UP000274267	2293310	2
UP000274277	2293274	2
UP000274283	1519392	2
UP000274542	1796014	2
UP000274800	2025479	3
UP000274817	2682610	12
UP000274821	1519396	3
UP000274913	1519390	2
UP000274965	1519410	3
UP000275086	1796006	2
UP000275118	2230900	2
UP000275141	2219132	2
UP000275237	2219129	2
UP000275405	2748378	2
UP000275581	2291613	2
UP000275661	2219126	2
UP000275921	2017710	2
UP000275952	2293309	2
UP000276212	2293305	2
UP000276299	1796007	2
UP000276326	1608121	2
UP000276553	1519393	2
UP000276683	1796015	2
UP000277067	1148496	1
UP000277274	2108552	2
UP000277408	2293298	2
UP000277409	1796004	2
UP000277648	2293279	2
UP000277710	2293296	2
UP000277895	1920991	1
UP000278199	1519394	2
UP000278210	2293290	2
UP000278280	1892236	4
UP000278471	2108549	2
UP000278548	2282631	20
UP000278651	1046893	1
UP000278769	2293291	2
UP000278803	2025478	3
UP000279014	1796011	2
UP000279070	2108550	2
UP000279193	1519388	2
UP000279202	1608057	3
UP000279389	2100419	1
UP000279551	2282630	24
UP000279621	2293292	2
UP000279640	2293278	2
UP000280107	2293289	2
UP000280558	1608092	3
UP000280853	2005322	1
UP000281126	2849718	5
UP000281263	1796005	2
UP000281281	2293276	2
UP000281344	1489714	3
UP000281422	2021738	2
UP000281425	2291614	2
UP000281649	2293301	2
UP000281696	2293280	2
UP000281713	2293282	2
UP000282008	2293287	2
UP000282032	2293294	2
UP000282037	2219116	2
UP000282128	1519387	2
UP000282439	1133557	2
UP000286689	1959843	2
UP000286719	1964372	2
UP000286822	1959845	2
UP000287356	1572238	2
UP000287565	1983779	2
UP000287912	2492437	42
UP000288122	1194757	2
UP000288289	1868221	2
UP000288615	2249941	2
UP000288736	1587509	3
UP000288784	2056780	8
UP000288851	2305257	2
UP000288857	1810945	3
UP000288874	2315724	3
UP000288926	2315803	2
UP000288989	1569922	4
UP000288998	2382121	3
UP000289133	2162642	2
UP000289144	2082658	2
UP000289185	2419666	1
UP000289186	2419804	4
UP000289197	1728964	2
UP000289222	2315392	2
UP000289246	2170411	8
UP000289248	2029303	6
UP000289277	2107574	4
UP000289285	2282645	2
UP000289296	2316144	1
UP000289299	2152567	2
UP000289300	2315813	3
UP000289318	2161879	1
UP000289336	2137353	2
UP000289345	2480178	2
UP000289356	2847274	8
UP000289379	2185086	5
UP000289380	2082586	2
UP000289381	2069325	2
UP000289389	2364132	1
UP000289390	2305250	2
UP000289406	2069326	2
UP000289419	1919071	6
UP000289439	2116736	6
UP000289449	2109365	2
UP000289461	2170402	9
UP000289472	2082585	2
UP000289487	2282643	2
UP000289491	1931356	7
UP000289508	2108201	3
UP000289526	2069322	2
UP000289534	2479372	3
UP000289536	2069323	2
UP000289550	2480179	1
UP000289551	2079148	4
UP000289553	1883104	6
UP000289556	1592115	2
UP000289565	1898175	2
UP000289605	1592123	2
UP000289668	2268393	1
UP000289673	1592119	2
UP000289684	1592118	2
UP000289736	2069327	2
UP000289772	1810944	3
UP000289781	1985188	2
UP000289788	2218588	3
UP000289790	2268743	2
UP000289810	2200716	4
UP000289818	2249930	4
UP000289822	1592111	2
UP000289833	2283800	4
UP000289883	2282642	2
UP000289885	1592113	2
UP000289890	2338396	2
UP000289905	2122733	6
UP000289908	2054179	84
UP000289960	2069320	2
UP000290051	1592128	2
UP000290070	2320522	3
UP000290081	2320184	1
UP000290085	2219092	1
UP000290095	2184469	1
UP000290115	2304056	5
UP000290145	2094259	3
UP000290197	1870981	2
UP000290246	2069321	2
UP000290247	1592124	2
UP000290282	2108200	2
UP000290348	1592129	2
UP000290361	2283236	3
UP000290434	2170410	7
UP000290435	1917080	2
UP000290440	2170405	10
UP000290448	2480197	2
UP000290459	2304514	2
UP000290478	2029305	6
UP000290483	1224515	2
UP000290499	2320186	1
UP000290503	2053026	7
UP000290505	2340808	1
UP000290511	2054614	1
UP000290614	2267679	1
UP000290655	2054409	8
UP000290664	2304516	2
UP000290675	2480172	2
UP000290684	2170404	6
UP000290717	2303411	5
UP000290719	2170544	10
UP000290728	2162638	6
UP000290729	2055263	1
UP000290797	2846598	75
UP000290803	2054611	1
UP000290818	2248770	2
UP000290823	2303160	1
UP000290855	2094713	8
UP000290892	2480193	1
UP000290910	2069319	2
UP000290923	2161876	1
UP000290961	1592114	2
UP000291919	2006642	2
UP000292377	2202954	1
UP000292412	1506546	1
UP000294324	1229325	4
UP000294431	2077298	3
UP000296574	439016	2
UP000296994	1921414	6
UP000296997	435487	6
UP000297003	2170057	3
UP000297005	2560810	6
UP000297006	1808970	7
UP000297009	2116452	10
UP000297019	1931095	3
UP000297024	1608061	3
UP000297027	980895	5
UP000297036	2116560	8
UP000297038	1573760	5
UP000297045	2027354	3
UP000297050	2116436	3
UP000297052	2560381	6
UP000297055	2116487	10
UP000297057	1766766	3
UP000297060	875324	6
UP000297063	2116454	9
UP000297072	2056885	4
UP000297076	2116435	3
UP000297077	1405299	4
UP000297078	1923465	4
UP000297081	2116559	8
UP000297086	1980624	6
UP000297089	2560571	95
UP000297094	1859148	3
UP000297095	2562138	43
UP000297097	2562234	9
UP000297101	254946	5
UP000297102	2116604	9
UP000297110	1623310	3
UP000297113	1038082	6
UP000297116	2116489	6
UP000297124	1573761	5
UP000297125	876170	3
UP000297128	909827	6
UP000297131	2560350	6
UP000297133	1162393	3
UP000297145	1692191	3
UP000297153	2057979	4
UP000297157	2756244	7
UP000297162	45767	4
UP000297175	2116451	7
UP000297177	2116488	6
UP000297178	2100727	6
UP000297179	2022321	6
UP000297191	2116453	9
UP000297204	2025352	6
UP000297205	1434720	80
UP000298557	1983771	2
UP000298620	1954248	2
UP000306412	2015551	5
UP000308358	3052444	3
UP000310559	39803	4
UP000315075	1408258	24
UP000316138	1146877	30
UP000316949	1958807	20
UP000316972	190062	36
UP000317189	2039267	30
UP000318744	2589653	41
UP000319764	740971	30
UP000319867	10537	30
UP000319886	1967296	25
UP000320134	2250215	21
UP000320613	130663	36
UP000321483	1653087	1
UP000322276	2601621	45
UP000323261	1580497	25
UP000324833	2601649	45
UP000325018	2604898	6
UP000326259	2653642	46
UP000326313	2510473	95
UP000326328	2590872	48
UP000327119	2653646	42
UP000327402	2559941	23
UP000358020	2601667	46
UP000366725	2056385	2
UP000386070	130370	31
UP000423197	2303490	4
UP000424697	35307	3
UP000426371	1956177	6
UP000427439	1927814	3
UP000434467	2500576	50
UP000464270	112596	38
UP000464574	2698730	45
UP000464689	319748	115
UP000465040	2698729	50
UP000500692	2116345	5
UP000500750	2174956	8
UP000500766	2734354	5
UP000500792	381543	8
UP000500822	1929964	13
UP000500837	629735	4
UP000500842	2509395	4
UP000500844	2656692	2
UP000500934	1608145	3
UP000500976	2171394	5
UP000500983	2003308	6
UP000500992	864696	7
UP000501042	2116443	5
UP000501046	1168550	10
UP000501074	2301728	8
UP000501097	2484986	3
UP000501166	2656682	3
UP000501211	758677	8
UP000501226	2656683	3
UP000501303	1862685	7
UP000501392	629740	4
UP000501393	2832643	6
UP000501413	1844920	2
UP000501480	2021721	10
UP000501498	2052838	3
UP000501531	1629551	3
UP000501750	2656728	2
UP000501771	2051550	6
UP000501815	2559114	4
UP000501840	2559112	4
UP000501848	2656684	3
UP000501906	2040592	5
UP000501924	2547430	7
UP000501937	1945738	1
UP000501948	2080823	5
UP000501954	2601527	29
UP000501963	1608046	3
UP000501998	2495751	7
UP000502003	2569586	16
UP000502016	2283388	6
UP000502018	1905830	7
UP000502099	190065	14
UP000502165	2847099	6
UP000502241	1300978	8
UP000502476	2303390	6
UP000502506	1756186	5
UP000502532	2282485	6
UP000502550	1569259	9
UP000502600	47901	32
UP000502619	2487100	7
UP000502748	2559111	4
UP000502791	2482723	4
UP000502805	38018	3
UP000502830	2559110	4
UP000502922	1272945	7
UP000502925	2116442	5
UP000502964	2116440	6
UP000503009	2656680	3
UP000503019	2847103	5
UP000503029	2116441	5
UP000503031	2364291	8
UP000503137	1807787	1
UP000503188	2656727	2
UP000503360	2152660	7
UP000503365	2510980	3
UP000503383	2048880	7
UP000503388	318842	7
UP000503423	2656679	4
UP000503459	2656685	3
UP000503480	2547431	3
UP000503481	2846448	4
UP000503486	2116385	6
UP000503488	2656673	4
UP000503512	419435	2
UP000503586	2518374	7
UP000503599	2086640	3
UP000509582	2686373	48
UP000516033	100217	100
UP000516039	41678	23
UP000516061	1520006	24
UP000516161	2744002	49
UP000516169	2024003	48
UP000516233	2736256	49
UP000517611	2771350	7
UP000540193	2772018	49
UP000593616	130309	34
UP000593718	2777400	47
UP000593728	2571073	3
UP000593762	2571079	3
UP000593780	487050	3
UP000593917	2777401	49
UP000594046	426791	3
UP000594080	248060	3
UP000595241	2776771	8
UP000595620	10511	30
UP000595783	2777229	43
UP000595892	2777230	47
UP000663553	2812888	40
UP000672003	2801482	25
UP000675972	2786771	4
UP000675973	2786098	3
UP000675996	2786243	3
UP000676000	2786162	4
UP000676015	2786825	4
UP000676016	2586203	2
UP000676022	2786614	3
UP000676026	2604910	2
UP000676042	2786723	3
UP000676048	2786336	3
UP000676062	2786801	3
UP000676067	2697535	3
UP000676068	2786386	3
UP000676071	2786664	3
UP000676086	2786530	3
UP000676088	2116536	5
UP000676119	2786144	4
UP000676137	2786811	4
UP000676154	2786608	4
UP000676162	2786823	3
UP000676163	2786836	4
UP000676167	2692022	3
UP000676174	2786109	4
UP000676187	2684265	5
UP000676193	2786221	3
UP000676196	2786267	3
UP000676204	2602440	10
UP000676205	2786097	3
UP000676214	2786641	3
UP000676216	2786373	4
UP000676224	2786713	3
UP000676239	2847803	5
UP000676241	2786616	3
UP000676268	2720952	2
UP000676270	2016460	2
UP000676278	2786418	4
UP000676311	2786022	3
UP000676327	2786319	3
UP000676341	2739876	2
UP000676348	2786632	3
UP000676352	2786525	3
UP000676353	2576457	2
UP000676365	2448906	6
UP000676376	2692009	4
UP000676390	2786018	3
UP000676394	2786603	4
UP000676398	2786592	3
UP000676402	2786389	3
UP000676407	2786521	3
UP000676410	2293881	5
UP000676414	2786578	4
UP000676424	2786590	3
UP000676426	2720960	2
UP000676429	2786253	3
UP000676438	2786397	4
UP000676441	2849697	1
UP000676448	2786266	3
UP000676461	2786330	3
UP000676489	2786528	3
UP000676490	2786557	3
UP000676496	2786636	3
UP000676507	2786489	4
UP000676514	2786741	3
UP000676523	2731253	4
UP000676541	2786595	3
UP000676543	2786637	3
UP000676545	2786663	3
UP000676569	2729647	32
UP000676581	2786656	4
UP000676584	2786072	4
UP000676612	2786045	4
UP000676614	2786385	4
UP000676620	2786735	3
UP000676633	2786594	3
UP000676635	2786564	3
UP000676640	2786338	4
UP000676641	2786630	3
UP000676647	2786146	4
UP000676662	2786408	3
UP000676663	2786181	3
UP000676664	2786558	3
UP000676675	2786793	4
UP000676677	2786229	3
UP000676681	2786456	4
UP000676683	2785984	3
UP000676705	2786670	3
UP000676737	2485870	3
UP000676754	2786189	4
UP000676771	2786346	3
UP000676774	2786504	4
UP000676784	2786241	3
UP000676808	2786113	4
UP000676820	2786206	3
UP000676830	2786451	4
UP000676836	2584394	2
UP000676842	2786553	3
UP000676847	2496585	3
UP000676848	2786034	3
UP000676852	2786806	3
UP000676855	2786090	4
UP000676859	2786464	3
UP000676863	2786414	4
UP000676864	2786681	5
UP000676868	2786807	3
UP000676869	2786725	3
UP000676877	2786747	3
UP000676878	2786006	3
UP000676882	2786009	3
UP000676884	36772	8
UP000676893	2786546	3
UP000676895	2786452	4
UP000676897	2786016	3
UP000676913	2786051	3
UP000676914	2786210	3
UP000676915	2786802	3
UP000676927	2786086	3
UP000676931	2786050	3
UP000676932	2786680	4
UP000676939	2786466	4
UP000676940	2604907	2
UP000676963	2786048	4
UP000676965	2786245	3
UP000676968	2786657	3
UP000676982	2786565	3
UP000676984	2786691	3
UP000676985	2705538	2
UP000676991	2786769	4
UP000676992	2786121	3
UP000677007	2786601	3
UP000677015	2786787	4
UP000677019	2786676	3
UP000677041	2786678	3
UP000677048	2786341	3
UP000677053	2786635	3
UP000677060	2786427	4
UP000677067	2786484	3
UP000677071	2585076	2
UP000677084	2116490	3
UP000677102	2786199	3
UP000677105	2786568	3
UP000677106	2786248	3
UP000677116	2576454	2
UP000677121	2786474	3
UP000677127	2786067	3
UP000677169	2786465	3
UP000677185	2786114	3
UP000677188	2786299	4
UP000677197	2786369	3
UP000677210	2786040	3
UP000677217	2786531	3
UP000677238	2786220	3
UP000677241	2786600	3
UP000677252	2786839	4
UP000677261	2786360	3
UP000677266	742819	6
UP000677267	2582878	2
UP000677268	2786520	3
UP000677271	2584403	2
UP000677277	2786032	3
UP000677280	3051403	5
UP000677283	2786171	4
UP000677284	2713499	8
UP000677292	2786700	3
UP000677295	2786797	3
UP000677296	2786117	3
UP000677299	2786584	3
UP000677304	2786104	3
UP000677313	2786488	5
UP000677316	2786281	3
UP000677320	2786249	4
UP000677325	2786588	3
UP000677330	2786579	4
UP000677336	2786486	4
UP000677349	2786420	5
UP000677360	2786821	5
UP000677375	2786724	3
UP000677392	2786493	3
UP000677403	2786640	4
UP000677407	2249313	76
UP000677415	2518602	3
UP000677434	2786665	3
UP000677437	2786605	3
UP000677440	2786482	3
UP000677443	2721273	6
UP000677446	2786395	3
UP000677454	2786170	5
UP000677455	2786310	4
UP000677458	2786239	3
UP000677460	2306887	3
UP000677463	2786282	5
UP000677468	2786610	3
UP000677469	2786371	3
UP000677485	2786845	4
UP000677497	2786300	3
UP000677524	2786805	3
UP000677525	2786231	3
UP000677530	2714170	3
UP000677534	2786370	3
UP000677543	2786187	3
UP000677553	2065036	4
UP000677555	2586206	2
UP000677569	2786015	3
UP000677583	2786736	3
UP000677589	2732257	2
UP000677600	2847049	3
UP000677629	2560016	5
UP000677639	2786617	3
UP000677652	2786148	4
UP000677658	2786131	3
UP000677661	2786313	4
UP000677666	2786491	4
UP000677669	2786719	3
UP000677685	2786561	3
UP000677697	2786431	3
UP000677722	2786606	3
UP000677729	2786514	3
UP000677738	3118717	4
UP000677748	2786781	4
UP000677761	2786737	3
UP000677767	2786634	3
UP000677770	2786473	4
UP000677779	2786166	3
UP000677786	2584397	2
UP000677787	2786581	3
UP000677789	2786660	3
UP000677796	2586207	2
UP000677801	2786703	4
UP000677806	2786103	4
UP000677808	2786716	3
UP000677815	2786004	3
UP000677832	2786585	3
UP000677837	2786168	3
UP000677841	2785994	3
UP000677845	2786345	3
UP000677855	2563012	7
UP000677857	2786363	4
UP000677858	2079605	5
UP000677873	2786219	3
UP000677874	2786749	3
UP000677877	2786503	3
UP000677887	2786428	3
UP000677890	2602116	4
UP000677895	2786139	4
UP000677903	2786688	3
UP000677907	2596881	3
UP000677914	2786008	4
UP000677936	2786666	4
UP000677937	2786692	4
UP000677938	2786808	4
UP000677945	2786308	4
UP000677961	2786463	3
UP000677962	2786272	4
UP000677963	2786834	4
UP000677966	2786054	4
UP000677969	2767010	4
UP000677971	2786071	5
UP000677976	2738555	6
UP000677989	2786650	3
UP000677998	2785992	3
UP000678011	2079603	11
UP000678012	2786434	3
UP000678025	2786575	3
UP000678030	2786436	4
UP000678031	2786294	3
UP000678032	2786597	3
UP000678039	2786699	3
UP000678046	2786024	4
UP000678071	2584399	2
UP000678081	2786003	4
UP000678092	2746371	5
UP000678105	2786513	3
UP000678107	2786417	4
UP000678111	2786800	4
UP000678128	2786212	3
UP000678133	2786552	3
UP000678135	2786002	3
UP000678146	1608143	3
UP000678168	2786830	3
UP000678184	2786689	4
UP000678189	2786796	3
UP000678190	2786011	3
UP000678203	2786260	3
UP000678211	2786837	4
UP000678215	2755152	3
UP000678217	2786390	3
UP000678229	2079521	6
UP000678233	2716316	5
UP000678248	2786696	3
UP000678251	2786497	3
UP000678269	2785997	3
UP000678271	2786320	5
UP000678273	2786410	3
UP000678278	2786063	5
UP000678279	2786150	3
UP000678293	2586201	2
UP000678302	2786092	4
UP000678303	2786159	4
UP000678309	2786295	3
UP000678319	2786683	4
UP000678339	2786325	3
UP000678351	2786550	3
UP000678384	2786604	3
UP000678403	2786141	3
UP000678404	2786196	3
UP000678414	2786164	3
UP000678424	2786668	4
UP000678428	2786750	3
UP000678437	2592415	2
UP000678439	2785991	3
UP000678445	2786038	3
UP000678448	2786278	4
UP000678450	2786012	3
UP000678452	2584396	2
UP000678453	2079604	4
UP000678475	2786571	3
UP000678483	2692018	2
UP000678492	2786461	3
UP000678512	2786848	3
UP000678515	2786106	3
UP000678526	2786589	3
UP000678528	2786213	4
UP000678539	2786447	4
UP000678544	2576944	3
UP000678554	2786446	3
UP000678576	2786292	5
UP000678584	2582941	2
UP000678591	2786470	3
UP000678605	2786223	3
UP000678611	2786270	3
UP000678624	2786773	3
UP000678631	2786816	4
UP000678637	2786354	3
UP000678638	2786178	3
UP000678642	2785988	3
UP000678659	2786126	3
UP000678671	2786349	3
UP000678673	2786615	4
UP000678674	2786076	4
UP000678684	2786624	3
UP000678702	2786081	3
UP000678708	2786105	4
UP000678719	2786748	3
UP000678722	2786222	3
UP000678724	2786001	3
UP000678741	2291942	1
UP000678752	2786101	4
UP000678758	2786130	3
UP000678765	2586200	2
UP000678769	2786353	4
UP000678772	2786062	3
UP000678790	2786574	3
UP000678804	2786059	4
UP000678807	2582874	2
UP000678808	2786198	4
UP000678809	2786393	3
UP000678826	2786675	3
UP000678853	2786563	3
UP000678861	2786186	4
UP000678873	2786569	3
UP000678875	2786422	4
UP000678880	2584388	2
UP000678893	2786596	3
UP000678902	2786652	3
UP000678905	2786215	4
UP000678908	2786709	3
UP000678927	2786307	3
UP000678929	2738469	6
UP000678932	2802539	3
UP000678973	2786331	5
UP000678985	2786049	3
UP000678999	2786138	4
UP000679011	2584395	2
UP000679016	2786511	3
UP000679026	2786039	3
UP000679027	2786548	3
UP000679033	2786789	4
UP000679045	2721749	6
UP000679056	2786655	3
UP000679064	2786411	3
UP000679068	2786380	3
UP000679073	2786255	4
UP000679077	2786140	3
UP000679082	2786244	4
UP000679086	2786715	3
UP000679093	2786317	4
UP000679096	2847805	5
UP000679099	2661631	8
UP000679105	2786416	3
UP000679124	2654367	6
UP000679137	2786287	3
UP000679139	2786080	4
UP000679146	2786316	3
UP000679153	2786383	3
UP000679196	2786667	4
UP000679200	2786208	3
UP000679205	2786296	4
UP000679210	2786829	4
UP000679257	2786238	3
UP000679279	2786501	3
UP000679308	2786654	3
UP000679321	2786727	3
UP000679324	2786415	3
UP000679328	2786583	4
UP000679345	2751480	1
UP000679356	2786200	3
UP000679363	2786347	3
UP000679364	2786246	6
UP000679374	2786333	4
UP000679383	2786661	4
UP000679401	2786659	3
UP000679404	2786099	4
UP000679409	2786254	3
UP000679415	2786618	4
UP000679443	2786669	3
UP000679447	2315722	5
UP000679454	2786613	3
UP000679468	2786412	3
UP000679471	2786780	3
UP000679481	2786586	3
UP000679495	2786033	3
UP000679502	2598785	2
UP000679508	2786477	3
UP000679520	2786306	4
UP000679530	2786424	4
UP000679563	2786176	4
UP000679564	2786031	3
UP000679566	2786544	3
UP000679568	2786684	3
UP000679578	2786217	3
UP000679593	2528410	3
UP000679595	2786156	3
UP000679600	2786388	5
UP000679609	2786505	3
UP000679611	2547963	3
UP000679620	2786541	4
UP000679625	2786478	3
UP000679637	2786429	3
UP000679643	2786419	3
UP000679645	2786256	4
UP000679649	2786560	3
UP000679653	2786077	5
UP000679667	2786425	3
UP000679677	1980160	8
UP000679708	2786154	4
UP000679711	2786056	5
UP000679716	2786469	3
UP000679729	2786194	3
UP000679731	2786752	3
UP000679732	2786276	3
UP000679734	2576456	2
UP000679735	2786145	3
UP000679746	2786387	3
UP000679763	2786161	4
UP000679767	2052651	71
UP000679776	2849726	4
UP000679777	2786566	3
UP000679782	1526514	2
UP000679791	2786124	4
UP000679792	2786620	3
UP000679823	2786274	3
UP000679829	2785995	4
UP000679844	2786357	3
UP000679845	2676436	9
UP000679847	2786382	3
UP000679851	2786091	3
UP000679852	2786203	3
UP000679853	2786790	3
UP000679859	2786476	3
UP000679879	2786559	3
UP000679907	2786013	4
UP000679914	2786021	3
UP000679939	2786290	4
UP000679954	2786844	3
UP000679957	2786756	3
UP000679980	2786729	3
UP000679982	2786810	3
UP000679998	2786518	3
UP000679999	2786607	3
UP000680003	2786019	3
UP000680004	2789450	5
UP000680009	2786342	4
UP000680029	2786257	3
UP000680031	2786430	3
UP000680061	2786030	4
UP000680063	2786060	4
UP000680064	2059308	3
UP000680068	2786362	4
UP000680070	2786286	3
UP000680079	2786115	4
UP000680083	1923460	6
UP000680090	2786285	3
UP000680092	2786467	3
UP000680100	2786453	3
UP000680103	2786593	3
UP000680107	2786562	3
UP000680112	2786598	3
UP000680121	2786378	4
UP000680136	2786582	3
UP000680137	2749458	1
UP000680138	2786517	3
UP000680139	2786761	4
UP000680149	2786027	3
UP000680182	2786226	3
UP000680189	2786301	3
UP000680190	2786527	3
UP000680197	2786819	4
UP000680198	2786120	3
UP000680204	2786753	3
UP000680208	2054615	2
UP000680216	2786163	3
UP000680223	2786462	3
UP000680226	2786705	3
UP000680231	2553070	4
UP000680232	2584382	2
UP000680239	2786685	3
UP000680262	2786537	3
UP000680269	2786035	3
UP000680270	2785983	3
UP000680277	2786275	3
UP000680285	2510428	5
UP000680293	2786100	4
UP000680303	2786626	3
UP000680307	2786379	4
UP000680320	2786506	4
UP000680346	2786775	3
UP000680366	2601258	3
UP000680382	2731270	3
UP000680384	2786843	3
UP000680390	2786475	3
UP000680399	2584392	2
UP000680417	1977074	3
UP000680419	2767007	4
UP000680420	2786543	3
UP000680425	2786674	3
UP000680432	2786784	3
UP000680433	2786053	3
UP000680434	2786403	4
UP000680438	2720951	2
UP000680443	2786644	3
UP000680444	2786687	3
UP000680447	2786258	3
UP000680467	2786334	4
UP000680477	2786224	3
UP000680481	2786188	4
UP000680488	2786405	4
UP000680490	2596788	7
UP000680494	2786840	3
UP000680498	2786764	3
UP000680501	2786372	4
UP000680508	1417304	6
UP000680511	2786730	3
UP000680521	2786457	3
UP000680532	2786192	3
UP000680538	2786822	3
UP000680549	2847181	3
UP000680550	2786367	3
UP000680552	2786776	3
UP000680568	2786242	3
UP000680594	2786326	3
UP000680597	2786794	4
UP000680617	2785987	3
UP000680642	2786647	3
UP000680645	2786523	3
UP000680651	2786123	3
UP000680652	2786112	3
UP000680657	2786010	3
UP000680660	2786799	3
UP000680663	2786293	3
UP000680667	2786201	4
UP000680672	2786450	3
UP000680673	2786536	3
UP000680674	2786602	3
UP000680682	2786265	3
UP000680689	2786545	3
UP000680691	2786786	4
UP000680695	2786580	3
UP000680703	2786850	3
UP000680717	2786234	4
UP000680721	2584380	2
UP000680727	2607734	3
UP000680733	2786044	3
UP000680753	2786448	3
UP000680770	2576460	2
UP000680771	2786649	3
UP000680772	2786812	3
UP000680790	2786404	3
UP000680818	2786591	3
UP000680841	2718722	1
UP000680852	2786151	3
UP000680858	2786083	3
UP000680864	2786228	3
UP000680871	2786570	3
UP000680872	2786502	3
UP000680881	2786309	4
UP000680886	2786479	3
UP000680894	2786648	4
UP000680897	2786809	3
UP000680898	2786261	3
UP000680902	2786312	3
UP000680903	2786529	4
UP000680923	2786487	3
UP000680925	2786815	3
UP000680930	2786043	3
UP000680935	2844088	3
UP000680949	2786454	3
UP000680955	2786739	3
UP000680960	2786759	3
UP000680966	2786766	4
UP000680985	2786645	3
UP000681016	2786646	4
UP000681045	2786599	3
UP000681055	2786783	4
UP000681062	2786344	3
UP000681069	2786458	3
UP000681076	2786173	3
UP000681077	2786262	4
UP000681091	2786237	4
UP000681111	2786407	3
UP000681112	2786066	3
UP000681116	2786158	3
UP000681128	2786638	3
UP000681139	2786374	3
UP000681145	2786490	3
UP000681151	2786318	4
UP000681166	2786524	3
UP000681170	2786073	5
UP000681171	2786143	4
UP000681172	2586204	2
UP000681186	2786155	4
UP000681197	2786671	4
UP000681205	2786135	4
UP000681212	2786760	3
UP000681229	2786755	3
UP000681231	2786179	3
UP000681235	2786754	3
UP000681248	2786540	4
UP000681258	2786757	3
UP000681264	2785998	3
UP000681281	2786662	3
UP000681291	2786335	4
UP000681297	2786174	5
UP000681300	2786116	3
UP000681307	2786264	3
UP000681311	2786005	4
UP000681330	2786311	3
UP000681334	2786824	3
UP000681360	2786721	3
UP000681373	2786542	4
UP000681375	2786340	3
UP000681383	2786758	3
UP000681388	2786232	3
UP000681395	2786572	3
UP000681405	2786677	3
UP000681431	2786133	4
UP000681433	2786765	3
UP000681437	2847811	5
UP000681440	2786622	4
UP000681448	2721854	4
UP000681460	2786413	3
UP000681464	2786516	4
UP000681470	2786846	3
UP000681478	2785993	4
UP000681488	2786653	3
UP000681490	2786455	4
UP000681494	2786381	4
UP000681496	2582871	2
UP000681501	1383888	4
UP000681533	2786631	3
UP000681556	2786251	4
UP000681572	2786804	3
UP000681578	2786437	4
UP000681583	2586645	5
UP000681585	2786014	3
UP000681590	2847825	5
UP000681598	2786433	3
UP000681599	2786694	4
UP000681618	2704630	5
UP000681623	2786175	3
UP000681637	2786712	3
UP000681651	2786480	4
UP000681666	2786297	3
UP000681667	3052538	3
UP000681670	2786263	3
UP000681695	2847798	3
UP000681704	2786157	4
UP000681706	2786441	3
UP000681710	2786236	4
UP000681723	2786384	4
UP000681725	2786549	3
UP000681751	2720945	2
