Proteome Id	Organism Id	Protein count
UP000006372	10583	8
UP000006542	268960	7
UP000006572	222448	7
UP000006715	652839	7
UP000006885	10816	7
UP000006923	650137	2
UP000006934	446561	5
UP000007018	654915	7
UP000007049	291175	3
UP000007081	39720	6
UP000007206	453116	5
UP000007217	11644	5
UP000007218	12240	3
UP000007232	11208	8
UP000007248	11003	3
UP000007249	644440	3
UP000007250	311176	3
UP000007253	10884	11
UP000007311	302272	7
UP000007439	516993	3
UP000007453	57119	4
UP000007541	696863	5
UP000007544	11278	5
UP000007545	12043	7
UP000007547	66366	6
UP000007621	142661	2
UP000007661	85617	3
UP000007665	1671798	8
UP000007671	28311	8
UP000007711	10587	6
UP000007896	268780	4
UP000008033	196398	4
UP000008110	261996	2
UP000008164	3052304	4
UP000008286	11553	8
UP000008470	10783	4
UP000008479	10636	5
UP000008649	103929	5
UP000008699	645098	8
UP000008763	53182	5
UP000008768	796210	4
UP000008771	928303	9
UP000008926	453115	5
UP000009109	333761	9
UP000009116	10585	9
UP000009151	10829	7
UP000009253	10617	8
UP000009266	3052324	4
UP000009268	3052331	6
UP000009294	10299	73
UP000029744	1554479	1
UP000029746	1554480	1
UP000029749	980964	1
UP000029751	1560035	1
UP000095862	249584	5
UP000096247	680693	8
UP000107373	540995	9
UP000109975	1049605	10
UP000122555	1587847	16
UP000125433	300749	8
UP000131152	93838	13
UP000134051	1891747	5
UP000134713	12721	9
UP000135044	452475	6
UP000140113	689403	3
UP000140701	1249208	8
UP000141821	12663	6
UP000146794	742918	2
UP000150093	1074206	6
UP000153625	1699095	7
UP000153939	440266	4
UP000155347	136187	10
UP000156119	576904	6
UP000157732	57667	9
UP000159396	10407	7
UP000159700	540992	8
UP000166289	914672	3
UP000170142	11597	3
UP000185273	2491661	7
UP000203242	11661	7
UP000203656	2870351	1
UP000203767	10820	3
UP000206680	284218	9
UP000240759	1982660	1
UP000242267	11674	7
UP000243666	12450	1
UP000246263	51033	6
UP000289225	2850049	4
UP000463865	556926	1
UP001157368	2905567	1
UP001234604	2722917	1
UP001246584	2905500	1
UP001250384	3052501	1
UP000000280	12251	1
UP000000344	10254	218
UP000000350	649893	2
UP000000351	11008	2
UP000000358	12322	4
UP000000372	10867	9
UP000000373	10869	8
UP000000394	651357	6
UP000000398	686946	2
UP000000399	652668	4
UP000000403	239720	1
UP000000404	693992	1
UP000000405	650131	1
UP000000407	1002921	1
UP000000408	650136	1
UP000000411	650488	4
UP000000469	10576	8
UP000000470	85708	3
UP000000477	12181	7
UP000000587	10383	75
UP000000624	10498	159
UP000000677	12168	6
UP000000678	651356	5
UP000000728	12027	4
UP000000825	686948	3
UP000000831	652108	2
UP000000840	10760	57
UP000000938	295027	168
UP000000942	868565	85
UP000001099	651355	9
UP000001100	652670	9
UP000001104	186772	1
UP000001105	186769	1
UP000001189	31520	75
UP000001461	1005059	4
UP000001663	31770	6
UP000001666	12147	4
UP000001668	652837	7
UP000001669	652939	6
UP000001670	686943	4
UP000001674	648234	12
UP000001711	2681611	66
UP000001832	2789016	4
UP000001833	10868	10
UP000001874	10315	74
UP000002111	1977402	9
UP000002126	12018	4
UP000002137	10849	10
UP000002138	12023	4
UP000002143	10658	30
UP000002239	142804	13
UP000002246	10655	4
UP000002321	223303	6
UP000002323	123735	6
UP000002325	59380	7
UP000002326	11307	6
UP000002339	645099	7
UP000002471	652954	9
UP000002501	10648	6
UP000002602	10338	69
UP000002610	2928686	13
UP000002611	2681603	56
UP000004993	28282	27
UP000005623	11723	9
UP000006367	10589	11
UP000006541	10824	5
UP000006543	291607	8
UP000006676	1980426	4
UP000006677	36394	7
UP000006705	652674	3
UP000006709	652111	4
UP000006711	37206	3
UP000006722	2169986	6
UP000006840	670426	71
