organism_id	fraction_disorder_per_protein	fraction_disorder_total_proteome
UP000000344	0.15099	0.08388
UP000000350	0.07769	0.06731
UP000000351	0.0	0.0
UP000000358	0.13994	0.08494
UP000000372	0.28564	0.18028
UP000000373	0.27147	0.23781
UP000000394	0.40736	0.22124
UP000000395	0.09294	0.09294
UP000000398	0.29842	0.20746
UP000000400	0.5715	0.29003
UP000000403	0.14258	0.14258
UP000000405	0.1433	0.1433
UP000000407	0.06331	0.06331
UP000000408	0.07961	0.07961
UP000000411	0.11882	0.08033
UP000000469	0.36858	0.36107
UP000000470	0.11099	0.14561
UP000000477	0.33074	0.17495
UP000000519	0.22423	0.23753
UP000000587	0.17735	0.13629
UP000000624	0.20225	0.09762
UP000000677	0.19668	0.09421
UP000000678	0.18593	0.10631
UP000000728	0.00982	0.00873
UP000000825	0.11191	0.07649
UP000000831	0.25885	0.29641
UP000000840	0.24437	0.11733
UP000000938	0.34243	0.30793
UP000000942	0.22009	0.19998
UP000001099	0.05497	0.07402
UP000001100	0.23978	0.13097
UP000001104	0.10977	0.10977
UP000001105	0.10012	0.10012
UP000001189	0.31874	0.2674
UP000001461	0.2482	0.27564
UP000001663	0.23055	0.22069
UP000001666	0.16272	0.10402
UP000001668	0.13114	0.08282
UP000001669	0.16907	0.10373
UP000001670	0.20231	0.25182
UP000001674	0.17335	0.0978
UP000001711	0.14838	0.1053
UP000001832	0.03009	0.03472
UP000001833	0.38074	0.20717
UP000001874	0.33422	0.28612
UP000002060	0.13405	0.09196
UP000002126	0.0	0.0
UP000002137	0.26953	0.18092
UP000002138	0.02083	0.03885
UP000002143	0.24321	0.19494
UP000002239	0.16184	0.08571
UP000002246	0.12948	0.11378
UP000002321	0.33595	0.20911
UP000002323	0.30276	0.22222
UP000002325	0.29841	0.14922
UP000002326	0.14702	0.10388
UP000002339	0.30383	0.22678
UP000002471	0.2395	0.21049
UP000002501	0.38576	0.33825
UP000002602	0.22138	0.18761
UP000002610	0.12624	0.04282
UP000002611	0.10354	0.09991
UP000004993	0.27649	0.2299
UP000006367	0.40962	0.42206
UP000006541	0.32772	0.31693
UP000006542	0.38427	0.25334
UP000006543	0.15094	0.12978
UP000006572	0.40448	0.30163
UP000006581	0.11128	0.064
UP000006676	0.093	0.05308
UP000006677	0.04436	0.0495
UP000006705	0.4262	0.14795
UP000006709	0.43023	0.21178
UP000006721	0.36032	0.07825
UP000006722	0.44445	0.26898
UP000006840	0.23402	0.23648
UP000006933	0.22067	0.13509
UP000007019	0.52522	0.2257
UP000007022	0.27504	0.24055
UP000007025	0.18204	0.15175
UP000007068	0.28629	0.18592
UP000007212	0.09222	0.08448
UP000007219	0.22479	0.08
UP000007225	0.4839	0.19011
UP000007252	0.15008	0.09695
UP000007399	0.28584	0.17055
UP000007403	0.58836	0.25019
UP000007528	0.57089	0.38677
UP000007540	0.12442	0.09394
UP000007546	0.24723	0.14798
UP000007611	0.45524	0.25596
UP000007627	0.05437	0.04837
UP000007629	0.16747	0.10674
UP000007639	0.29849	0.28567
UP000007662	0.16573	0.09335
UP000007663	0.10133	0.0486
UP000007664	0.11548	0.0551
UP000007666	0.42758	0.45408
UP000007670	0.43147	0.39761
UP000007671	0.38938	0.37558
UP000007677	0.37431	0.36168
UP000007784	0.38347	0.30556
UP000007795	0.26752	0.20724
UP000008169	0.51598	0.39721
UP000008222	0.25423	0.28205
UP000008226	0.44063	0.40231
UP000008230	0.43168	0.41201
UP000008232	0.32594	0.35474
UP000008246	0.33294	0.24638
UP000008264	0.00583	0.01383
UP000008267	0.33308	0.23883
UP000008292	0.16716	0.11427
UP000008294	0.21388	0.21421
UP000008446	0.28765	0.26458
UP000008447	0.16475	0.0685
UP000008448	0.38918	0.08991
UP000008472	0.31888	0.34269
UP000008476	0.20581	0.15326
UP000008477	0.16674	0.20019
UP000008504	0.21365	0.18509
UP000008592	0.13435	0.07804
UP000008593	0.13392	0.08773
UP000008609	0.11734	0.06092
UP000008623	0.13525	0.11298
UP000008651	0.14594	0.09909
UP000008654	0.2242	0.14932
UP000008665	0.1193	0.1097
UP000008687	0.25157	0.15732
UP000008689	0.26654	0.14365
UP000008769	0.3353	0.27863
UP000008772	0.14826	0.10675
UP000008788	0.37545	0.31778
UP000008789	0.50746	0.46286
UP000008791	0.42089	0.38617
UP000008865	0.4767	0.24959
UP000008874	0.31231	0.21387
UP000008973	0.02386	0.0231
UP000008992	0.31994	0.28665
UP000009087	0.06597	0.04264
UP000009090	0.20787	0.20425
UP000009098	0.31514	0.32226
UP000009104	0.31992	0.3545
UP000009105	0.22254	0.26154
UP000009111	0.39983	0.3955
UP000009112	0.30365	0.31145
UP000009113	0.25504	0.33497
UP000009115	0.40233	0.34609
UP000009123	0.35735	0.35049
UP000009126	0.38482	0.42741
UP000009155	0.37207	0.39321
UP000009185	0.4615	0.33141
UP000009190	0.20842	0.13882
UP000009252	0.46934	0.42766
UP000009270	0.1799	0.15925
UP000009295	0.25277	0.22608
UP000029743	0.141	0.141
UP000029745	0.05907	0.05907
UP000029747	0.08	0.08
UP000029748	0.1986	0.1986
UP000029750	0.08037	0.08037
UP000029754	0.09099	0.09099
UP000029755	0.04683	0.04683
UP000029768	0.21508	0.11427
UP000029770	0.25729	0.14437
UP000029771	0.21393	0.12784
UP000052080	0.5048	0.42755
