organism_id	fraction_disorder_per_protein	fraction_disorder_total_proteome
UP000208101	0.10664	0.10871
UP000208102	0.08911	0.0852
UP000208105	0.0	0.0
UP000208109	0.18679	0.12179
UP000208110	0.10976	0.10854
UP000208114	0.16208	0.06058
UP000208115	0.09768	0.07317
UP000208117	0.15766	0.15401
UP000214350	0.0	0.0
UP000214351	0.05462	0.03447
UP000214360	0.2715	0.1752
UP000214364	0.21252	0.17072
UP000214367	0.0886	0.06332
UP000214373	0.25082	0.2524
UP000214440	0.04416	0.02166
UP000214460	0.03688	0.05654
UP000214656	0.2352	0.23194
UP000214710	0.31878	0.31052
UP000214863	0.2403	0.20818
UP000217288	0.32665	0.30593
UP000217307	0.2567	0.32186
UP000217329	0.24737	0.23831
UP000217335	0.10443	0.06694
UP000217350	0.12578	0.08343
UP000217360	0.15946	0.15908
UP000217400	0.26992	0.1381
UP000217428	0.12393	0.07844
UP000217429	0.38355	0.11313
UP000217718	0.11618	0.07663
UP000217948	0.24972	0.23001
UP000218061	0.2133	0.14374
UP000218088	0.08948	0.10237
UP000218283	0.11247	0.07893
UP000218499	0.17603	0.04494
UP000218501	0.19327	0.13586
UP000222018	0.1601	0.07995
UP000222200	0.10204	0.05968
UP000222876	0.19207	0.13982
UP000223018	0.21808	0.09242
UP000223201	0.14979	0.07671
UP000224375	0.16708	0.08249
UP000225077	0.17105	0.16315
UP000232280	0.05086	0.04845
UP000232403	0.30394	0.1946
UP000232409	0.50924	0.46533
UP000232410	0.29832	0.20115
UP000232420	0.19571	0.10736
UP000232446	0.37214	0.29388
UP000232451	0.12588	0.16175
UP000232482	0.01201	0.00819
UP000232486	0.29463	0.1859
UP000232499	0.3607	0.26407
UP000232516	0.36083	0.26316
UP000232538	0.31112	0.22913
UP000232547	0.35002	0.2712
UP000232560	0.67049	0.45424
UP000232569	0.02276	0.021
UP000232604	0.6833	0.59479
UP000232606	0.31068	0.25418
UP000232607	0.40054	0.29863
UP000232642	0.18969	0.08898
UP000232647	0.02196	0.01996
UP000232666	0.0	0.0
UP000232667	0.72061	0.51371
UP000232671	0.56531	0.28944
UP000232683	0.09978	0.08936
UP000232714	0.17125	0.09365
UP000232735	0.0468	0.11943
UP000232736	0.86676	0.69949
UP000232765	0.40865	0.29946
UP000232767	0.28586	0.07096
UP000232768	0.52692	0.3727
UP000232770	0.06011	0.06851
UP000232775	0.36195	0.27907
UP000232776	0.24908	0.15156
UP000232812	0.34232	0.25186
UP000232814	0.14632	0.16084
UP000232815	0.30846	0.36479
UP000232847	0.51544	0.44154
UP000232856	0.35867	0.30536
UP000232873	0.40675	0.29764
UP000232920	0.51725	0.50933
UP000232934	0.14255	0.18039
UP000232961	0.3813	0.26263
UP000233833	0.17907	0.08127
UP000234149	0.04955	0.02559
UP000234957	0.16516	0.11829
UP000235149	0.36068	0.23229
UP000235595	0.3042	0.15275
UP000235618	0.28282	0.2213
UP000240293	0.37202	0.28862
UP000240298	0.0	0.0
UP000240350	0.15434	0.07842
UP000240454	0.34296	0.22723
UP000240484	0.10054	0.0943
UP000240529	0.18204	0.16003
UP000240573	0.29927	0.21649
UP000240599	0.19184	0.13697
UP000240635	0.3755	0.3071
UP000240642	0.17315	0.09078
UP000240680	0.05769	0.05376
UP000240695	0.02475	0.02279
UP000240719	0.17803	0.08155
UP000240736	0.07615	0.0717
UP000240882	0.0	0.0
UP000240909	0.09517	0.08668
UP000240959	0.15513	0.08088
UP000240995	0.0	0.0
UP000241126	0.10649	0.06136
UP000241210	0.35951	0.22791
UP000241349	0.14824	0.16994
UP000241374	0.30087	0.21668
UP000241397	0.30635	0.17189
UP000241402	0.37155	0.24654
UP000241605	0.48495	0.45728
UP000241846	0.43513	0.31826
UP000241875	0.19468	0.10674
UP000241876	0.20321	0.09075
UP000242122	0.62638	0.5741
UP000242124	0.03563	0.06802
UP000242132	0.03476	0.03476
UP000242136	0.0931	0.05788
UP000242179	0.24895	0.20252
UP000242203	0.13299	0.07182
UP000242220	0.11362	0.11362
UP000242262	0.08665	0.08665
UP000242266	0.06422	0.06554
UP000242290	0.11097	0.08304
UP000242303	0.16381	0.06766
UP000242304	0.16948	0.16806
UP000242334	0.1589	0.16988
UP000242340	0.0467	0.0467
UP000242387	0.23504	0.0952
UP000242389	0.29381	0.10287
UP000242451	0.06533	0.06533
UP000242475	0.03162	0.03162
UP000242476	0.09414	0.06763
UP000242503	0.56526	0.61422
UP000242533	0.10634	0.02343
UP000242534	0.04029	0.04029
UP000242538	0.12807	0.12807
UP000242541	0.17474	0.10638
UP000242543	0.14797	0.14797
UP000242569	0.06572	0.06572
UP000242585	0.16361	0.16361
UP000242589	0.08638	0.05726
UP000242608	0.27959	0.15075
UP000242634	0.14159	0.08413
UP000242693	0.21385	0.21192
UP000242720	0.07654	0.07307
UP000242730	0.05421	0.05421
UP000242799	0.24313	0.2213
UP000242808	0.09403	0.09403
UP000242829	0.40632	0.28897
UP000242934	0.17978	0.12456
UP000242940	0.28293	0.30362
UP000242946	0.04116	0.04116
UP000242952	0.10137	0.09471
UP000242982	0.37247	0.26767
UP000243000	0.43442	0.2
UP000243029	0.01775	0.02787
UP000243046	0.3056	0.32707
UP000243060	0.12415	0.11409
UP000243061	0.23551	0.22194
UP000243094	0.57055	0.48192
UP000243108	0.09777	0.10653
UP000243128	0.07711	0.07175
UP000243160	0.25106	0.22414
UP000243195	0.14971	0.14971
UP000243198	0.02622	0.02622
UP000243208	0.08645	0.08645
UP000243210	0.12598	0.12598
UP000243266	0.08294	0.0705
UP000243281	0.0583	0.0583
UP000243289	0.02821	0.02821
UP000243295	0.4018	0.33112
UP000243307	0.05143	0.05143
UP000243323	0.04782	0.04782
UP000243434	0.13701	0.12522
UP000243452	0.11775	0.11775
UP000243464	0.16284	0.16284
UP000243569	0.29922	0.33862
UP000243621	0.11936	0.10598
UP000243664	0.44393	0.44393
UP000243671	0.0932	0.0932
UP000243672	0.13764	0.12932
UP000243694	0.2476	0.13499
UP000243767	0.20979	0.15665
UP000243827	0.07282	0.06734
UP000243831	0.24529	0.20555
UP000243911	0.16545	0.16903
UP000243918	0.27073	0.21752
UP000243941	0.17591	0.12222
UP000243949	0.29451	0.29451
UP000246166	0.19133	0.13796
UP000246564	0.40841	0.11111
UP000246759	0.34613	0.40383
UP000247033	0.07641	0.0634
UP000247069	0.11788	0.06241
UP000247151	0.16296	0.08744
UP000248626	0.00441	0.00726
UP000248937	0.09771	0.09771
UP000248957	0.08881	0.05384
UP000248962	0.01471	0.01753
UP000249117	0.0	0.0
UP000249128	0.37693	0.263
UP000249273	0.14435	0.08829
UP000249952	0.15559	0.08405
UP000250118	0.1328	0.14011
UP000250142	0.26696	0.26471
UP000250151	0.16933	0.17393
UP000250199	0.08606	0.08606
UP000250247	0.14414	0.05938
UP000252591	0.19022	0.09808
UP000256051	0.42857	0.33176
UP000256499	0.18966	0.14977
UP000257744	0.33721	0.19321
UP000259700	0.14627	0.08505
UP000260469	0.2759	0.1901
UP000265820	0.08783	0.05077
UP000267194	0.06302	0.09091
UP000267334	0.20251	0.19218
UP000267343	0.13166	0.13419
UP000267492	0.20917	0.08845
UP000267811	0.0635	0.06408
UP000268073	0.32212	0.27771
UP000268464	0.2457	0.24662
UP000268541	0.12747	0.12329
UP000268786	0.04236	0.04236
UP000268925	0.0702	0.06973
UP000269124	0.21991	0.24869
UP000269274	0.0	0.0
UP000269586	0.1663	0.16938
UP000269706	0.04756	0.05484
UP000269850	0.1187	0.15188
UP000270090	0.18261	0.17896
UP000270144	0.07116	0.07946
UP000270333	0.2717	0.26783
UP000270846	0.0	0.0
UP000270867	0.15611	0.07888
UP000271054	0.0	0.0
UP000271284	0.07422	0.08962
UP000271300	0.10855	0.12467
UP000271404	0.09523	0.09642
UP000271455	0.1594	0.15136
UP000271614	0.12896	0.13964
UP000271932	0.24971	0.23108
UP000272237	0.26076	0.26056
UP000272636	0.06312	0.06628
UP000272688	0.10552	0.10285
UP000273030	0.12222	0.12727
UP000273112	0.13878	0.12875
UP000273130	0.26821	0.26003
UP000273325	0.0	0.0
UP000273530	0.10612	0.10753
UP000273561	0.14596	0.14143
UP000273602	0.09157	0.04227
UP000273619	0.17688	0.11024
UP000273912	0.25407	0.17949
UP000274024	0.21115	0.20129
UP000274267	0.09653	0.09328
UP000274277	0.27994	0.27074
UP000274283	0.19848	0.2031
UP000274542	0.04727	0.04702
UP000274800	0.06452	0.05882
UP000274817	0.1755	0.11486
UP000274913	0.12422	0.11148
UP000274965	0.10333	0.11524
UP000275001	0.23137	0.08052
UP000275086	0.0566	0.04545
UP000275118	0.17665	0.17073
UP000275141	0.18944	0.19304
UP000275237	0.27258	0.26997
UP000275581	0.2443	0.23292
UP000275661	0.08333	0.08426
UP000275921	0.13474	0.12908
UP000276212	0.24611	0.23558
UP000276299	0.07534	0.07948
UP000276326	0.03663	0.01656
UP000276553	0.03617	0.03166
UP000276683	0.18233	0.16724
UP000277067	0.44965	0.44965
UP000277274	0.07276	0.06511
UP000277408	0.5	0.48327
UP000277648	0.18113	0.16244
UP000277710	0.16221	0.15712
UP000277895	0.11361	0.11361
UP000278210	0.17234	0.17271
UP000278471	0.27659	0.27667
UP000278548	0.1012	0.06122
UP000278651	0.0963	0.0963
UP000278769	0.07261	0.05263
UP000278975	0.45258	0.31566
UP000279008	0.57197	0.51283
UP000279014	0.18038	0.18602
UP000279070	0.153	0.14586
UP000279193	0.04213	0.03319
UP000279202	0.03845	0.04392
UP000279389	0.75243	0.75243
UP000279551	0.11504	0.0662
UP000279640	0.12957	0.12621
UP000280558	0.18467	0.11245
UP000280853	0.20973	0.20973
UP000281126	0.22692	0.13401
UP000281263	0.19501	0.21875
UP000281344	0.16598	0.1703
UP000281425	0.09899	0.09752
UP000281649	0.08	0.06792
UP000281696	0.05797	0.05543
UP000282008	0.09542	0.08361
UP000282032	0.17006	0.16722
UP000282037	0.08548	0.08548
UP000282128	0.11725	0.14032
UP000282439	0.15319	0.16992
UP000286689	0.07692	0.0721
UP000286822	0.05993	0.05948
UP000287562	0.5	0.41561
UP000287705	0.18973	0.17347
UP000287912	0.13647	0.0748
UP000288615	0.12095	0.11504
UP000288736	0.10946	0.10988
UP000288857	0.07911	0.11013
UP000289133	0.01327	0.0225
UP000289144	0.04545	0.02639
UP000289185	1.0	1.0
UP000289186	0.17871	0.10275
UP000289197	0.10631	0.1028
UP000289246	0.169	0.18515
UP000289277	0.39981	0.35123
UP000289285	0.12121	0.12392
UP000289296	0.08284	0.08284
UP000289300	0.22777	0.19951
UP000289318	0.0	0.0
UP000289336	0.04147	0.04224
UP000289345	0.0261	0.02745
UP000289356	0.24747	0.15225
UP000289379	0.0908	0.0886
UP000289380	0.07018	0.0671
UP000289381	0.15114	0.10431
UP000289389	1.0	1.0
UP000289390	0.09879	0.1042
UP000289406	0.16534	0.10399
UP000289419	0.17003	0.08888
UP000289439	0.04586	0.09003
UP000289449	0.34941	0.3563
UP000289461	0.24746	0.2015
UP000289472	0.10787	0.10525
UP000289487	0.06846	0.055
UP000289491	0.17272	0.12252
UP000289508	0.10611	0.06234
UP000289526	0.12891	0.06909
UP000289534	0.16559	0.22511
UP000289536	0.17564	0.10208
UP000289550	0.06081	0.06081
UP000289551	0.04463	0.06048
UP000289553	0.44602	0.1967
UP000289556	0.15398	0.15854
UP000289565	0.17112	0.17483
UP000289605	0.0	0.0
UP000289668	0.08435	0.08435
UP000289673	0.09414	0.08443
UP000289684	0.07959	0.0729
UP000289736	0.11849	0.06306
UP000289772	0.06282	0.08834
UP000289781	0.11761	0.07491
UP000289788	0.14819	0.14827
UP000289790	0.10935	0.10369
UP000289810	0.10688	0.04663
UP000289818	0.6574	0.58458
UP000289822	0.07377	0.07129
UP000289833	0.34546	0.13632
UP000289882	0.79487	0.58668
UP000289883	0.14667	0.1585
UP000289885	0.2332	0.22565
UP000289890	0.12736	0.13704
UP000289905	0.31733	0.32244
UP000289908	0.25608	0.19436
UP000289960	0.14189	0.08351
UP000290051	0.23066	0.2439
UP000290081	0.05379	0.05379
UP000290085	0.11873	0.11873
UP000290095	0.0826	0.0826
UP000290115	0.1783	0.15886
UP000290145	0.08852	0.02232
UP000290197	0.0612	0.08323
UP000290246	0.17915	0.11821
UP000290247	0.12996	0.12435
UP000290282	0.18661	0.15685
UP000290315	0.25156	0.25156
UP000290348	0.13333	0.12261
UP000290361	0.49227	0.41148
UP000290434	0.3582	0.25713
UP000290435	0.04536	0.02262
UP000290459	0.5322	0.39738
UP000290478	0.21915	0.11036
UP000290483	0.23831	0.25027
UP000290499	0.07398	0.07398
UP000290503	0.16127	0.06586
UP000290505	0.07583	0.07583
UP000290511	0.34435	0.34435
UP000290655	0.47466	0.33778
UP000290664	0.15465	0.11547
UP000290675	0.025	0.03207
UP000290684	0.25684	0.16324
UP000290698	0.0934	0.08306
UP000290717	0.21019	0.13111
UP000290719	0.56315	0.31118
UP000290728	0.19038	0.18352
UP000290797	0.33678	0.32604
UP000290803	0.33333	0.33333
UP000290818	0.0	0.0
UP000290823	0.21186	0.21186
UP000290855	0.40222	0.45573
UP000290892	0.17612	0.17612
UP000290910	0.15449	0.09085
UP000290955	0.35126	0.35126
UP000290961	0.14943	0.11659
UP000290993	0.32771	0.30803
UP000291682	0.27871	0.20267
UP000293496	0.13863	0.0847
UP000294031	0.11916	0.1
UP000294324	0.55629	0.29208
UP000294431	0.21379	0.14232
UP000296574	0.062	0.0541
UP000296994	0.15972	0.08269
UP000297005	0.32604	0.23364
UP000297006	0.19	0.21477
UP000297009	0.24109	0.18688
UP000297024	0.08643	0.12267
UP000297027	0.16521	0.13762
UP000297029	0.07046	0.02192
UP000297038	0.2587	0.13035
UP000297050	0.05507	0.05507
UP000297052	0.33777	0.23923
UP000297055	0.2227	0.14502
UP000297057	0.05889	0.05656
UP000297063	0.04304	0.05957
UP000297064	0.08201	0.12659
UP000297072	0.14219	0.30441
UP000297076	0.07383	0.07383
UP000297077	0.0783	0.07544
UP000297081	0.29469	0.1969
UP000297089	0.19848	0.15948
UP000297094	0.05714	0.09165
UP000297095	0.14221	0.08766
UP000297097	0.04405	0.0604
UP000297101	0.20476	0.18174
UP000297102	0.31047	0.22572
UP000297110	0.04366	0.05851
UP000297116	0.30822	0.11815
UP000297124	0.20268	0.11796
UP000297128	0.49742	0.40992
UP000297129	0.10567	0.10567
UP000297133	0.14629	0.14378
UP000297145	0.15001	0.14834
UP000297153	0.24225	0.28583
UP000297154	0.27843	0.21086
UP000297157	0.21406	0.16102
UP000297175	0.17237	0.14475
UP000297177	0.15301	0.1358
UP000297178	0.18247	0.0964
UP000297183	0.30842	0.2389
UP000297191	0.1853	0.12135
UP000297204	0.50662	0.46516
UP000297205	0.35923	0.27256
UP000306412	0.12054	0.0652
UP000315075	0.36091	0.22559
UP000315116	0.07439	0.07862
UP000317189	0.33279	0.25373
UP000318497	0.40434	0.26358
UP000318778	0.23515	0.17403
UP000321483	0.02222	0.02222
UP000322276	0.13745	0.08523
UP000323261	0.24977	0.18786
UP000325018	0.22934	0.20456
UP000326313	0.04987	0.03031
UP000326328	0.16027	0.07834
UP000327119	0.2005	0.08201
UP000327402	0.25458	0.18693
UP000366725	0.09007	0.1123
UP000386070	0.42082	0.29349
UP000434467	0.18626	0.09318
UP000464270	0.08172	0.04705
UP000464689	0.10993	0.07801
UP000465040	0.20762	0.09835
UP000500692	0.44429	0.3845
UP000500753	0.10272	0.0843
UP000500766	0.34645	0.18459
UP000500842	0.27483	0.13131
UP000500844	0.36486	0.38674
UP000500934	0.23829	0.07607
UP000500976	0.0838	0.07998
UP000500983	0.12746	0.09033
UP000500992	0.15898	0.08108
UP000501027	0.31041	0.2429
UP000501042	0.2005	0.14244
UP000501046	0.04604	0.04021
UP000501074	0.24149	0.22903
UP000501166	0.20961	0.21979
UP000501211	0.17605	0.1196
UP000501303	0.37467	0.31348
UP000501328	0.20162	0.18031
UP000501392	0.02186	0.03767
UP000501393	0.06553	0.03811
UP000501413	0.1369	0.15071
UP000501473	0.03302	0.02272
UP000501480	0.22059	0.09551
UP000501498	0.42935	0.27619
UP000501531	0.1713	0.08981
UP000501572	0.19074	0.15318
UP000501750	0.5	0.19816
UP000501771	0.15553	0.09084
UP000501815	0.06501	0.07021
UP000501840	0.06084	0.09742
UP000501848	0.11731	0.21254
UP000501906	0.19963	0.14482
UP000501924	0.29074	0.16615
UP000501937	0.03272	0.03272
UP000501948	0.12802	0.07653
UP000501954	0.44993	0.343
UP000501963	0.38151	0.12765
UP000501998	0.29105	0.1395
UP000502003	0.05166	0.02899
UP000502014	0.0	0.0
UP000502016	0.47257	0.36493
UP000502018	0.24853	0.10958
UP000502099	0.45993	0.34077
UP000502165	0.16847	0.26626
UP000502195	0.18961	0.12733
UP000502241	0.25857	0.18258
UP000502506	0.21892	0.12774
UP000502532	0.33648	0.27811
UP000502550	0.24621	0.10013
UP000502600	0.41482	0.33681
UP000502619	0.2286	0.11955
UP000502682	0.1494	0.14479
UP000502748	0.03324	0.05168
UP000502791	0.34015	0.11642
UP000502805	0.059	0.04553
UP000502830	0.05954	0.0864
UP000502922	0.36253	0.12516
UP000502925	0.14657	0.14283
UP000502964	0.20682	0.09456
UP000503009	0.52816	0.4783
UP000503019	0.16028	0.10798
UP000503029	0.29713	0.07528
UP000503031	0.39557	0.17541
UP000503045	0.37804	0.29665
UP000503137	0.06442	0.06442
UP000503188	0.03182	0.02789
UP000503360	0.26716	0.15975
UP000503365	0.0545	0.13977
UP000503383	0.28091	0.25025
UP000503388	0.09661	0.06396
UP000503423	0.043	0.06535
UP000503459	0.08787	0.07721
UP000503481	0.06489	0.11575
UP000503486	0.17068	0.46521
UP000503504	0.05079	0.05079
UP000503512	0.23596	0.23784
UP000503586	0.29146	0.13023
UP000503600	0.39322	0.19143
UP000510776	0.34237	0.2305
UP000515816	0.05002	0.04275
UP000516033	0.30217	0.22454
UP000516040	0.20667	0.1159
UP000516061	0.36043	0.2478
UP000516161	0.18062	0.09841
UP000516169	0.11802	0.10483
UP000517611	0.21578	0.07737
UP000540193	0.22554	0.10362
UP000593728	0.06918	0.10329
UP000593762	0.08775	0.12729
UP000593780	0.09955	0.13676
UP000593917	0.1511	0.06434
UP000594046	0.03	0.05597
UP000594080	0.07018	0.08902
UP000595241	0.05374	0.07552
UP000595620	0.33194	0.20459
UP000595783	0.18238	0.08786
UP000595892	0.11031	0.06783
UP000663443	0.0	0.0
UP000663553	0.18032	0.13554
UP000672003	0.0873	0.05374
UP000675973	0.03191	0.03297
UP000676015	0.34706	0.20331
UP000676016	0.13754	0.13158
UP000676022	0.01481	0.01552
UP000676026	0.23898	0.22632
UP000676042	0.18609	0.12337
UP000676048	0.05	0.05324
UP000676067	0.07377	0.19714
UP000676068	0.0	0.0
UP000676071	0.00824	0.01223
UP000676086	0.0	0.0
UP000676088	0.23185	0.16265
UP000676154	0.27055	0.07552
UP000676163	0.2326	0.19842
UP000676167	0.00459	0.01133
UP000676187	0.12169	0.07325
UP000676196	0.14264	0.05536
UP000676204	0.17142	0.10932
UP000676213	0.04669	0.04652
UP000676214	0.06987	0.06969
UP000676239	0.09303	0.06914
UP000676241	0.04131	0.04288
UP000676268	0.12581	0.1248
UP000676270	0.66451	0.46852
UP000676311	0.08815	0.02698
UP000676341	0.10877	0.10616
UP000676348	0.06918	0.05189
UP000676352	0.15499	0.1893
UP000676365	0.13345	0.0834
UP000676376	0.19437	0.07226
UP000676390	0.12761	0.05178
UP000676407	0.13696	0.14856
UP000676410	0.37036	0.2495
UP000676424	0.02161	0.02224
UP000676429	0.01461	0.02222
UP000676438	0.12263	0.06093
UP000676441	0.52444	0.52444
UP000676448	0.15503	0.09936
UP000676489	0.01453	0.01645
UP000676490	0.03014	0.03226
UP000676496	0.0391	0.04723
UP000676523	0.36849	0.16071
UP000676541	0.04892	0.05695
UP000676545	0.21525	0.22884
UP000676569	0.31252	0.25085
UP000676620	0.09199	0.07627
UP000676635	0.07498	0.08389
UP000676648	0.08252	0.07969
UP000676662	0.05641	0.02005
UP000676663	0.01073	0.01587
UP000676664	0.0	0.0
UP000676675	0.13174	0.09121
UP000676677	0.04427	0.01476
UP000676683	0.07839	0.07659
UP000676737	0.0453	0.02813
UP000676754	0.2318	0.171
UP000676820	0.02389	0.03799
UP000676830	0.31303	0.09307
UP000676842	0.09787	0.09901
UP000676852	0.04946	0.01971
UP000676855	0.32873	0.15433
UP000676859	0.0	0.0
UP000676863	0.34689	0.25249
UP000676868	0.02057	0.02071
UP000676869	0.33333	0.12184
UP000676877	0.04411	0.06309
UP000676878	0.03289	0.04438
UP000676882	0.0	0.0
UP000676893	0.1609	0.13391
UP000676897	0.15278	0.04898
UP000676914	0.0	0.0
UP000676915	0.07793	0.1373
UP000676927	0.09378	0.09795
UP000676931	0.15785	0.17866
UP000676940	0.20167	0.19579
UP000676963	0.0736	0.0652
UP000676968	0.00979	0.01577
UP000676982	0.03846	0.0158
UP000676984	0.0	0.0
UP000676985	0.13742	0.13238
UP000676992	0.10644	0.03399
UP000677019	0.0627	0.07255
UP000677041	0.06552	0.06955
UP000677067	0.06687	0.08267
UP000677084	0.08672	0.04398
UP000677102	0.0	0.0
UP000677105	0.10421	0.09106
UP000677106	0.08059	0.0938
UP000677217	0.0393	0.04766
UP000677238	0.04948	0.01599
UP000677241	0.06562	0.11042
UP000677261	0.18387	0.14008
UP000677266	0.30428	0.20072
UP000677267	0.17264	0.16719
UP000677268	0.35091	0.15843
UP000677277	0.16146	0.12766
UP000677280	0.17622	0.11302
UP000677284	0.17121	0.15151
UP000677292	0.05112	0.02793
UP000677295	0.07923	0.02564
UP000677296	0.04229	0.01383
UP000677299	0.01858	0.02828
UP000677313	0.23737	0.10875
UP000677316	0.18958	0.11053
UP000677320	0.071	0.03646
UP000677325	0.16564	0.06244
UP000677330	0.0454	0.06818
UP000677336	0.00752	0.0136
UP000677349	0.24842	0.08608
UP000677360	0.17233	0.14015
UP000677369	0.30852	0.21046
UP000677375	0.1505	0.18609
UP000677392	0.01199	0.01294
UP000677407	0.22094	0.15806
UP000677415	0.04565	0.06729
UP000677434	0.02536	0.03371
UP000677437	0.05616	0.05516
UP000677440	0.01278	0.01964
UP000677443	0.11788	0.07398
UP000677455	0.42157	0.29985
UP000677460	0.10945	0.04943
UP000677468	0.0	0.0
UP000677469	0.25047	0.18234
UP000677485	0.26333	0.17914
UP000677525	0.34641	0.12906
UP000677530	0.07767	0.0809
UP000677553	0.49356	0.51014
UP000677555	0.13301	0.12949
UP000677569	0.2161	0.16034
UP000677583	0.16439	0.07542
UP000677589	0.09313	0.03471
UP000677600	0.07914	0.03869
UP000677629	0.20518	0.09942
UP000677639	0.01508	0.02298
UP000677652	0.0658	0.05027
UP000677658	0.04762	0.05371
UP000677685	0.42503	0.2149
UP000677697	0.02232	0.02482
UP000677722	0.02275	0.02425
UP000677729	0.07527	0.08387
UP000677738	0.16604	0.16747
UP000677748	0.27835	0.08919
UP000677750	0.14407	0.0931
UP000677761	0.0325	0.0352
UP000677787	0.08088	0.03213
UP000677789	0.11598	0.07644
UP000677796	0.16167	0.1562
UP000677801	0.11783	0.1175
UP000677806	0.3043	0.2
UP000677815	0.03061	0.0417
UP000677841	0.08974	0.03286
UP000677855	0.27386	0.16347
UP000677857	0.10828	0.06612
UP000677858	0.237	0.15876
UP000677874	0.0	0.0
UP000677877	0.0	0.0
UP000677887	0.10149	0.08654
UP000677890	0.09623	0.12719
UP000677903	0.04409	0.05551
UP000677907	0.35534	0.29695
UP000677936	0.05147	0.0228
UP000677938	0.02635	0.03752
UP000677966	0.2782	0.04576
UP000677969	0.01748	0.02487
UP000677976	0.12731	0.10467
UP000677989	0.02362	0.03363
UP000678011	0.10615	0.08921
UP000678025	0.02252	0.0293
UP000678030	0.31591	0.16101
UP000678031	0.0514	0.05719
UP000678039	0.15209	0.13926
UP000678071	0.1087	0.10501
UP000678081	0.10714	0.05491
UP000678092	0.22296	0.07074
UP000678105	0.13008	0.14545
UP000678133	0.08072	0.09229
UP000678135	0.09124	0.06567
UP000678146	0.07308	0.14794
UP000678184	0.26697	0.19559
UP000678190	0.06192	0.08769
UP000678215	0.05818	0.08291
UP000678217	0.14812	0.17714
UP000678233	0.06659	0.08023
UP000678248	0.07359	0.02899
UP000678251	0.14475	0.18329
UP000678269	0.07971	0.03125
UP000678271	0.17903	0.14246
UP000678293	0.05032	0.04913
UP000678309	0.17432	0.06667
UP000678319	0.04015	0.01738
UP000678351	0.02966	0.03363
UP000678384	0.02941	0.03346
UP000678414	0.00901	0.01397
UP000678424	0.06407	0.08629
UP000678428	0.08471	0.09293
UP000678439	0.00618	0.01088
UP000678445	0.08123	0.02413
UP000678448	0.04625	0.06556
UP000678450	0.01294	0.01354
UP000678453	0.16584	0.06752
UP000678475	0.4742	0.27418
UP000678483	0.0	0.0
UP000678492	0.13889	0.04237
UP000678515	0.14131	0.13949
UP000678528	0.15068	0.08819
UP000678554	0.1883	0.19338
UP000678576	0.01764	0.03523
UP000678584	0.14262	0.13942
UP000678591	0.02005	0.02893
UP000678605	0.04046	0.0568
UP000678637	0.1294	0.11848
UP000678638	0.0597	0.07739
UP000678642	0.0	0.0
UP000678671	0.0	0.0
UP000678684	0.0	0.0
UP000678702	0.18803	0.08022
UP000678708	0.0	0.0
UP000678719	0.02577	0.03866
UP000678724	0.0917	0.0561
UP000678729	0.13137	0.07001
UP000678741	0.03834	0.03834
UP000678752	0.30503	0.09544
UP000678765	0.26138	0.25502
UP000678769	0.30698	0.17832
UP000678808	0.02088	0.03068
UP000678809	0.01198	0.01436
UP000678853	0.06975	0.07597
UP000678873	0.01006	0.01147
UP000678880	0.0974	0.09449
UP000678893	0.17354	0.15753
UP000678902	0.02701	0.04167
UP000678905	0.04829	0.04508
UP000678908	0.02531	0.02615
UP000678927	0.10556	0.03282
UP000678929	0.36138	0.25576
UP000678932	0.09334	0.2407
UP000679026	0.26139	0.16748
UP000679045	0.24445	0.16002
UP000679048	0.20055	0.0818
UP000679056	0.35561	0.13451
UP000679064	0.01562	0.01882
UP000679068	0.02147	0.02805
UP000679077	0.21253	0.10289
UP000679082	0.27905	0.15577
UP000679086	0.01102	0.01807
UP000679096	0.11748	0.06361
UP000679099	0.09451	0.04636
UP000679105	0.02521	0.0265
UP000679124	0.22608	0.14286
UP000679139	0.12784	0.03266
UP000679153	0.17288	0.09956
UP000679200	0.0	0.0
UP000679210	0.11938	0.06454
UP000679308	0.02431	0.02971
UP000679321	0.0	0.0
UP000679345	1.0	1.0
UP000679356	0.3767	0.35299
UP000679383	0.35133	0.17716
UP000679391	0.40839	0.28899
UP000679401	0.04946	0.02108
UP000679447	0.14402	0.07744
UP000679468	0.03439	0.0417
UP000679502	0.3193	0.31763
UP000679563	0.0226	0.02613
UP000679564	0.0	0.0
UP000679568	0.02301	0.03307
UP000679593	0.05461	0.14425
UP000679600	0.06087	0.11059
UP000679609	0.05303	0.0189
UP000679611	0.61193	0.4559
UP000679625	0.0315	0.04661
UP000679637	0.03636	0.0161
UP000679649	0.05687	0.05958
UP000679653	0.2814	0.06588
UP000679708	0.21017	0.09869
UP000679729	0.07923	0.0384
UP000679732	0.08474	0.06176
UP000679735	0.06101	0.05422
UP000679746	0.17087	0.16553
UP000679767	0.20971	0.14949
UP000679776	0.17469	0.05416
UP000679777	0.04777	0.0766
UP000679782	0.12308	0.18237
UP000679791	0.13554	0.03299
UP000679792	0.0	0.0
UP000679823	0.0767	0.09852
UP000679845	0.15723	0.0995
UP000679847	0.12523	0.10297
UP000679851	0.08291	0.09091
UP000679852	0.07695	0.04802
UP000679853	0.06106	0.09487
UP000679879	0.0	0.0
UP000679889	0.04788	0.07765
UP000679907	0.43852	0.22583
UP000679954	0.02573	0.03385
