Proteome Id	Organism Id
UP000029743	1554474
UP000029745	1554498
UP000029747	1554481
UP000029748	2870378
UP000029750	1168173
UP000029754	1554484
UP000029755	1554492
UP000029768	666363
UP000029770	1559361
UP000029771	1560034
UP000052080	360397
UP000052081	446138
UP000052083	445217
UP000052084	526413
UP000052085	634772
UP000052088	1081054
UP000052089	998829
UP000052090	990304
UP000052091	706527
UP000052092	940834
UP000052093	1352235
UP000052094	568209
UP000052095	1001533
UP000052096	461322
UP000052097	338903
UP000052098	369584
UP000052099	291589
UP000052100	291590
UP000052101	292792
UP000052102	936059
UP000052107	2847817
UP000052108	1416021
UP000052109	1755588
UP000096661	909330
UP000096793	798072
UP000096870	735496
UP000097651	798073
UP000099345	46922
UP000099447	990303
UP000099931	471185
UP000100289	1739625
UP000101375	915426
UP000101403	2772508
UP000101546	1385427
UP000101963	2772507
UP000102036	1788437
UP000102297	334210
UP000102623	706526
UP000103020	1144379
UP000103719	2847078
UP000103794	1503291
UP000103855	1055684
UP000103885	942038
UP000104464	1434070
UP000105550	1478160
UP000105694	1283664
UP000106096	186538
UP000106331	1104917
UP000106470	11153
UP000106895	2847089
UP000107061	10595
UP000107063	471186
UP000107207	28274
UP000107687	1195364
UP000108270	3052561
UP000108288	1315265
UP000108682	1887217
UP000108982	202252
UP000109002	1315264
UP000109295	1788450
UP000110085	28295
UP000110829	2773313
UP000111445	1415628
UP000111499	171370
UP000111791	1661395
UP000112084	1464071
UP000112284	1070420
UP000112710	40538
UP000113124	1144382
UP000113513	337054
UP000113705	2758382
UP000113835	1338506
UP000114582	1508710
UP000114585	2560310
UP000114966	936060
UP000115210	1105164
UP000115701	1586324
UP000116758	696746
UP000117015	1070410
UP000118015	1464072
UP000118097	69152
UP000118722	162013
UP000118929	1315261
UP000119221	3052594
UP000119242	1226723
UP000119411	909328
UP000119804	1263299
UP000120507	40540
UP000120723	2759772
UP000120748	1383502
UP000121470	106820
UP000122610	706525
UP000123282	645847
UP000123284	1163703
UP000123364	424370
UP000123590	1887215
UP000123609	1398507
UP000124656	1495253
UP000125000	1163709
UP000125409	1578826
UP000125519	996651
UP000126502	1503283
UP000126615	1241932
UP000126963	714200
UP000127207	1541205
UP000127392	1235429
UP000127630	1283333
UP000127867	743811
UP000129101	1887219
UP000129308	763552
UP000129376	312349
UP000129482	1891769
UP000129753	1110710
UP000129778	385580
UP000129924	1235428
UP000129991	1129347
UP000130113	470214
UP000130331	565537
UP000130688	1778550
UP000131008	909333
UP000131287	1647924
UP000132079	2560316
UP000132112	1472717
UP000132946	766792
UP000133604	296738
UP000134568	2259540
UP000134610	1574628
UP000134698	1223562
UP000136220	92129
UP000136351	120381
UP000136359	1195370
UP000136605	189830
UP000136617	1163708
UP000136985	11224
UP000137149	1379723
UP000137229	12639
UP000138843	706530
UP000139829	1336600
UP000139850	1464074
UP000140463	1682340
UP000140561	45240
UP000140763	1682339
UP000141459	1420545
UP000142218	333769
UP000142472	2848317
UP000143347	1272519
UP000143524	694001
UP000143765	1452514
UP000144012	2560315
UP000144039	2560326
UP000144169	1261101
UP000144177	1503290
UP000144454	915424
UP000144657	1070408
UP000144694	759701
UP000144778	1503289
UP000145001	1160968
UP000145193	129724
UP000146425	11726
UP000146474	1887216
UP000147201	44028
UP000147477	1408129
UP000148028	35265
UP000148062	10568
