Q9SJQ6	copy_number:274.2055092
Q9C810	copy_number:274.8361298
Q9STS9	copy_number:274.9780319
Q9C9I3	copy_number:276.98981
P0C898	copy_number:278.5915473
Q9C6Y4	copy_number:278.9189531
Q9LPT1	copy_number:279.2443439
P0C899	copy_number:279.7014116
Q9SKN5	copy_number:279.7550038
Q5XVF0	copy_number:284.3734598
Q9MAT2	copy_number:285.7732791
Q9SZD5	copy_number:287.1838735
Q9LNG5	copy_number:287.2190382
P92946	copy_number:288.1052156
Q8L7W1	copy_number:289.3013062
Q56Y74	copy_number:289.3566902
Q9LTS7	copy_number:290.6529307
Q9C9R6	copy_number:292.01049
Q6Q4D0	copy_number:293.0471136
Q9MA85	copy_number:293.4983388
O22781	copy_number:294.6268423
Q9FGN8	copy_number:295.1020181
O04533	copy_number:296.2249215
Q9SA32	copy_number:296.3811813
Q9LZM4	copy_number:296.6663094
Q9M297	copy_number:296.9148092
Q9SIZ8	copy_number:297.0689197
Q9XIN0	copy_number:299.0505492
F4JCX9	copy_number:299.5284084
Q9LQ16	copy_number:302.3678702
Q9CAM8	copy_number:303.1930981
Q8L7G4	copy_number:303.6542234
Q8RWD7	copy_number:304.4484893
Q9LIA1	copy_number:305.634217
O80970	copy_number:305.7687613
O65451	copy_number:306.2119829
Q8GV43	copy_number:306.4472016
O65434	copy_number:306.5167872
Q93ZB7	copy_number:307.1361308
Q9LXF4	copy_number:307.473389
Q3EDA9	copy_number:308.0725067
Q9ASZ8	copy_number:308.2339939
Q9FGW5	copy_number:308.2888939
Q9C9Z7	copy_number:309.2871331
O65435	copy_number:310.6331638
Q8W4C3	copy_number:311.9306552
O04086	copy_number:313.2362882
Q8GX47	copy_number:314.553358
Q9ZW11	copy_number:314.6326699
Q9LQE3	copy_number:315.8011429
Q681K7	copy_number:315.805325
Q84RR2	copy_number:316.568304
Q9SMY6	copy_number:316.8332718
O64728	copy_number:317.2589883
Q9M2H2	copy_number:318.4324404
F4I8I0	copy_number:319.0506446
O48573	copy_number:321.7896627
Q9SLH0	copy_number:322.7734907
Q94K98	copy_number:323.4306129
Q9FHF0	copy_number:324.214521
Q9XEE6	copy_number:324.4441326
Q8RY59	copy_number:326.7000703
Q9LDD4	copy_number:326.8508189
Q9SH71	copy_number:328.5293451
Q9SPU7	copy_number:328.7346463
Q1PFW3	copy_number:329.1828716
Q5XF57	copy_number:329.9525864
F4KA50	copy_number:329.9566443
Q56W08	copy_number:330.4850334
Q5PP23	copy_number:332.2253599
P0C8Q5	copy_number:332.3153787
Q9M219	copy_number:332.4394273
Q9FLZ1	copy_number:333.4807508
Q05999	copy_number:333.867218
Q9LK10	copy_number:334.463455
Q9ZQN8	copy_number:336.4379032
Q8RX66	copy_number:336.6547952
Q84WU6	copy_number:336.7176458
Q52QU2	copy_number:337.2965503
Q7Y1C4	copy_number:337.3233211
Q9LEW0	copy_number:337.9088339
Q8S9M4	copy_number:338.3248367
Q9LXU9	copy_number:338.9162427
P0DH85	copy_number:339.2912804
Q0WPX9	copy_number:340.0309221
Q9LV85	copy_number:340.076718
Q9SK99	copy_number:341.0223226
Q9SVE6	copy_number:341.3759739
Q9XIC5	copy_number:342.9326836
O22267	copy_number:343.3188648
F4I6V0	copy_number:346.6144686
Q9SAH2	copy_number:347.8165185
O49397	copy_number:348.1307572
Q9FFN9	copy_number:348.4025768
Q9LN22	copy_number:350.6595273
Q9S9X4	copy_number:351.824089
Q940Q2	copy_number:352.7295526
O49399	copy_number:352.7689759
Q9LYD9	copy_number:352.8049284
Q6EWX0	copy_number:353.9540353
Q9SVG5	copy_number:355.3940737
Q1PE17	copy_number:356.4494016
O23076	copy_number:357.5110157
Q3ECW8	copy_number:358.0710777
Q9FMH4	copy_number:358.0937796
C0LGR3	copy_number:359.1279655
O65607	copy_number:359.6171718
Q500V9	copy_number:360.4845197
Q8VZQ5	copy_number:360.6304945
Q9SKC4	copy_number:361.0399751
Q6NKZ8	copy_number:361.7336579
Q8GYF4	copy_number:362.4679602
O80735	copy_number:362.9657008
F4HPN2	copy_number:363.791633
Q9FF18	copy_number:364.3953789
O80668	copy_number:364.6287661
Q56XW8	copy_number:366.150914
Q9LSF8	copy_number:366.4497372
Q9C9A2	copy_number:366.7358886
Q9C6B2	copy_number:367.4101382
Q9SUE7	copy_number:367.7107061
O80905	copy_number:368.754698
O49323	copy_number:369.8396828
Q9ZUI3	copy_number:370.2368234
O81020	copy_number:372.0956746
