Q9LV72	copy_number:254.6375263
Q8L7Z0	copy_number:257.4710272
Q9C7V1	copy_number:257.9221413
A0A1P8BC82	copy_number:259.3583354
Q9M221	copy_number:259.7205151
Q9SVH3	copy_number:260.3803008
A0A1P8BAX6	copy_number:260.4204243
Q9T095	copy_number:260.597178
Q8VZZ4	copy_number:261.1603379
Q9LM63	copy_number:262.3709448
O80829	copy_number:262.8204186
A0A1P8ATV1	copy_number:265.4484538
Q9FRR2	copy_number:265.8008597
Q9M2C6	copy_number:265.8588068
Q9M3D6	copy_number:266.1033847
Q9LTA6	copy_number:267.498982
Q8S8T7	copy_number:267.7145272
F4JJD6	copy_number:267.7148611
A0A1P8B8U1	copy_number:267.788012
Q8L797	copy_number:267.8287801
Q9ZQB9	copy_number:267.8779187
Q9LX64	copy_number:268.0890523
Q9FT72	copy_number:268.4760445
Q58G01	copy_number:268.9305225
Q5XVA1	copy_number:269.564846
Q9LT62	copy_number:269.7091506
Q9SF22	copy_number:271.0874476
Q9ZUM8	copy_number:271.2782973
Q9LVJ3	copy_number:271.5339836
F4J4E8	copy_number:272.2759616
Q9LRV1	copy_number:272.353009
F4IGW2	copy_number:273.79974
Q9SJQ6	copy_number:274.2055092
F4ICA1	copy_number:274.580864
A0A1P8APZ1	copy_number:274.8361298
Q9STS9	copy_number:274.9780319
Q9LT63	copy_number:275.5874425
Q0WWX4	copy_number:276.4482318
Q9LH98	copy_number:276.5220774
Q9FG06	copy_number:276.915119
Q8VY02	copy_number:276.9862354
Q9C9I3	copy_number:276.98981
Q9LJJ0	copy_number:278.5206886
P0C898	copy_number:278.5915473
A0A1P8ARA5	copy_number:278.9189531
Q0WQ61	copy_number:278.9362317
Q9SA08	copy_number:279.1197832
Q9LPT1	copy_number:279.2443439
P0C899	copy_number:279.7014116
A0A1P8B1S1	copy_number:279.7550038
Q9LYV5	copy_number:281.5380959
Q9FMR6	copy_number:281.7602238
F4I3H7	copy_number:283.7568774
Q5XVF0	copy_number:284.3734598
Q9M144	copy_number:285.5607376
Q9MAT2	copy_number:285.7732791
Q4TU44	copy_number:285.8417856
A0A1P8B3P9	copy_number:287.1838735
Q9LNG5	copy_number:287.2190382
P92946	copy_number:288.1052156
