S6_2_Ka
8.223963377336308e-06
7.189107418095841e-06
5.844041865427192e-06
6.056142987703959e-06
6.703485412197776e-06
6.551805085458194e-06
6.3339525197266705e-06
6.488302755392692e-06
6.4376427917268355e-06
6.832795994502086e-06
6.681920023209609e-06
6.635881024419624e-06
6.479218494705756e-06
6.453597771603286e-06
6.40426776723475e-06
