cat	PC1	PC2	PC3	PC4	PC5	PC6	PC7
Control1	-0.7433921381783647	0.05097842109644474	0.24162699443234606	0.3595644955826798	-0.30634225747342425	0.3668962857132854	9.498412548438133e-16
Control2	-0.2771682558891814	-0.2787885235548865	0.08424371606916752	0.40513361027479106	-0.14650389866790706	-0.44182877165833206	9.345447629365918e-16
Patchy	-0.9337529141066625	0.340349191313639	0.49682210644331315	-0.40697078534773423	0.30431960807777	-0.08311191862057261	9.68735040856766e-16
ShuffleD	0.25196557028458444	-0.9074460578481288	-0.07348377227394398	-0.44653729628752326	-0.15255267576894707	0.0743734246230989	1.082108047992633e-15
mutant	0.42779975048741237	-0.1891044686831463	-0.24365213548508538	0.3132885377687374	0.6101234248789669	0.12733840095139812	7.700875464550431e-16
negative	1.632644601243929	0.47235815609862974	0.30571219555187135	-0.051398096024632266	-0.1594479691824618	-0.008123168347870009	7.126443715328075e-16
positive	-0.3580966138417169	0.5116532815774486	-0.8112691047376684	-0.17308046596631618	-0.14959623186399706	-0.03554425266100739	9.503648184114314e-16
