name	PC1	PC2	PC3	PC4	PC5	PC6	PC7
Standard deviation	0.8700200641098759	0.5066704333971542	0.43372351952047733	0.36267270957701003	0.3294553573283339	0.24488398387820715	1.0706398157646967e-15
Proportion of Variance	0.50402	0.17094	0.12526	0.08758	0.07227	0.03993	0
Cumulative Proportion	0.50402	0.67495	0.80021	0.8878	0.96007	1	1
