#File Plotted Below: ash1_clean.dat,,,,,,,,,,
,,,,,,,,,,
    #Fit from 0.01-0.15 with polymer MFF,,,,,,,,,,
#Initial search parameter for I0 = 0.0059051,,,,,,,,,,
#Initial search parameter for Rg = 30.000000000000004,,,,,,,,,,
#Initial search parameter for nu = 0.499880565034448,,,,,,,,,,
#BestFit for I0 = 0.00687 +- 0.00005,,,,,,,,,,
#BestFit for I(0)/I0 = 1.00000 +- 0.00713,,,,,,,,,,
#BestFit for Rg = 28.95619 +- 0.20125,,,,,,,,,,
#BestFit for nu = 0.60280 +- 0.00759,,,,,,,,,,
#BestFit reduced chisquared = 0.57016,,,,,,,,,,
#-------------,,,,,,,,,,
#-------------,,,,,,,,,,
,,,,,,,,,,
    #q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.063,0.00281,0.00009,0.0028,0.40866,0.01369,0.40735,1.82424,1.35995,0.04555,1.3556
0.064,0.00278,0.00011,0.00274,0.40451,0.01606,0.39855,1.8532,1.38922,0.05515,1.36877
0.065,0.00265,0.00012,0.00268,0.38639,0.01687,0.38996,1.88215,1.36877,0.05976,1.38142
0.066,0.0025,0.0001,0.00262,0.36361,0.01525,0.38155,1.91111,1.32801,0.0557,1.39356
0.067,0.00266,0.00011,0.00256,0.38653,0.01645,0.37335,1.94006,1.45485,0.0619,1.40524
0.068,0.00247,0.00012,0.00251,0.35938,0.01815,0.36535,1.96902,1.39335,0.07036,1.41647
0.069,0.00246,0.0001,0.00246,0.35786,0.01458,0.35754,1.99798,1.42853,0.0582,1.42727
0.07,0.00233,0.0001,0.0024,0.33973,0.01489,0.34993,2.02693,1.39578,0.06116,1.43769
0.071,0.00233,0.00011,0.00235,0.3393,0.01614,0.34252,2.05589,1.4341,0.0682,1.44774
0.072,0.00239,0.00012,0.0023,0.34832,0.01739,0.3353,2.08485,1.51401,0.07558,1.45743
0.073,0.00228,0.00011,0.00226,0.33224,0.01565,0.32827,2.1138,1.48449,0.06994,1.46677
0.074,0.00226,0.00011,0.00221,0.32925,0.0155,0.32142,2.14276,1.51174,0.07116,1.47579
0.075,0.00208,0.00011,0.00216,0.30334,0.01562,0.31476,2.17171,1.43068,0.07366,1.4845
0.076,0.00213,0.0001,0.00212,0.30997,0.01506,0.30826,2.20067,1.50116,0.07292,1.49291
0.077,0.00206,0.00009,0.00207,0.29978,0.01287,0.30195,2.22963,1.49027,0.06397,1.50104
0.078,0.00202,0.0001,0.00203,0.29439,0.01421,0.29579,2.25858,1.50175,0.07247,1.5089
0.079,0.002,0.0001,0.00199,0.29185,0.01507,0.28981,2.28754,1.52718,0.07886,1.51651
0.08,0.00185,0.00008,0.00195,0.26885,0.0123,0.28398,2.3165,1.44267,0.06599,1.52388
0.081,0.002,0.00009,0.00191,0.29083,0.01285,0.27831,2.34545,1.59988,0.0707,1.53101
0.082,0.00191,0.0001,0.00187,0.27758,0.01493,0.27279,2.37441,1.56495,0.08419,1.53794
0.083,0.00189,0.00008,0.00184,0.27583,0.0112,0.26742,2.40336,1.59326,0.0647,1.54466
0.084,0.00175,0.00009,0.0018,0.25509,0.01277,0.26219,2.43232,1.50917,0.07556,1.55119
0.085,0.00191,0.00011,0.00177,0.27773,0.0153,0.25711,2.46128,1.68243,0.09269,1.55754
0.086,0.00166,0.00009,0.00173,0.24214,0.01332,0.25216,2.49023,1.50155,0.08261,1.56372
0.087,0.00163,0.00009,0.0017,0.23719,0.01298,0.24735,2.51919,1.50527,0.0824,1.56973
0.088,0.0016,0.00009,0.00167,0.23355,0.0137,0.24266,2.54814,1.51644,0.08895,1.57559
0.089,0.00173,0.00009,0.00164,0.25145,0.01248,0.2381,2.5771,1.67001,0.08288,1.58132
0.09,0.00165,0.00009,0.00161,0.24046,0.01332,0.23366,2.60606,1.63311,0.09049,1.58691
0.091,0.00164,0.00008,0.00158,0.2385,0.01217,0.22934,2.63501,1.65596,0.08452,1.59238
0.092,0.00152,0.00008,0.00155,0.22176,0.012,0.22514,2.66397,1.57376,0.08517,1.59775
0.093,0.00142,0.00009,0.00152,0.20735,0.01342,0.22105,2.69293,1.50366,0.09729,1.60301
0.094,0.00158,0.00011,0.00149,0.23027,0.0156,0.21707,2.72188,1.70602,0.11554,1.60818
0.095,0.00145,0.00007,0.00146,0.21091,0.01072,0.21319,2.75084,1.59601,0.08109,1.61327
0.096,0.00145,0.00009,0.00144,0.21077,0.01241,0.20942,2.77979,1.62867,0.09589,1.61827
0.097,0.00146,0.00009,0.00141,0.21288,0.01334,0.20575,2.80875,1.67942,0.10528,1.6232
0.098,0.00131,0.00009,0.00139,0.19054,0.0128,0.20218,2.83771,1.53431,0.10308,1.62805
