MERS_MERS_Ka
1.2941689005407521e-05
1.8245298558529366e-05
1.356466641080417e-05
1.3724544434519348e-05
1.3247880880627058e-05
1.2448140200898146e-05
1.1761071842915455e-05
1.4813872928491119e-05
1.5103055135471222e-05
1.4214375664075405e-05
1.3678104647744221e-05
1.3277670292811371e-05
1.342149510746967e-05
1.3192379875481362e-05
1.2858505371631383e-05
1.2710172716987514e-05
1.2368546879195037e-05
1.2343538276346076e-05
1.2075582513410848e-05
1.2300960783561728e-05
