MERS_MERS_FB
343275469.6470429
394350647.1447498
321456236.06267065
330834677.98120147
328927007.93511915
319762666.3888446
310994043.75897443
336830016.91294336
343151369.0741829
331626803.45947576
326156089.5521514
322444613.042581
326093757.26162964
324526869.3335558
320823825.6525379
320048672.45304877
315526007.3576998
316303299.9588695
312841812.6418173
316466291.29328114
