HKU1_HKU1_Ka
6.044204935096879e-06
6.355228910714471e-06
8.733084372699126e-06
7.93571947423172e-06
7.4976787626744255e-06
7.862172555380607e-06
8.510335611449096e-06
8.20893646756893e-06
9.885448250097353e-06
1.18786788333764e-05
1.2013058971781453e-05
1.3536564067469794e-05
1.3025253820027774e-05
1.2774445292982914e-05
1.2785644398698248e-05
1.2855645258028815e-05
1.3497600221506745e-05
1.3403262702831772e-05
1.3338310666566037e-05
1.34093036356995e-05
