HKU1_HKU1_FB
223901892.17651254
230967829.60220128
270725051.2393699
255995855.555933
248150287.0537079
256052599.2186691
267489030.7106206
262201465.14874434
282355902.1966637
302668058.01090026
306842203.2827848
321950868.485976
315868825.90430534
314214702.1251692
316152728.84443825
318604225.3404347
326157769.0925114
326251932.05300283
326606162.0073492
328548775.74004894
