PC1	PC2	PC3	PC4	PC5	PC6	PC7
1.438516886730129	0.606312904598426	0.5390208837085175	0.43245630800365564	0.35014591254998906	0.28168183763434745	2.1143995100504057e-15
0.664	0.11796	0.09323	0.06001	0.03934	0.02546	0
0.664	0.78196	0.87519	0.9352	0.97454	1	1
